"Id","Name","External url","Language","Last verified on","Documentable id","Documentable type"
"4246","Full text (PDF)","https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52020DC0741&from=EN","English","04/12/2020","9739","Legislation"
"4228","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2020/20201104_106678-of-2020_decision-1.pdf","English","17/11/2020","7412","Litigation"
"4211","Link to official website","https://www.gazzettaufficiale.it/eli/id/2019/10/14/19G00125/sg","Italian","15/11/2020","9356","Legislation"
"4210","Settlement agreement","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2020/20201102_NSD13332018_settlement-agreement.pdf","English","06/11/2020","7309","Litigation"
"4195","Plaintiffs' main conclusions","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190628_2660_na.pdf","French","27/10/2020","7077","Litigation"
"4194","Main conclusion for Wallonie","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190201_2660_na-1.pdf","French","27/10/2020","7077","Litigation"
"4193","Main conclusions for Brussels","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2019/20190201_2660_na.pdf","French","27/10/2020","7077","Litigation"
"4192","Summons","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2014/20141201_2660_summons-1.pdf","Dutch","27/10/2020","7077","Litigation"
"4191","Summons","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2014/20141201_2660_summons.pdf","French","27/10/2020","7077","Litigation"
"4188","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2020/20200930_NA_decision.pdf","German","27/10/2020","7379","Litigation"
"4187","Application","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2020/20200220_NA_application-1.pdf","German","27/10/2020","7379","Litigation"
"4178","Judgment","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2020/20200506_8766_judgment.pdf","English","09/10/2020","7313","Litigation"
"4175","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2015/20151218_2015-NSWLEC-1535_decision-1.pdf","English","09/10/2020","7490","Litigation"
"4140","Opinion","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2015/20151109_2015-VCAT-1971-1_opinion.pdf","English","17/09/2020","7481","Litigation"
"4139","Opinion","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2018/20181217_2018-NSWLEC-1651-1_opinion.pdf","English","17/09/2020","7480","Litigation"
"4138","Opinion","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2018/20180803_2018-NSWLEC-112-1_opinion.pdf","English","17/09/2020","7479","Litigation"
"4137","Complaint","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2015/20150625_2015-VCAT-857-1_complaint.pdf","English","17/09/2020","7478","Litigation"
"4136","Opinion","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2018/20180511_-2018-FCA-652-231-LGERA-75-1_opinion.pdf","English","17/09/2020","7477","Litigation"
"4135","Complaint","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2020/20200908_12132_complaint.pdf","English","17/09/2020","7476","Litigation"
"4117","Link to full text on official website","https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX%3A32019R0631","English","14/09/2020","9696","Legislation"
"4116","Link to full text on official website","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32019L0944","English","14/09/2020","9695","Legislation"
"4115","Link to full text on official website","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32018L2001","English","14/09/2020","9694","Legislation"
