"Id","Eventable type","Eventable","Event type","Title","Description","Date","Url"
"773","Legislation","1037","Entered Into Force","Enactment of specific provisions","","29/03/2006",""
"772","Legislation","1196","Passed/Approved","Endorsement by the European Council","","28/10/2014",""
"771","Legislation","2040","Entered Into Force","Entry into force","","01/01/2016",""
"770","Legislation","1413","Entered Into Force","Entry into force","","16/02/2005",""
"769","Legislation","1561","Entered Into Force","Entry into force","","01/05/2011",""
"768","Legislation","1416","Entered Into Force","Entry into force","","30/11/2014",""
"767","Legislation","1415","Entered Into Force","Entry into force","","30/05/1980",""
"766","Legislation","1410","Entered Into Force","Entry into force","","04/12/2012",""
"765","Legislation","1409","Entered Into Force","Entry into force","","01/07/2012",""
"764","Legislation","1038","Implementation Details","First reporting period commenced","","01/07/2008",""
"763","Legislation","1155","Amended","Last amended","","25/12/2011",""
"762","Legislation","1154","Amended","Last amended","","25/12/2011",""
"761","Legislation","1111","Amended","Last amended","","28/11/2014",""
"760","Legislation","1110","Amended","Last amended","","28/11/2014",""
"759","Legislation","1109","Amended","Last amended","","24/07/2015",""
"758","Legislation","1108","Amended","Last amended","","28/11/2014",""
"757","Legislation","1107","Amended","Last amended","","28/11/2014",""
"756","Legislation","1103","Amended","Last amended","","11/04/2014",""
"755","Legislation","1080","Amended","Last amended","","04/12/2014",""
"754","Legislation","1079","Amended","Last amended","","12/05/2019",""
"753","Legislation","1077","Amended","Last amended","","24/12/2013",""
"752","Legislation","1048","Amended","Last amended","","25/12/2007",""
"751","Legislation","1043","Amended","Last amended","","01/06/2017",""
"750","Legislation","1102","Amended","Last amended","","25/07/2014",""
"749","Legislation","9171","Amended","Last amendment","","25/12/2015",""
"748","Legislation","8903","Amended","Last amendment","","27/12/2013",""
"747","Legislation","8891","Amended","Last amendment","","25/12/2019",""
"746","Legislation","8887","Amended","Last amendment","","25/12/2017",""
"745","Legislation","8889","Amended","Last amendment","","25/12/2011",""
"744","Legislation","8791","Amended","Last amendment","","25/12/1984",""
"743","Legislation","8797","Amended","Last amendment","","25/12/1997",""
"742","Legislation","8799","Amended","Amended","","25/12/2018",""
"741","Legislation","9185","Amended","Last amendment","","25/12/2018",""
"740","Legislation","8783","Amended","Last amendment","","25/12/2017",""
"739","Legislation","8781","Amended","Last amendment","","23/08/2017",""
"738","Legislation","8688","Amended","Last amendment","","19/06/2015",""
"737","Legislation","8687","Amended","Last amendment","","11/05/2017",""
"736","Legislation","8675","Amended","Last amendment","","25/12/1998",""
"735","Legislation","1573","Amended","Last amendment","","30/07/2015",""
"734","Legislation","8594","Amended","Last amendment","","29/06/2018",""
"733","Legislation","1572","Amended","Last amendment","","11/06/2014",""
"732","Legislation","2060","Amended","Last amendment","","01/09/2016",""
"731","Legislation","2040","Amended","Last amendment","","29/08/2015",""
"730","Legislation","2029","Amended","Last amendment","","01/03/2016",""
"729","Legislation","1413","Amended","Last amendment","","30/05/2014",""
"728","Legislation","2010","Amended","Last amendment","","29/08/2019",""
"727","Legislation","2005","Amended","Last amendment","","01/09/2015",""
"726","Legislation","1522","Amended","Last amendment","","25/12/2014",""
"725","Legislation","1521","Amended","Last amendment","","25/12/2014",""
"724","Legislation","2044","Amended","Last amendment","","04/07/2019",""
"723","Legislation","1416","Amended","Last amendment","","28/11/2014",""
"722","Legislation","1415","Amended","Last amendment","","25/12/2014",""
"721","Legislation","1414","Amended","Last amendment","","13/06/2014",""
"720","Legislation","1409","Amended","Last amendment","","18/06/2014",""
"719","Legislation","1393","Amended","Last amendment","","29/12/2017",""
"718","Legislation","1387","Amended","Last amendment","","25/12/2018",""
"717","Legislation","1381","Amended","Last amendment","","14/03/2011",""
"716","Legislation","1375","Amended","Last amendment","","04/06/2012",""
"715","Legislation","1315","Amended","Last amendment","","26/12/2009",""
"714","Legislation","1217","Amended","Last amendment","","14/03/2018",""
"713","Legislation","1212","Amended","Last amendment","","09/09/2015",""
"712","Legislation","1211","Amended","Last amendment","","20/06/2019",""
"711","Legislation","1207","Amended","Last amendment","","25/12/2018",""
"710","Legislation","1205","Amended","Last amendment","","05/04/2014",""
"709","Legislation","1202","Amended","Last amendment","","26/02/2014",""
"708","Legislation","8568","Amended","Law amended","","11/01/2018",""
"707","Legislation","1016","Amended","Law amended","","11/04/2018",""
"706","Legislation","8599","Amended","Law amended","","01/06/2017",""
"705","Legislation","8597","Amended","Law amended","","23/03/2018",""
"704","Legislation","1152","Amended","Law amended","","25/12/2016",""
"703","Legislation","1561","Amended","Law amended","","20/05/2016",""
"702","Legislation","1402","Amended","Law amended","","25/12/2007",""
"701","Legislation","1219","Amended","Law amended","","22/10/2008",""
"700","Legislation","1218","Amended","Law amended","","19/05/2010",""
"699","Legislation","1161","Amended","Law amended","","25/12/2017",""
"698","Legislation","1159","Amended","Law amended","","25/12/2016",""
"697","Legislation","1158","Amended","Law amended","","25/12/2018",""
"696","Legislation","1156","Amended","Law amended","","25/12/2016",""
"695","Legislation","9173","Passed/Approved","Law passed","","31/12/2014",""
"694","Legislation","9159","Passed/Approved","Law passed","","20/08/2000",""
"693","Legislation","9095","Passed/Approved","Law passed","","10/06/2009",""
"692","Legislation","9215","Passed/Approved","Law passed","","03/06/2019",""
"691","Legislation","9189","Passed/Approved","Law passed","","29/03/2019",""
"690","Legislation","8894","Passed/Approved","Law passed","","29/12/2009",""
"689","Legislation","8795","Passed/Approved","Law passed","","18/09/1948",""
"688","Legislation","8878","Passed/Approved","Law passed","","14/02/2018",""
"687","Legislation","8884","Passed/Approved","Law passed","","03/10/2014",""
"686","Legislation","8887","Passed/Approved","Law passed","","15/08/2014",""
"685","Legislation","8888","Passed/Approved","Law passed","","23/12/2009",""
"684","Legislation","8896","Passed/Approved","Law passed","","14/12/2015",""
"683","Legislation","8900","Passed/Approved","Law passed","","25/12/2018",""
"682","Legislation","8952","Passed/Approved","Law passed","","25/12/1957",""
"681","Legislation","8954","Passed/Approved","Law passed","","25/12/1960",""
"680","Legislation","9084","Passed/Approved","Law passed","","29/12/2010",""
"679","Legislation","8809","Passed/Approved","Law passed","","11/12/2013",""
"678","Legislation","8889","Passed/Approved","Law passed","","12/05/1972",""
"677","Legislation","8960","Passed/Approved","Law passed","","01/09/2016",""
"676","Legislation","9090","Passed/Approved","Law passed","","24/02/2016",""
"675","Legislation","9094","Passed/Approved","Law passed","","19/09/2014",""
"674","Legislation","9098","Passed/Approved","Law passed","","16/12/2013",""
"673","Legislation","9102","Passed/Approved","Law passed","","03/11/2011",""
"672","Legislation","9110","Passed/Approved","Law passed","","25/12/2017",""
"671","Legislation","8775","Passed/Approved","Law passed","","09/06/2009",""
"670","Legislation","8864","Passed/Approved","Law passed","","01/02/2016",""
"669","Legislation","8866","Passed/Approved","Law passed","","03/02/2016",""
"668","Legislation","8801","Passed/Approved","Law passed","","14/12/2018",""
"667","Legislation","8862","Passed/Approved","Law passed","","25/02/2014",""
"666","Legislation","8876","Passed/Approved","Law passed","","13/06/2017",""
