"Id","Name","Url","Geography","Geography iso","Litigation ids"
"110","EU Charter on Human Rights","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:12012P/TXT","European Union","EUR","7313"
"107","Land and Environment Court Act 1979 (NSW)","https://www.legislation.nsw.gov.au/view/html/inforce/current/act-1979-204","Australia","AUS","7480"
"103","Justices Act 1886 (Queensland)","https://www.legislation.qld.gov.au/view/html/inforce/current/act-1886-017","Australia","AUS","7471"
"102","Planning and Environment Act 1987 (Victoria)","https://www.legislation.vic.gov.au/in-force/acts/planning-and-environment-act-1987/139","Australia","AUS","7468"
"101","Environmental Protection and Biodiversity Conservation Act 1999","https://www.environment.gov.au/epbc","Australia","AUS","7466"
"100","Migration Act 1958","http://www.austlii.edu.au/au/legis/cth/consol_act/ma1958118/","Australia","AUS","7465"
"97","Corporations Act","https://www.legislation.gov.au/Details/C2017C00129","Australia","AUS","7462"
"92","OECD guidelines for Multinational Enterprises","https://mneguidelines.oecd.org/mneguidelines/","International","INT","7460"
"44","Proposal for a Directive of the European Parliament and of the Council on the promotion of the use of energy from renewable sources","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A52016PC0767","European Union","EUR",""
"43","Environmental Planning and Assessment Act of 1979 (NSW)","https://legislation.nsw.gov.au/view/html/inforce/current/act-1979-203","Australia","AUS","7469"
"37","Polish Commercial Companies Code","","Poland","POL",""
"36","International Covenant on Civil and Political Rights","","International","INT",""
"35","European Convention on Human Rights","","International","INT","7472"
"33","Decision (EU) 2015/1814","","European Union","EUR",""
"32","Directive 2009/29/EC","","European Union","EUR",""
"31","Commission Decision 2011/278/EU","","European Union","EUR",""
"30","Regulation (EU) No 601/2012","","European Union","EUR",""
"29","Commission Decision 2013/448/EU","","European Union","EUR",""
"28","Commission Decision 2011/278/EU","","European Union","EUR",""
"24","Protection of the Environment Operations Act 1997","","Australia","AUS",""
"22","Commission Decision 2011/278/EU","","European Union","EUR",""
"16","1858 Treaty of Limits (between Nicaragua and Costa Rica)","","International","INT",""
"12","Environmental Protection Law of 2001","","Poland","POL",""
