"Id","Law Id","Title","Legislation type","Description","Parent","Geography","Geography iso","Sector","Frameworks","Responses","Document types","Keywords","Natural hazards","Visibility status"
"9092","","Resolution No. 4.998 creating the Sector Committee for Disaster Risk Management","executive","<p style=""text-align: left;"">This Resolution creates the Sector Committee for Disaster Risk Management, as an instance responsible for planning, monitoring, coordination and articulation of knowledge processes and risk reduction, disaster management and climate change.</p>
The Committee will also contribute to optimise the performance of the different public entities in the execution of actions for disaster risk management.","","Colombia","COL","","","Adaptation, Disaster Risk Management","Resolution","","","published"
"9347","","Law 1955 issuing the National Development Plan 2018-2022 'Pact for Colombia, Pact for Equity'","legislative","The present Law issues the National Development Plan for 2018-2022 called ""Pact for Colombia, Pact for Equity"" of the Government of President Iván Duque. The Plan has 16 chapters called ""Pacts"", and chapter 4 ""Pact for sustainability: produce through conservation conserving and conservation through production"" includes a line of action for climate change mitigation and a line of action for climate change adaptation.

This Plan replaces the previous <a href=""http://www.lse.ac.uk/GranthamInstitute/law/law-1450-establishing-the-national-development-plan-2010-2014/"">National Development Plan 2010-2014</a>.","","Colombia","COL","","","Mitigation, Adaptation","Law","Mitigation, Energy Supply, Institutions / Administrative Arrangements","","published"
"9173","","Law No. 82 D/2014 establishing a set of green fiscal rules","legislative","This law creates a series of tax breaks for low emissions vehicles, energy efficient buildings, and sustainable forest management.","","Portugal","PRT","Transportation;LULUCF;Energy;Residential and Commercial","","Mitigation","Law","Redd+ And Lulucf, Transportation, Buildings","","published"
"9159","","Law No. 93/2001 establishing procedures in order to prevent climatic changes and their effects","legislative","This law establishes the National Observatory on Climate Change to collect information on and research climate change, and report to the legislature. It requires the government to create a comprehensive plan to reduce emissions, adapt to climate change, and raise awareness.","","Portugal","PRT","","","","Law","Institutions / Administrative Arrangements, Research And Development","","published"
"9095","","Emergency Management Act","legislative","This act defines the purpose and competencies of fire and rescue services in Denmark. To accomplish that task, it outlines the organizational structure and administrative procedures for their role in emergency response activities. It also requires line ministries to create emergency plans for their sectors once every four years, requires subnational governments to create emergency plans, and requires local and subnational governments to establish communication networks.","","Denmark","DNK","","","Adaptation","Law","Institutions / Administrative Arrangements, Disaster Risk Management","","published"
"8887","","Natural Hazards Compensation Act (No. 59 of 2014)","legislative","This law establishes and outlines the details of a compensation scheme for private property loss and damage due to natural disasters. It establishes a Natural Damage Claim Appeals Board to handle all claims and appeals. The law stipulates that claims may be filed for property lost or damaged by landslides, avalanches, storms, floods, storm surges, earthquakes or volcanic eruptions.","","Norway","NOR","Water","","Adaptation, Disaster Risk Management, Loss And Damage","Law","Institutions / Administrative Arrangements, Disaster Risk Management","Droughts, Soil Erosion, Floods, Heat Waves And Heat Stress, Cyclones, Tsunamis, Storms, Hurricanes, Changes In Average Temperature, Sea Level Rise, Landslides","published"
"8889","","Act No. 28 of 1972 concerning nuclear energy activities","legislative","This law provides the legal framework for nuclear energy production in Norway. It gives the King power to grant licenses and create regulations for nuclear energy, establishes the Radiation Protection and Nuclear Safety Directorate to handle safety and security (including during construction, operations, and inspections), requires owners of nuclear plants to take all necessary measures to ensure that no damage occurs as the result of an accident, and establishes a compensation scheme for loss and damage caused by nuclear accidents.","","Norway","NOR","Energy","","Loss And Damage","Law","Energy Supply, Institutions / Administrative Arrangements","Droughts, Soil Erosion, Floods, Heat Waves And Heat Stress, Cyclones, Tsunamis, Storms, Hurricanes, Changes In Average Temperature, Changes In Average Precipitation, Sea Level Rise, Changes In Surface Water, Landslides, Ocean Acidification, Glacial Melting","published"
"9189","","Law on the Mobility Budget","legislative","This <a href=""http://www.etaamb.be/fr/loi-du-17-mars-2019_n2019030319.html"">law</a>, adopted by the Parliament and signed by the king, enables employers to set up a mobility budget within their companies. It is distinct from the ""cash for car"" regulation. The document aims at fostering environmentally-friendly cars, that is to say full-electric vehicles or car with CO2 emissions under 105 g/km in 2019, under 100 g/km in 2020 and under 95 g/km from 2021 onward. The mobility budget ceases to be granted if the car does not fit these objectives.

The law also promotes sustainable transport modes as following:
<ul>
<li>soft mobility (purchase, rental, leasing, maintenance and legally required equipment): cycles and motorcycles.</li>
<li>public transport: subscriptions (for the distance from home to work and on behalf of the worker) and tickets (public transport tickets in Belgium or in the European Economic Area); organised public transport.</li>
<li>sharing solutions: carpooling and car-pooling solutions, taxi services and chauffeur-driven car rental services, rental of self-driving vehicles (maximum 30 days per year).</li>
<li>housing costs (rents and interest on a mortgage): home established within 5 kilometres of the usual place of work; mileage allowance bike or provision of a bicycle.</li>
</ul>","","Belgium","BEL","Transportation;Residential and Commercial","","Mitigation","Royal Decree","Transportation","","published"
"8894","","National Strategy on Food and Nutrition Security (2010-2025)","executive","The National Strategy for Food Security and Nutrition (ENSAN) aims to ensure that all Angolans have, at all times, availability of food of adequate quality and variety, and the socioeconomic means to purchase it, to enable them to contribute to the human, economic and social development of Angola. The ENSAN has five thematic topics (lines of action), and seven specific objectives, it includes in its Annex the Action Plan for Food and Nutritional Security (PASAN).

ENSAN identifies as one of the direct causes of food insecurity natural disasters such as floods and droughts.

Resolution No. 130/09 approves the strategy.","","Angola","AGO","Water;Social development","","Adaptation, Disaster Risk Management","Strategy","Food Security","","published"
"8795","","Act on Provision of Disaster Relief Expenses (Law no. 82)","legislative","This law establishes criteria for regulating the provision of disaster relief funds. It allows the Disaster Relief Fund to make loans to people and local governments affected by disasters, sets a cap on the total amount of disaster relief an individual can receive, and defines the responsibility of the national and prefecture governments in funding disaster relief.","","Japan","JPN","","","Adaptation, Disaster Risk Management","Law","Disaster Risk Management","","published"
