"id","litigation_id","side type","name","party type","connected entity id","connected entity type"
,7362,"A","Friends of the Earth (Les Amis de la Terre)","ngo",,
,7362,"B","Total","corporation",,
,7361,"A","R (McLennan)","individual",,
,7361,"B","Medway Council","government",,
,7350,"A","Mapuche Confederation of Neuqu̩n","ngo",,
,7350,"B","YPF, Total, Exxon, Pan American Energy,Pampa Energia, the Secretary of Territorial and Environmental Development, the Subsecretary of the Environment, the Provision Director of Environmental Situations and Special Residuals Management, and the Provincial Budget Director","corporation",,
,7350,"B","Total","corporation",,
,7350,"B","Exxon","corporation",,
,7350,"B","Pan American Energy","corporation",,
,7350,"B","Pampa Energia","corporation",,
,7350,"B","Subsecretary of the Environment, the Provision Director of Environmental Situations and Special Residuals Management, and the Provincial Budget Director","government",,
,7349,"A","Crown Prosecution Service",,,
,7349,"B","Roberts and others","individual",,
,7348,"A","Crown Prosecution Service","government",,
,7348,"B","Basto and others","individual",,
,7347,"A","Notre Affaire à Tous","ngo",,
,7346,"A","Private Corporation for the Development of Aysen, et al","corporation",,
,7346,"B","Environmental Evaluation Service of Chile","government",,
,7345,"A","Gabriela Simonetti Grez and others","individual",,
,7345,"B","Environmental Evaluation Service of Chile","government",,
,7344,"A","Greenpeace Luxembourg","ngo",,
,7344,"B","Schneider","government",,
,7343,"A","ClientEarth","ngo",,
,7343,"B","Polska Grupa Energetyczna","corporation",,
,7342,"A","France","government",,
,7342,"B","Delahalle & Goinvic","individual",,
,7341,"A","Sixteen children","individual",,
,7341,"B","Argentina, Brazil, France, Germany and Turkey","government",,
,7340,"A","Costa Rica","government",,
,7340,"B","Nicaragua","government",,
,7339,"A","Sheikh Asim Farooq","individual",,
,7339,"B","Pakistan","government",,
,7338,"A","Claire Stephenson","individual",,
,7338,"B","Secretary of State for Housing and Communities and Local Government","government",,
,7337,"A","Exxon Mobil","corporation",,
,7337,"B","Germany","government",,
,7336,"A","Maria Khan et al.","individual",,
,7336,"B","Federation of Pakistan et al.","government",,
,7335,"A","Saskatchewan","government",,
,7335,"B","Canada","government",,
,7334,"A","Michael Mann",,,
,7334,"B","Timothy ('Tim') Ball","individual",,
,7334,"B","The Frontier Centre for Public Policy, Inc.","ngo",,
,7334,"B","John Doe","individual",,
,7333,"A","Macquarie Generation","corporation",,
,7333,"B","Peter Gray and Naomi Hodgson","individual",,
,7332,"A","Save Lamu et al.","individual_ngo",,
,7332,"B","National Environmental Management Authority","government",,
,7332,"B","Amu Power Co. Ltd","corporation",,
,7331,"A","Sandra Bitter","individual_corporation",,
,7331,"B","Bundesrepublik Deutschland","government",,
,7330,"A","Borealis AB, Kubikenborg Aluminum AB, Yara AB, SSAB EMEA AB, Lulekraft AB, Värmevärden i Nynäshamn AB, Cementa AB, Höganäs Sweden AB","corporation",,
,7330,"B","Naturvårdsverket","government",,
,7329,"A","Elektriciteits Produktiemaatschappij Zuid-Nederland EPZ NV","corporation",,
,7329,"B","Bestuur van de Nederlandse Emissieautoriteit","government",,
,7328,"A","Schaefer Kalk GmbH & Co. KG","corporation",,
