"Id","Title","Document type","Geography iso","Geography","Jurisdiction","Citation reference number","Summary","Sectors","Responses","Keywords","At issue","Visibility status","Legislation ids"
"7490","Lark v. Shellharbour City Council","Case","AUS","Australia","Land and Environment Court (NSW)","[2015] NSWLEC 1535","<div>In February 2012, Shellharbour City Council granted an application to demolish a garage and construct a new dwelling in flood prone land, subject to certain conditions, including meeting minimum floor height requirements. Those floor height requirements were set, in part, to take into account projected flood zone changes due to climate change. On September 4, 2015, Mitchell Lark appealed a denial of his application to modify those conditions to the New South Wales Land and Environment Court. Lark sought to modify the conditions to allow for an as-built floor height slightly below the minimum requirement, on the argument that the built floor could be protected by the addition of masonry edging to the front and side porches and rear deck.&nbsp;<br><br></div><div>On December 18, 2015, the Court rejected Lark’s appeal and affirmed the City Council’s conditions. The Court reasoned that the site was on flood prone land in a Medium Flood Risk Precinct, and that the Council would likely not have approved the development application had the floor levels as-built been proposed. Further, the Court found that the applicant’s expert witness did not take into account climate change-related sea level rise.</div>","Buildings;LULUCF","Adaptation, Disaster Risk Management","Buildings, Lulucf","<div>Plaintiff challenged climate-based conditions in building permit</div>","Published",""
"7481","Johnston v Bass Coast Shire Council","Case","AUS","Australia","Victoria's Civil and Administrative Tribunal","[2015] VCAT 1971 (1)","<div>In a hearing held on November 9, 2015, Marjorie Johnston for the Silverleaves Conservation Society applied for a review of a decision by the Bass Coast Shire Council granting a permit to a development. The development was for a three-level building. She applied for review under section 82 of the Planning and Environment Act 1987. The objections to the permit included consideration of environmental impact and landscape impacts, among others. The sole reason a planning permit was needed for the building was because its height exceeded seven meters from ground level.<br>In an order issued on December 16, 2015, the Court granted the permit to develop the land, finding the development plan to be acceptable. In reaching this decision, the Court considered the coastal hazards posed to the building from climate change, although these hazards were not raised in the grounds of the objections. The Court found that the design plan accounted for potential future sea level rise and flooding.</div>","Buildings;LULUCF","Adaptation, Disaster Risk Management","Zoning","<div>Court considered climate change in assessing development permit</div>","Published",""
"7480","Joe Davidson Town Planning v Byron Shire Council","Case","AUS","Australia","NSW Land and Environment Court","[2018] NSWLEC 1651 (1)","<div>In a conciliation conference on October 24, 2018, Joe Davidson Town Planning sought an appeal against Byron Shire Council for denying a development application. The applicant sought alterations, additions, and repositioning of an existing dwelling as well as strata subdivision into two lots on the land in question. The appeal was sought under s 8.7 of the Environmental Planning and Assessment Act 1979. The Court arranged for a conciliation conference under s 34(1) of the Land and Environment Court Act 1979.<br>In a decision issued on December 11, 2018, the parties reached an agreement. The development plan would address potential hazards as a result of flooding due to sea level rise from climate change through sufficient setback of the existing and proposed buildings. The plan also would mitigate local terrestrial flooding through building design and services. The Court granted conditional development consent.</div>","LULUCF","Disaster Risk Management","Zoning","<div>Plaintiff sought rezoning for climate considerations</div>","Published",""
"7479","Henroth Investments Pty Ltd v Sydney North Planning Panel","Case","AUS","Australia","NSW Land and Environment Court","[2018] NSWLEC 112 (1)","<div>In hearings held from May 15 to 16, 2018, Henroth Investments sought judicial review of the decision by Sydney North Planning Panel denying the rezoning review sought by the applicant under s 56 of the Environmental Planning and Assessment Act 1979. The Department and Pittwater Council conducted a Warriewood Valley Strategic Review Report in reviewing the land, which included a hydrology study. The hydrology study categorised land into categories based on the flood planning level. This study considered the impacts of climate change on the flood planning. Based on the review, the Council’s assessment of the rezoning request did not support a mixed use development due to severe flood risks.&nbsp;<br><br></div><div>In a decision issued on July 31, 2018, the Court upheld the Panel’s decision. The Court found no bias or conflict of interest in respect of the rezoning request. The Court also determined that a possible failure to carry out an independent review is not a recognised ground of judicial review. Further, there was also no failure to take into account mandatory considerations. Finally, there was no failure to properly consider flooding.</div>","LULUCF","Disaster Risk Management","Zoning","<div>Plaintiff sought zoning review</div>","Published",""
"7478","Gibson v Bass Coast Shire Council","Case","AUS","Australia","Civil and Administrative Tribunal of Victoria","[2015] VCAT 857 (1)","<div>In a hearing held on May 1, 2015, plaintiff appealed a denial of his application by the Bass Coast Shire Council to subdivide a plot of land. The applicant argued that these smaller lots would allow for more flexible arrangements in regards to impacts from climate change. The Council found the proposed subdivision to be inconsistent with the state and local planning policy in regards to the protection of agricultural land as well as the purpose and objectives of the Farming Zone and against the orderly and proper planning of the area.<br><br></div><div>In a decision issued on June 12, 2015, the Tribunal upheld the decision, finding that while climate change is occurring, it would not have a significant impact on this particular region or property. Further, subdividing the property was not shown to improve farm economics and viability, and would actually potentially stifle production innovation.</div>","LULUCF","Adaptation, Loss And Damage","Agriculture, Land","<div>Whether land should be subdivided to prepare for climate impacts.</div>","Published",""
"7477","Friends of Leadbeater’s Possum Inc v VicForests (No 3)","Case","AUS","Australia","Federal Court of Australia","[2018] FCA 652; 231 LGERA 75 (1)","<div>In a hearing held on May 2, 2018, Friends of Leadbeater’s Possum sought to restrain VicForests from conducting forestry operations in light of the effects of logging on Greater Glider Species through an interim injunction. The Greater Glider was listed as a threatened species under the EPBC Act on May 5, 2016. The Court defined forestry operations under s 40(2) of the Environmental Protection and Biodiversity Conservation Act 1999. The Court noted there was evidence of cumulative effects of clearing and logging activities, current burning regimes, and climate change impacts being major threats to large hollow-bearing trees. These trees at issue were relied upon by the species.&nbsp;<br><br></div><div>In a decision issued on May 10, 2018, the Court restrained VicForests from conducting forestry operations. The respondent was restrained from felling, removing, or damaging any trees or otherwise widening the existing road line. Much of the evidence submitted was taken for the limited purpose of the interlocutory application and was probative and untested.</div>","LULUCF;Transportation","Mitigation, Adaptation","Trees, Road","<div>Injunction sought to halt tree clearing</div>","Published",""
"7476","Sharma and others v Minister for the Environment","Case","AUS","Australia","Federal Court of Australia","","<div>On September 8, 2020, eight young people filed a putative class action in Australia's Federal Court to block a coal project. The lawsuit seeks an injunction to stop the Australian Government from approving an extension of the Whitehaven Vickery coal mine. The plaintiffs claim to represent all people under 18, and argue that Federal Minister Sussan Ley has a common law duty of care for young people. They further assert that digging up and burning coal will exacerbate climate change and harm young people in the future.&nbsp;</div>","Energy","Mitigation","Coal Mining, Youth","<div>Youth sought injunction to block coal project.</div>","Published",""
"7472","Youth for Climate Justice v. Austria, et al.","Case","INT","International","European Court of Human Rights","","<div>On September 2, 2020, six Portuguese youth filed a complaint with the European Court of Human Rights against 33 countries. The complaint alleges that the respondents have violated human rights by failing to take sufficient action on climate change, and seeks an order requiring them to take more ambitious action.&nbsp;<br><br></div><div>The complaint relies on Articles 2, 8 and 9 of the European Convention on Human Rights, which protect the right to life, right to privacy, and right to not experience discrimination. The complainants claim that their right to life is threatened by the effects of climate change in Portugal such as forest fires; that their right to privacy includes their physical and mental wellbeing, which is threatened by heatwaves that force them to spend more time indoors; and that as young people, they stand to experience the worst effects of climate change.&nbsp;<br><br></div><div>The case is brought against the Member States of the EU (Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Germany, Greece, Denmark, Estonia, Finland, France, Croatia, Hungary, Ireland, Italy, Lithuania, Luxembourg, Latvia, Malta, the Netherlands, Poland, Portugal, Romania, Slovak Republic, Slovenia, Spain and Sweden) as well as Norway, Russia, Switzerland, Turkey, Ukraine and the United Kingdom. The complainants allege that the respondents have fallen short of their human rights obligations by failing to agree to emissions reductions that will keep temperature rise to 1.5 degrees Celsius, as envisioned by the Paris Agreement.</div>","Other","Mitigation","Human Rights","<div>Youth filed human rights complaint against 33 governments.</div>","Published",""
"7471","EH v Queensland Police Service; GS v Queensland Police Service","Case","AUS","Australia","Queensland District Court","[2020] QDC 205","<div>On August 28, 2020, the Queensland District Court overturned the convictions of two climate protesters for using ""locking"" devices to obstruct a railway to a coal mine, concluding that the convictions and sentences were overly harsh under the circumstances.&nbsp;<br><br></div><div>During the 2019-2020 bushfires in Australia, the two defendants traveled to Queensland to protest the proposed expansion of coal mines in the Bowen basin. The protesters blocked a railway line that provides access to a coal loading facility by using tubular steel attachment devices to ""lock"" themselves to a 44 gallon drum filled with concrete, creating a device known as a ""dragon's den."" The devices can only be released voluntarily, or if someone else cuts the device, and cutting the device risks injury to the protesters. The defendants were charged with obstructing a railway; trespassing on a railway; using a dangerous attachment device to interfere with transport infrastructure; and contravening a direction or requirement. The dangerous attachment device offense was a new offense created by 2019 legislation that prohibits the use of devices such as ""dragon dens,"" which was introduced in response to protests against coal mining and regarding climate change. The Acting Magistrate convicted and sentenced the defendants to three months imprisonment for that offense. Convictions were not recorded for the other offenses.&nbsp;<br><br></div><div>On appeal, the district court concluded that the device the protesters used fell within the definition of a ""dragon's den,"" but that the gravity of the offense was minimal given the lack of evidence that any loss was suffered, that members of the public were burdened, or that there was violence or the threat of violence. The court further explained that the defendants ""have the right to express their views and to protest against an activity to which they object subject only to such restrictions as are prescribed by law and are necessary in a democratic society for (amongst other legitimate aims) the prevention of disorder or crime or the protection of the rights and freedoms of others,"" and that ""the motive for the commission of the offen[s]e will often be relevant to the moral culpability of the offender, the weight to given to personal deterrence and it may affect the weight to be given to general deterrence."" The court accordingly allowed the appeal, vacated the convictions and resentenced the defendants to a single fine of $1000.</div>","Energy","Mitigation","Coal Mining","<div>Whether climate protesters were unlawfully convicted for protesting coal mine.</div>","Published",""
"7470","Dunford v Gosford City Council","Case","AUS","Australia","Land and Environment Court","[2015] NSWLEC 1016","<div>In hearings held from December 9 to December 11, 2014, Esther Dunford appealed the refusal by Gosford City Council for the demolition of an existing dwelling and the construction of a new dwelling in Wamberal. The Council denied the application because the new construction would not properly avoid the potential risk of coastal erosion and therefore is against public interest. The court considered whether coastal hazard processes would result in unacceptable property damage and loss, and that the risk to development along the cost was projected to rise due to projected sea level rises.&nbsp;<br><br></div><div>In a decision issued on January 14, 2015, the appeal was upheld. The Commissioner found that coastal hazards were appropriately taken into consideration in the proposed development. There was disagreement over whether there would be a need for a revetment wall. The Commissioner agreed with the applicant’s expert that one was not per se required to sufficiently minimize the potential risk from coastal erosion. The Commissioner also found that there was no basis to say that there would be a view loss to existing neighboring residences.</div>","Coastal zones","Adaptation","Buildings, Coastal Erosion","<div>Plaintiff challenged building permit on coastal erosion grounds.</div>","Published",""
