"Id","Target type","Description","Ghg target","Year","Base year period","Single year","Source","Geography","Geography iso","Sector","Legislation ids","Scopes","Visibility status"
"8943","fixed_level_target","<div>To increase electricity interconnections by 15 per cent.<br><br></div>","false","2030","2020","true","plan","Portugal","PRT","Energy","9513","Energy: General","published"
"8942","fixed_level_target","<div>To increase the share of renewables in transport by 20 per cent.<br><br></div>","false","2030","2020","true","plan","Portugal","PRT","Transportation","9513","Transport: General; Renewable Energy","published"
"8941","trajectory_target","<div>Reinforce the weighting of renewable energies by 47 per cent.&nbsp;</div>","false","2030","2020","true","plan","Portugal","PRT","Energy","9513","Renewable Energy","published"
"8940","trajectory_target","<div>Reduction of CO2e emissions (without LULUCF) (Mt CO2e) with respect to 2005. <br><br></div>","true","2030","2005","true","plan","Portugal","PRT","Economy-wide","9513","Ghg","published"
"8939","fixed_level_target","<div>To increase by 23 per cent in energy efficiency by 2030.<br><br></div>","false","2030","2020","true","plan","Poland","POL","Energy","9512","Energy Efficiency","published"
"8921","fixed_level_target","<div>Reduction in GHG for all non-ETS sectors by 33%.&nbsp;<br><br></div>","true","2030","2005","true","plan","Italy","ITA","Economy-wide","9506","Ghg","published"
"8920","trajectory_target","<div>To increase the share of energy from RES in the gross final consumption of energy for heating and cooling&nbsp; by +1.3% per year (indicative).&nbsp;<br><br></div>","false","2030","2020","false","plan","Italy","ITA","Buildings","9506","Renewable Energy; Buildings","published"
"8919","fixed_level_target","<div>To increase the share of energy from RES in the gross final consumption of energy in the transport sector by 22%.<br><br></div>","false","2030","2020","true","plan","Italy","ITA","Transportation","9506","Transport: General; Renewable Energy","published"
"8918","fixed_level_target","<div>To increase the share of energy from RES in the gross final consumption of energy by 30 per cent.</div>","false","2030","2020","true","plan","Italy","ITA","Energy","9506","Renewable Energy","published"
"8896","fixed_level_target","<div>Reduce greenhouse gases by 70% by 2030 (relative to 1990 level).</div>","true","2030","1990","true","plan","Denmark","DNK","Economy-wide","9499","Ghg","published"
"8894","fixed_level_target","<div>Primary Energy Consumption of 2.4 Mtoe in 2030, representing 17% reduction in primary energy consumption.</div>","false","2030","2020","true","plan","Cyprus","CYP","Energy","9497","Energy","published"
"8893","fixed_level_target","<div>Final Energy Consumption of 2.0 Mtoe in 2030, representing 13% reduction in final energy consumption.</div>","false","2030","2020","true","plan","Cyprus","CYP","Energy","9497","Energy","published"
"8892","trajectory_target","<div>Share of RES in the transport sector to reach 14%.<br><br></div>","false","2030","2020","true","plan","Cyprus","CYP","Transportation","9497","Transport: General; Renewable Energy","published"
"8891","trajectory_target","<div>Share of RES in heating and cooling to reach 39%.</div>","false","2030","2020","true","plan","Cyprus","CYP","Energy","9497","Renewable Energy; Buildings","published"
"8890","trajectory_target","<div>Share of RES in gross final electricity consumption can reach at least 26%.</div>","false","2030","2020","true","plan","Cyprus","CYP","Energy","9497","Renewable Energy; Energy","published"
"8889","trajectory_target","<div>Share of RES in gross final energy consumption to reach 23%.</div>","false","2030","2020","true","plan","Cyprus","CYP","Energy","9497","Renewable Energy; Energy","published"
"8888","fixed_level_target","<div>Reduce emissions in ETS sectors by 24.9% compared to 2005.</div>","true","2030","2005","true","plan","Cyprus","CYP","Economy-wide","9497","Ghg; Ets","published"
"8887","fixed_level_target","<div>Reduce emissions in the non-ETS sectors by 20.9% compared to 2005.&nbsp;</div>","true","2030","2005","true","plan","Cyprus","CYP","Economy-wide","9497","Ghg; Non Ets","published"
"8880","trajectory_target","<div>Increase renewable energy sources by 17.5 per cent of final gross energy consumption.</div>","false","2030","2020","true","plan","Belgium","BEL","Energy","9494","Renewable Energy","published"
"8879","fixed_level_target","<div>Reduction of GHG-ETS emissions by 35% compared to 2005. <br><br><br></div>","true","2030","2005","true","plan","Belgium","BEL","Economy-wide","9494","Ghg","published"
"8878","trajectory_target","<div>Increase the share of renewable energy in gross final energy consumption of energy to 46-50% and source 100% of electricity consumption from renewables (nationally/balanced)<br><br></div>","false","2030","2020","true","plan","Austria","AUT","Energy","9493","Energy: General; Renewable Energy","published"
"8877","intensity_target_and_trajectory_target","<div>Improve primary energy intensity by 25-30% compared to 2015.<br><br></div>","false","2030","2015","true","plan","Austria","AUT","Energy","9493","Energy; Energy Intensity","published"
"8876","fixed_level_target","<div>Transport GHG sector contribution: -7.2 million t CO2 equivalent compared to 2016 (total contribution). <br><br></div>","true","2030","2016","true","plan","Austria","AUT","Transportation","9493","Transport: General","published"
"8875","fixed_level_target","<div>Reduction of GHG emissions (non-ETS) by 36% compared to 2005.<br><br></div>","true","2030","2005","true","plan","Austria","AUT","Economy-wide","9493","Ghg","published"
"8874","fixed_level_target","<div>Installing at least 6 GW of renewable hydrogen electrolysers in the EU by 2024 and 40 GW of renewable hydrogen electrolysers by 2030<br><br></div>","false",,"2020","false","strategy","European Union","EUR","Energy","9491","Energy","published"
"8850","fixed_level_target","Net zero objective by 2050.&nbsp;<br><br>""To set as an objective, for the purposes of the previous number, the reduction of GHG emissions for Portugal between 85% and 90% by 2050, compared to 2005, and the compensation of the remaining emissions through the use of soil and forests, to be achieved through a emission reduction trajectory between 45% and 55% by 2030, and between 65% and 75% by 2040, in relation to 2005.""","true","2050",,"false","strategy","Portugal","PRT","Economy-wide","9435","Economy Wide","published"
"8849","fixed_level_target","Long-term Strategy submitted to UNFCCC pledges carbon neutrality by 2050.","true","2050",,"false","strategy","Japan","JPN","Economy-wide",,"Economy Wide","published"
"8844","fixed_level_target","The Government is working for a climate-neutral society by 2050. Stated in the government's 2018 proposal ""Together for a greener future"".&nbsp;<strong><br></strong><br>","true","2050",,"false","policy","Denmark","DNK","Economy-wide",,"Economy Wide","published"
"8842","fixed_level_target","The Commission aims for the Union to be climate-neutral by 2050.","true","2050","2020","true","strategy","European Union","EUR","Economy-wide",,"Economy Wide","published"
"2718","base_year_target","The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990","true","2030","1990","false","ndc","Portugal","PRT","Economy-wide",,"Economy Wide","published"
"2709","base_year_target","The European Union and its 28 Member States submitted a joint NDC: at least 40% domestic reduction in GHG emissions by 2030 compared to 1990","true","2030","1990","false","ndc","Poland","POL","Economy-wide",,"Economy Wide","published"
"2660","base_year_target","At least 40% reduction in GHG emissions by 2030 compared to 1990","true","2030","1990","false","ndc","Norway","NOR","Economy-wide",,"Economy Wide","published"
"2398",,"The target for removals is set as approximately 37 million t-CO2 (corresponding to 2.6% reduction of total emissions in FY 2013), approximately 27.8 million t-CO2 by forest carbon sinks measures and 9.1 million t-CO2 by cropland management, grazing land management and revegetation.","true",,,"false","ndc","Japan","JPN","LULUCF",,"Lulucf/Forestry: General","published"
"2397",,"25.1% reduction compared to 2013 level (4.5% increase compared to 2005 level) (approximately 28.9 million t-CO2eq.)","true",,,"false","ndc","Japan","JPN","Industry",,"Hf Cs","published"
"2396","base_year_target","26% reduction in GHG emissions by fiscal year (FY) 2030 compared to FY 2013, or 25.4% reduction compared to FY 2005, equivalent to approximately 1.042 billion t-CO2eq in 2030","true","2030","Multiple base years","false","ndc","Japan","JPN","Economy-wide",,"Economy Wide","published"
