Id,Name,ISIN,Sector,Market cap group,Geography iso,Headquarters geography iso,CA100,Visibility status
,AES,US00130H1059,Electricity Utilities,medium,USA,USA,false,published
,AGL Energy,AU000000AGL7,Electricity Utilities,large,AUS,AUS,false,published
,ANA Holdings,JP3429800000,Airlines,large,JPN,JPN,false,published
,AP Moller â€“ Maersk,DK0010244508,Other Industrials,large,DNK,DNK,false,published
,Acerinox,ES0132105018,Steel,medium,ESP,ESP,false,published
,Adaro Energy,ID1000111305,Coal Mining,medium,IDN,IDN,false,published
,Adelaide Brighton,AU000000ABC7,Cement,medium,AUS,AUS,false,published
,African Rainbow Minerals,ZAE000054045,Coal Mining,medium,ZAF,ZAF,false,published
,Air China,CNE1000001S0,Airlines,large,CHN,CHN,false,published
,Air Liquide,FR0000120073,Other Basic Materials,large,FRA,FRA,false,published
,Airbus,NL0000235190,Other Industrials,large,FRA,FRA,false,published
,Alaska Air,US0116591092,Airlines,medium,USA,USA,false,published
,Alcoa,US0138721065,Aluminium,medium,USA,USA,false,published
,Alliant Energy,US0188021085,Electricity Utilities,medium,USA,USA,false,published
,Alumina,AU000000AWC3,Aluminium,large,AUS,AUS,false,published
,Ambuja Cements,INE079A01024,Cement,large,IND,IND,false,published
,Ameren,US0236081024,Electricity Utilities,medium,USA,USA,false,published
,American Airlines,US02376R1023,Airlines,medium,USA,USA,false,published
,American Electric Power,US0255371017,Electricity Utilities,large,USA,USA,false,published
,Anadarko Petroleum,US0325111070,Oil & gas,large,USA,USA,false,published
,Andeavor,US03349M1053,Oil & gas,medium,USA,USA,false,published
,Anglo American,GB00B1XZS820,Coal Mining,large,GBR,GBR,false,published
,Anhui Conch Cement,CNE0000019V8,Cement,large,CHN,CHN,false,published
,Apache,US0374111054,Oil & gas,large,USA,USA,false,published
,Arcelor Mittal,LU1598757687,Steel,large,NLD,NLD,false,published
,Arconic,US03965L1008,Aluminium,medium,USA,USA,false,published
,Asia Cement,KR7183190008,Cement,medium,TWN,TWN,false,published
,BASF,DE000BASF111,Other Basic Materials,large,DEU,DEU,false,published
,BHP Billiton,GB0000566504,Coal Mining,large,GBR,GBR,false,published
,BMW,DE0005190003,Autos,large,DEU,DEU,false,published
,BP,GB0007980591,Oil & gas,large,GBR,GBR,false,published
,Banpu,TH0148A10Z06,Coal Mining,medium,THA,THA,false,published
,Bayer,DE000BAY0017,Services,large,DEU,DEU,false,published
,Berkshire Hathaway,US0846701086,Services,large,USA,USA,false,published
,Bluescope Steel,AU000000BSL0,Steel,medium,AUS,AUS,false,published
,Boeing,US0970231058,Other Industrials,large,USA,USA,false,published
,Boral,AU000000BLD2,Cement,large,AUS,AUS,false,published
,Brilliance,BMG1368B1028,Autos,large,CHN,CHN,false,published
,Bukit Asam,ID1000094006,Coal Mining,medium,IDN,IDN,false,published
,Bunge,BMG169621056,Consumer Goods,medium,USA,USA,false,published
,CEZ,CZ0005112300,Electricity Utilities,large,CZE,CZE,false,published
,CMPC,CL0000001314,Paper,large,CHL,CHL,false,published
