"Id","Name","Iso","Geography type","Region","Legislative process","Federal","Federal details","Political groups","Percent global emissions","Climate risk index","Wb income group","Visibility status"
"2","Albania","ALB","National","Europe & Central Asia",,"false",,,"0.02 %","114.17","Upper middle income","published"
"5","Angola","AGO","National","Sub-Saharan Africa","<p style=""text-align: justify;"">The legislative process in Angola is established by the 2010 Constitution. The Constitution defines the Angola as a unitary state. The President of the Republic is the Head of State, the Executive Power and the Commander-in-Chief of the Armed Forces. Among its duties, the President of the Republic shall enact the laws of the National Assembly. The President should enact a law within 30 days of receiving it; within this period, the President can ask the National Assembly to reconsider the legislation. If, after this reconsideration, a two-thirds majority of the Members approve the legislation, the President must enact it within 15 days. The President also issues Presidential legislative decrees, provisional Presidential legislative decrees, Presidential decrees, and Presidential dispatches, which are published in the Diário da República (Official Gazette).</p>
<p style=""text-align: justify;"">The National Assembly is the parliament, a unicameral body, with 220 members. The members are elected for five years according to a system of proportional representation, where 130 members are elected at national level, and 90 members are elected by provincial districts (five members for each province). After the first election for the National Assembly was held in 1992, the following election, scheduled for 1997, was delayed on numerous occasions until it was eventually held in 2008. The last election was held in 2012.</p>
<p style=""text-align: justify;"">In the exercise of its functions, the National Assembly issues constitutional revision laws, organic laws, general laws, authorisations to legislate, and resolutions. Unless authorisation is granted to the Executive to do so, the National Assembly has competence for legislating on nature protection, ecological and environmental balance, and cultural heritage.</p>
<p style=""text-align: justify;"">The power to initiate legislation is exercised by Members of Parliament, Parliamentary Groups and the President. Groups of citizens and the organisations representing them may present proposals for introducing new legislation. Bills of laws and resolutions are approved by an absolute majority vote of the Members present, provided that this amounts to more than half of the Members in full exercise of their office.</p>
<p style=""text-align: justify;"">Responsibilities of local authorities include energy, water, transport, civil defence, the environment and basic sanitation, promotion of economic and social development.</p>","false",,"LDC, G77","0.38 %","97","Lower middle income","published"
"9","Australia","AUS","National","East Asia & Pacific","<p style=""text-align: justify;"">The Australian parliamentary system is based on the UK’s Westminster system. The Federal Parliament is bicameral, consisting of the House of Representatives (the Lower House), and the Senate (the Upper House). The Senate is composed of equal numbers of representatives from all six Australian states, with additional Senators representing Australian Terri­tories (76 in total). Senators are elected for six-year terms. In the House of Representatives, the number of members of parliament per state is proportional to population (currently 150 members). Members are elected for three-year terms. The most recent election was in July 2016 with the next expected in 2019. Australia retains the Sovereign of the United Kingdom as its head of state. All laws are formally enacted by the Sovereign (Royal Assent) as a formality after passage through Parliament.</p>
<p style=""text-align: justify;"">Proposed laws are called bills, and can be introduced into either House, except for bills that propose expenditure or tax levies (appropriation or money bills), which must be introduced in the House of Representatives. In practice, most bills are introduced in the House of Representatives. All bills must be passed (by a series of three readings) by both Houses to become law (Acts). It is possible for the Senate to block the passage of legislation even when the gov­ernment has a clear majority in the House of Representatives. In the case of parliamentary deadlock, the constitution allows the Governor-General (the Sovereign’s representative) to authorise a “double dissolution” election under specific circumstances, at the request of the Prime Minister.</p>
<p style=""text-align: justify;"">Australia operates under a Federal system of government, with six states (formerly separate colonies) and two territories with considerable autonomy, defined areas of jurisdictional responsibility under the Constitution and separate Parliaments. This chapter covers only those laws and policies that are enacted nationwide.</p>","true","6 states, 3 federal territories (of which 2 are self-governing) and 7 external territories","G20, OECD","1.09 %","50.17","High income","published"
"10","Austria","AUT","National","Europe & Central Asia","<div><br>Austria is a federal republic comprised of nine federal states or provinces (Burgenland, Carinthia, Lower Austria, Salzburg, Styria, Tyrol, Upper Austria, Vienna, and Vorarlberg). Legislative powers rest with the Federal Assembly, consisting of two chambers: the National Council (Nationalrat) and the Federal Council (Bundesrat).<br><br></div><div><br>The National Council has 183 members. Its members are elected for five years, using a proportional representation system. In the most recent parliamentary elections in 2013 the Social Democratic Party of Austria (SPÖ) came first, closely followed by the Austrian People’s Party (ÖVP) and the Freedom Party of Austria (FPÖ). The Greens, Team Stronach and NEOS are also represented in Parliament.<br><br></div><div><br>The Federal Council has 61 members and its main function is to represent the provinces and their interests at the federal level. However, unlike the National Council, its members are not elected by direct popular vote. Instead, they are delegated by the federal states, in proportion to the relative strengths of the parties in the provincial legislatures. The number of members delegated by each state depends on its size: the most populous province sends 12 members to the Federal Council; the smallest province delegates three members.<br><br></div><div><br>Passing federal legislation involves both chambers of the Federal Assembly. However, most powers lie with the National Council. The legislative process begins with a bill being introduced into the National Council, most commonly by the government and its ministers. Less commonly, Private Members, the Federal Council and National Council committees can also introduce bills, and bills can be initiated by popular demand. Once a bill has been introduced to parliament, it is assigned to a committee or the National Council may – on very rare occasions – hold a first reading, involving a plenary discussion of the whole house.<br><br></div><div><br>The relevant committee deliberates on the bill and often amendments are made to the draft text. Once a bill has been approved by a majority of the committee’s members, a report is drawn up, detailing the discussions and changes made. Then the bill is passed back to the plenary for a second reading, and the different parliamentary groups can state their opinions and propose further changes. At the end of the second reading, the National Council votes on the bill, and on any amendments. A bill passes if at least one third of Council members are present and a simple majority votes in favour. The entire bill is then put to a vote in a third and final reading.<br><br></div><div><br>After the National Council enacts a bill, it is referred to the Federal Council for approval. While the Federal Council cannot amend the proposed legislation, it can reject it by means of a reasoned objection. However, with a few exceptions, the Federal Council has only a “suspensive veto” and cannot prevent a bill from being passed into law.<br><br></div>","true","9 Bundesländer","OECD, EU","0.15 %","55.67","High income","published"
"17","Belgium","BEL","National","Europe & Central Asia","<p style=""text-align: justify;"">The Kingdom of Belgium is a federal parliamentary democracy under a constitutional monarchy. The national government was created through the 1993 revision of the 1831 Constitution, which has been amended several times, most recently in May 2014. The national government is composed of three Communities (Flemish, French and German-speaking) and three Regions (Flemish, Walloon and Brussels-Capital), each with its own executive and legislative bodies. The Parliament, jointly with the King who heads the federal executive, have the right of legislative initiative. The Constitutional Court is the highest judicial body. On the federal level, the bicameral Parliament consists of a Senate representing the federated entities (60 seats; 50 senators from federated entities, 10 co-opted; elected for a five-year term) and a House of Representatives representing the citizens (150 seats; members directly elected by popular vote for a five-year term; proportional representation). The last federal election was held on 25 May 2014, and the next is scheduled for 2019.</p>
<p style=""text-align: justify;"">The Constitution is the highest-ranking legal norm, followed by, in descending order, federal Special Acts (which require special majority and organize division of powers and operational rules of public institutions); federal Acts and federated entities’ Decrees and Ordinances (the legal value of the latter being restricted to the territorial boundaries of the concerned region); and royal, government and ministerial orders implementing the Acts or Decrees. In addition, an ‘Agreement on Co-operation’ can be adopted among the federated entities and the national government, and is often used in climate change policy in cases where actions need to be co-ordinated at the national level. A draft Act is voted in plenary session of one or both of the Parliament Chambers depending on its content. It is then transmitted to the King, who gives his assent and promulgates the Act after countersignature by the relevant Minister. The Act generally takes effect the 10<sup>th</sup> day after publication in the official Gazette.</p>","true","3 communities, 3 regions","OECD, EU","0.23 %","63.83","High income","published"
"26","Bulgaria","BGR","National","Europe & Central Asia","<p style=""text-align: justify;"">The Republic of Bulgaria is a parliamentary democracy with its latest Constitution adopted in 1991 after the fall of the Communist regime in 1989. The President is head of state, directly elected for a 5–year term with a two-term limit. The Prime Minister is head of the Government (Council of Ministers), which represents the executive branch. Legislative power is vested in both the Government and the National Assembly. The Supreme Court of Cassation and the Supreme Administrative Court are the highest judicial bodies.</p>
<p style=""text-align: justify;"">The unicameral National Assembly (Parliament) is composed of 240 members elected by popular vote for four-year terms. The electoral system is closed-list proportional representation. The last (pro-term) parliamentary election was held in October 2014 and the next is planned for autumn 2018. Any member of the National Assembly or the Council of Ministers has the right to introduce a draft law. If the draft is adopted by the National Assembly after two readings, it is sent to the President of the Republic, who signs a decree for its promulgation or returns the bill to the National Assembly for further debate. The Act is promulgated in the State Gazette and enters into force within three days, unless specified otherwise.</p>
<p style=""text-align: justify;"">The Council of Ministers adopts ‘secondary legislation’: decrees, ordinances (implementing certain provisions or sections of laws), regulations (implementing a law in its entirety), rules, orders and decisions. The individual ministers issue rules, regulations, instructions and orders (to instruct subordinate bodies on the implementation of normative Acts).</p>","false",,"EU","0.09 %","70.83","Upper middle income","published"
"33","Central African Republic","CAF","National","Sub-Saharan Africa",,"false",,"LDC, G77","0.16 %","149.33","Low income","published"
"36","China","CHN","National","East Asia & Pacific","<div><br>China’s legal system is largely a civil law system. The national legislative power is exercised by the National People’s Congress (NPC) and the Standing Committee of the National People’s Congress. The NPC is responsible for criminal law, civil law, state organ law and other basic laws. While the NPC is not in session, the Standing Committee of the NPC is responsible for supplementing and amending parts of the laws promulgated by the NPC, provided they do not contradict with the basic principles of these laws. There is no division of legislative power between the central government and the provincial governments in China. The most important policy documents in China are the Five Year Plans that set the overall direction of China’s economy and often include top-level targets. These plans are complemented by laws, passed by the NPC, and policies developed by government ministries.<br><br></div>","true","22 provinces, 5 autonomus regions","G77, G20","24.36 %","55.5","Upper middle income","published"
"37","Colombia","COL","National","Latin America & Caribbean","<p style=""text-align: justify;"">The Republic of Colombia is a unitary republic, governed by representatives of the people, who are elected through direct vote. The three branches of governmental power are the executive, the legislative, and the judiciary. The 1991 Constitution is the source and origin of all laws and it overrides them all. The legislative power is vested in a bicameral Congress composed of a Senate, with 102 members, and a House of Representatives with 163 members. Senators and Representatives are elected to four year-terms and may be re-elected for indefinite terms. The last elections for Congress took place in March 2014, and the next election will be in 2018.</p>
<p style=""text-align: justify;"">Bills are usually submitted to the Secretariat of either chamber of Congress. The bill is first published in the Congressional Gazette and then assigned to one of seven standing committees by subject matter. The president of each committee assigns one or more members to act as bill sponsors and present a report to the committee (also published in the Congressional Gazette).The bill is then debated, amended, voted on and, if approved, submitted to the plenary of each chamber. The bill is assigned one or more sponsors in the plenary session where again it will be debated. The chamber may decide to send the bill back to the committee whenever its text becomes significantly different from the one originally submitted. Once the bill is approved by one chamber, it will undergo the same process in other chamber. The standing committees of each chamber may be called upon by the President of the Republic to debate a bill jointly for reasons of urgency.</p>
<p style=""text-align: justify;"">Once approved by Congress, the bill is submitted to the President who may object to it for reasons of convenience or constitutionality. Objections by reasons of constitutionality are submitted to the Constitutional Court. If both chambers, by simple majority votes, override the President’s objections for reasons of convenience, or if the Court dismisses objections for reasons of constitutionality, the President is required to sanction and enact the bill as law.  Promulgation of a law takes place by its publication in the Official Gazette and its entry into force takes place at that time or on the date indicated in the statute.</p>
<p style=""text-align: justify;"">The structure of Government and the supreme set of norms are provided by the Constitution. Congress in turn approves laws with varying hierarchy that in all cases must be consistent with the Constitution. Most statutes are ordinary laws. International treaties duly ratified by Congress also have the status of law. The Constitution grants the President regulatory power to issue decrees, resolutions, directives and orders that must conform to existing laws. Decrees and Resolutions are usually issued and enforced by the government ministries and agencies.</p>","false",,"G77","0.49 %","55.67","Upper middle income","published"
"45","Cyprus","CYP","National","Europe & Central Asia",,"false",,"EU","0.02 %","129.67","High income","published"
