"Id","Eventable","Eventable type","Event Type","Title","url","date","Description","Comments",
,2007,"Legislation","Amended","Amended by law 27191",,"15/10/15",,,
,1723,"Legislation","Amended","Amended by law 6094",,"29/12/10",,,
,1643,"Legislation","Approved","Approved by cabinet",,"18/10/11",,,
,1176,"Legislation","Approved","Approved by cabinet",,"11/07/12",,,
,1553,"Legislation","Approved","Approved by President",,"16/12/08",,,
,8229,"Legislation","Approved","Approved by Senate",,"17/03/17",,,
,1670,"Legislation","Approved","Approved by the Council of Ministers",,"11/11/11",,,
,1748,"Legislation","Law passed","Carbon price floor introduced",,"01/04/13",,,
,2022,"Legislation","Deadline for regulation","Deadline for adoption of the regulation and revision by court",,"01/06/16",,,
,8768,"Legislation","Decree passed","Decree creating",,"25/06/17",,,
,8768,"Legislation","Decree passed","Decree dissolving",,"11/04/19",,,
,1037,"Legislation","Entry into force","Enactment of specific provisions",,"29/03/06",,,
,1027,"Legislation","Entry into force","Enactment of specific provisions",,"01/01/10",,,
,1196,"Legislation","Endorsement","Endorsement by the European Council",,"28/10/14",,,
,8975,"Legislation","entry into force","entry into force",,"08/06/15",,,
,8273,"Legislation","Entry into force","Entry into force",,"01/01/18",,,
,2074,"Legislation","Entry into force","Entry into force",,"11/02/17",,,
,2040,"Legislation","Entry into force","Entry into force",,"01/01/16",,,
,1413,"Legislation","Entry into force","Entry into force",,"16/02/05",,,
,1790,"Legislation","Entry into force","Entry into force",,"01/01/15",,,
,1645,"Legislation","Entry into force","Entry into force",,"01/11/13",,,
,1561,"Legislation","Entry into force","Entry into force",,"01/05/11",,,
,1416,"Legislation","Entry into force","Entry into force",,"30/11/14",,,
,1415,"Legislation","Entry into force","Entry into force",,"30/05/80",,,
,1410,"Legislation","Entry into force","Entry into force",,"04/12/12",,,
,1409,"Legislation","Entry into force","Entry into force",,"01/07/12",,,
,1650,"Legislation","Entry into force","Entry into force of enforcement decree",,"14/04/10",,,
,1647,"Legislation","Entry into force","entry into force of enforcement decree",,"15/11/12",,,
,1543,"Legislation","Executive Decree issued","Executive Decree issued",,"23/10/07",,,
,1541,"Legislation","Federal Decree issued","Federal Decree issued",,"31/03/05",,,
,1692,"Legislation","Law adopted","Federal Heavy Vehicle Fee Act adopted",,"01/02/00",,,
,1692,"Legislation","Ordinance issued","Federal Heavy Vehicle Fee Ordinance issued",,"01/01/01",,,
,1463,"Legislation","First phase approved","First phase approved",,"02/02/11",,,
,1038,"Legislation","Start of reporting period","First reporting period commenced",,"01/07/08",,,
,1155,"Legislation","Last amended","Last amended",,"25/12/11",,,
,1154,"Legislation","Last amended","Last amended",,"25/12/11",,,
,1489,"Legislation","Last amended","Last amended",,"25/12/17",,,
,1146,"Legislation","Last amended","Last amended",,"21/05/14",,,
,1145,"Legislation","Last amended","Last amended",,"02/10/13",,,
,1143,"Legislation","Last amended","Last amended",,"01/06/14",,,
,1141,"Legislation","Last amended","Last amended",,"21/05/14",,,
,1137,"Legislation","Last amended","Last amended",,"19/05/97",,,
,1132,"Legislation","Last amended","Last amended",,"30/06/10",,,
,1113,"Legislation","Last amended","Last amended",,"25/12/08",,,
,1111,"Legislation","Last amended","Last amended",,"28/11/14",,,
,1110,"Legislation","Last amended","Last amended",,"28/11/14",,,
,1109,"Legislation","Last amended","Last amended",,"24/07/15",,,
,1108,"Legislation","Last amended","Last amended",,"28/11/14",,,
,1107,"Legislation","Last amended","Last amended",,"28/11/14",,,
,1103,"Legislation","Last amended","Last amended",,"11/04/14",,,
,1098,"Legislation","Last amended","Last amended",,"13/03/16",,,
,1080,"Legislation","Last amended","Last amended",,"04/12/14",,,
,1079,"Legislation","Last amended","Last amended",,"12/05/19",,,
,1077,"Legislation","Last amended","Last amended",,"24/12/13",,,
,1048,"Legislation","Last amended","Last amended",,"25/12/07",,,
,1059,"Legislation","Last amended","Last amended",,"25/12/10",,,
,1043,"Legislation","Last amended","Last amended",,"01/06/17",,,
,1102,"Legislation","Last amended","Last amended",,"25/07/14",,,
,1467,"Legislation","Last amended","Last amended",,"25/12/12",,,
,1766,"Legislation","Last amendment","Last amendment",,"25/12/14",,,
,9171,"Legislation","Last amendment","Last amendment",,"25/12/15",,,
,9155,"Legislation","Last amendment","Last amendment",,"25/12/99",,,
,9153,"Legislation","Last amendment","Last amendment",,"25/12/03",,,
