iso,percent_global_emissions,climate_risk_index,wb_income_group
AFG,0.203271024,41.83,Low income
AGO,0.379057634,97,Lower middle income
ALB,0.019340105,114.17,Upper middle income
AND,0.000210447,,High income
ARE,0.545521429,158.33,High income
ARG,1.014524229,79.5,Upper middle income
ARM,0.019908312,145.17,Upper middle income
ATG,0.002904172,58,High income
AUS,1.092410766,50.17,High income
AUT,0.151206368,55.67,High income
AZE,0.155688895,133.67,Upper middle income
BDI,0.016288619,73.67,Low income
BEL,0.225915151,63.83,High income
BEN,0.055831662,141,Low income
BFA,0.081295783,99.33,Low income
BGD,0.441055402,30,Lower middle income
BGR,0.092744115,70.83,Upper middle income
BHR,0.099057533,171.83,High income
BHS,0.008354757,39.67,High income
BIH,0.057346883,70.17,Upper middle income
BLR,0.169830952,142,Upper middle income
BLZ,0.010227738,48.5,Upper middle income
BOL,0.317649119,45.33,Lower middle income
BRA,2.902867639,83.17,Upper middle income
BRB,0.009154457,141.67,High income
BRN,0.035355142,169.17,High income
BTN,-0.00383014,97,Lower middle income
BWA,0.147292049,132.33,Upper middle income
CAF,0.159371722,149.33,Low income
CAN,1.639952489,88.17,High income
CHE,0.098320967,52.33,High income
CHL,0.007870728,87.83,High income
CHN,24.36320759,55.5,Upper middle income
CIV,0.065596416,142.67,Lower middle income
CMR,0.438530034,133.83,Lower middle income
COD,0.473169656,125.83,Low income
COG,0.104739609,151.5,Lower middle income
COK,0.000231492,,
COL,0.488237681,55.67,Upper middle income
COM,0.001262684,122.67,Lower middle income
CPV,0.00195716,143.5,Lower middle income
CRI,0.009743709,88.17,Upper middle income
CUB,0.057325838,,Upper middle income
CYP,0.017382945,129.67,High income
CZE,0.235216921,79.67,High income
DEU,1.701950257,38.67,High income
DJI,0.004377303,69.5,Lower middle income
DMA,0.0007997,32.33,Upper middle income
DNK,0.098194699,112.83,High income
DOM,0.060819263,58.5,Upper middle income
DZA,0.442128683,92.5,Upper middle income
ECU,0.20747997,92.83,Upper middle income
EGY,0.653270435,143.67,Lower middle income
ERI,0.016751603,109.17,Low income
ESP,0.59724937,47.33,High income
EST,0.042889155,148.83,High income
ETH,0.397029831,64.67,Low income
FIN,0.1329185,155.67,High income
FJI,0.002020294,37.17,Upper middle income
FRA,0.693634222,38,High income
GAB,-0.178796006,167.33,Upper middle income
GBR,0.971298359,65,High income
GEO,0.036260066,94.17,Upper middle income
GHA,0.10741229,102.5,Lower middle income
GIN,0.095963958,161.33,Low income
GMB,0.005050735,81,Low income
GNB,0.00885983,111.33,Low income
GNQ,0.048865858,,Upper middle income
GRC,0.181742268,78.83,High income
GRD,0.004882377,39.83,Upper middle income
GTM,0.092154862,38.33,Upper middle income
GUY,0.078749371,107.17,Upper middle income
HND,0.108338258,55,Lower middle income
HRV,0.039858714,48.33,High income
HTI,0.021128907,13.83,Low income
HUN,0.128962091,69,High income
IDN,4.690869787,76.83,Lower middle income
IND,6.809358338,38.67,Lower middle income
IRL,0.138011324,119.17,High income
IRN,1.826598179,79,Upper middle income
IRQ,0.402817131,141.33,Upper middle income
ISL,0.006713268,170.33,High income
ISR,0.189570906,120.5,High income
ITA,0.777876267,43.67,High income
JAM,0.020202939,64.83,Upper middle income
JOR,0.075171767,116,Upper middle income
JPN,2.65977999,69.33,High income
KAZ,0.608234718,142.83,Upper middle income
KEN,0.100530664,53.67,Lower middle income
KGZ,0.033671564,109.33,Lower middle income
KHM,0.137695653,35.33,Lower middle income
KIR,0.000168358,116.17,Lower middle income
KNA,0.000778655,113.5,High income
KOR,1.383480394,82.83,High income
KWT,0.235679905,152,High income
LAO,0.099499472,76.33,Lower middle income
LBN,0.0660594,120,Upper middle income
LBR,0.022181143,155.33,Low income
LBY,0.184036143,158.83,Upper middle income
LCA,0.001704623,59.33,Upper middle income
LIE,8.41789E-05,,High income
LKA,0.078538923,40.17,Upper middle income
LSO,0.007723415,106.5,Lower middle income
LTU,0.037270213,100.5,High income
LUX,0.020560699,97.17,High income
LVA,-0.004903422,83.83,High income
MAR,0.185298827,100,Lower middle income
MDA,0.024916958,86.17,Lower middle income
MDG,0.123848222,32.83,Low income
MDV,0.004251035,169.17,Upper middle income
MEX,1.44867696,61.83,Upper middle income
MHL,8.41789E-05,165,Upper middle income
MKD,0.021865472,100,Upper middle income
MLI,0.099899322,116.67,Low income
MLT,0.004040588,152.83,High income
MMR,0.461994905,10.33,Lower middle income
MNE,0.007197297,,Upper middle income
MNG,0.142262359,61.67,Lower middle income
MOZ,0.160192467,37.5,Low income
MRT,0.023990989,78.5,Lower middle income
MUS,0.013636983,104.67,Upper middle income
MWI,0.044614823,77.83,Low income
MYS,0.338904294,103.33,Upper middle income
NAM,0.042952289,66.67,Upper middle income
NER,0.089882032,74,Low income
