law_id,title,url,date,language
8840,Climate Change Policy,http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/07/Draft-National-Climate-Change-Policy-NEC.pdf,06/07/2019,en
8806,Climate Smart Agriculture Strategic Framework,http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/06/Smart_agriculture.pdf,21/06/2019,en
8802,National Climate Change Adaptation Strategy (Draft),http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/06/DEA-Draft-climate-change-adaptation-strategy.pdf,21/06/2019,en
9349,Resolution No. 181.462,http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/08/Res_181462_2004.pdf,20/08/2019,en
9092,Resolution No. 4.998,http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/08/Res_4998_2016.pdf,20/08/2019,en
9223,Link to official website,https://dof.gob.mx/nota_detalle.php?codigo=5567142&fecha=05/08/2019,7-sep-19,en
8933,Full text (PDF),http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/09/8933.pdf,17-9-19,en
8935,Full text (PDF),http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/09/8935.pdf,17-9-19,en
9347,Law 1955 of 2019 - National Development Plan,https://achc.org.co/wp-content/uploads/2019/05/Ley-1955de-2019-PND.pdf,25/09/2019,en
9342,PNACC-2,http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/10/PNACC2_France.pdf,10/06/2019,en
9342,Understanding PNACC2,http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/10/PNACC2_hazards.pdf,10/06/2019,en
8812,Energy Efficiency Strategy,http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/10/EE_Strategy_ZAF.pdf,16/10/2019,en
9348,ENACC,http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/11/ENACC-2016.pdf,7/11/2019,en
9354,National Disaster Resilience Strategy,http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/11/National-Disaster-Resilience-Strategy-10-April-2019.pdf,11/11/2019,en
9360,Public sector Sustainability Plan,http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/11/public-sector-sustainability-plan-2017-2020.pdf,12/11/2019,en
9362,CC Adaptation measures,http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/11/South_Korea.pdf,12/11/2019,en
9344,CC Policy,http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/10/Policy_CC_Morocco.pdf,7/10/2019,en
9209,Official summary (PDF),http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/09/FOLLETO-TAREA-VIDA.pdf,7-sep-19,en
9209,Ecured link,https://www.ecured.cu/Tarea_Vida,7-sep-19,en
9173,Full text (PDF),http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/09/9173.pdf,21-9-19,en
