id,law_id,title,description,geography_iso,sector,legislation_type,visibility_status,frameworks,document_types,keywords,natural_hazards
8840,8840,Climate Change Policy (Draft),"<strong>Still a draft at this point - 20/11/19 AK</strong>

The Climate Change Policy restates the commitment made by the Royal Government of Bhutan at the COP15 to remain carbon neutral, which was reiterated on its Nationally Determined Contribution (NDC) in the Paris Agreement.

It aims to provide guidance to achieve a climate resilient and carbon neutral economy that contributes to gross national happiness. The policy was formulated in a participatory manner and it wishes to ensure a continued participation of relevant stakeholders in climate change action.

The policy has 4 main statements: carbon neutrality, building resilience to climate change, means for implementation and effective and coordinated actions. It recommends for a Climate Change Act to be prepared.",BTN,"Residential and Commercial,Economy-wide,Transportation",Executive,draft,"mitigation, adaptation",Policy,"Adaptation, Industry, Institutions / Administrative arrangements, LULUCF, Research and development",""
8806,8806,"Climate smart agriculture strategic framework for agriculture, forestry and fisheries (Draft)","<strong>still draft ; saw that comments procedure happened in oct 18; cannot see official finalised document</strong>

<strong>still nothing - 20/11/19 AK</strong>

The Climate Smart Agriculture Strategic Framework begins with the premise that the Agriculture, Forestry and Fisheries (AFF) sector's adaptive capacity is closely linked to the country's level of economic development. It emphasises factors such as vulnerability, the structure of critical institutions, risk perception and patterns of decision-making authority in the development and implementation of the Strategic Framework.

Its main goal is to promote effective adaptation and to increase adaptive capacity in order to reduce vulnerability and increase resilience of the country's AFF sector. The Framework has 5 strategic objectives and 6 key outputs, which it describes in detail.",ZAF,"Agriculture,LULUCF",Executive,draft,Adaptation,Framework; Strategy,Adaptation,""
8802,8802,National Climate Change Adaptation Strategy (Draft),"<strong>To check in a few months whether was officially finalised - AK</strong>

<strong>Still nothing - 20/11/19 AK</strong>

The National Climate Change Adaptation Strategy (NCCAS) provides a common vision of climate change adaptation and climate resilience for South Africa, and outlines priority areas for achieving this vision. It draws on South Africa's National Climate Change Response Policy (NCCRP) (DEA 2011), the National Development Plan (NDP) (NPC 2011), the adaptation commitments included in its Nationally Determined Contributions (NDC), sector adaptation plans, provincial adaptation plans and local government adaptation plans.

The main objective of the document is to provide guidance across all levels of government, sectors, and stakeholders affected by climate variability and change. It should also serve as the country's National Adaptation Plan and fulfils the commitment to its international obligations under the Paris Agreement. It is divided into sets of strategic objectives, interventions and outcomes with associated actions.",ZAF,"",Executive,draft,Adaptation,Strategy,Adaptation,""
9349,9349,"Resolution No. 181.462 - Modifies Resolution No. 181.401, which adopts the greenhouse gas emission factor for energy generation projects with renewable sources","This Resolution modifies amends Resolution No. 181.401, which adopts the greenhouse gas emission factor for energy generation projects with renewable sources. It modifies the emission factor of 0.471 kg CO2 / kWh for the calculation of greenhouse gas emission reductions for energy generation projects with unconventional or renewable energy sources such as photovoltaic, hydroelectric, tidal, wind, geothermal and biomass, interconnected to the network, whose installed capacity is equal to or less than 15 MW, according to the methodology of the clean development mechanism.",COL,Energy,Executive,published,Mitigation,Resolution,"Carbon Pricing, Industry",""
9092,9092,Resolution No. 4.998 creating the Sector Committee for Disaster Risk Management,"<p style=""text-align: left;"">This Resolution creates the Sector Committee for Disaster Risk Management, as an instance responsible for planning, monitoring, coordination and articulation of knowledge processes and risk reduction, disaster management and climate change.</p>
The Committee will also contribute to optimise the performance of the different public entities in the execution of actions for disaster risk management.",COL,"",Executive,published,,Resolution,Adaptation,""
9223,9223,General Tourism Planning Programme of the Territory,This extensive document underpins infrastructure development as a necessity for the integral growth of tourism Mexico. It notably seeks to align tourism development objectives with climate change adaptation measures and with disaster risk management policies.,MEX,Tourism,Executive,published,,Programme,"Adaptation, Disaster Risk Management",""
8933,8933,Erosion Control Work Act,"This act classifies different types of erosion control projects, requires the Minister of Korea Forest Service to create an erosion control master plan and investigate eroded lands to evaluate outcome of master plans, requires subnational and local governments to designate land in need of erosion control, requires the national government to undertake erosion works or delegate the responsibility to do so to to local governments or businesses, and defines some procedures for conducting erosion control works. This includes coastal erosion.",KOR,"Coastal zones,Transportation",Legislative,published,,Law,Adaptation,""
8935,8935,Reservoir and Dam Safety Control and Disaster Prevention Act,"This act requires the government to create national safety standards for dams and reservoirs to prevent disasters, allows subnational governments to designate dams and reservoirs as being ""in danger"" and requires them to create master plans for dam and reservoir management, and requires the Minister of Public Safety and Security to create a plan for supporting research and development of technology to improve dam and reservoir safety.",KOR,"",Legislative,published,DRM/DRR,Law,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements, Research and development",""
9347,9347,"Law 1955 issuing the National Development Plan 2018-2022 'Pact for Colombia, Pact for Equity'","The present Law issues the National Development Plan for 2018-2022 called ""Pact for Colombia, Pact for Equity"" of the Government of President IvÃ¡n Duque. The Plan has 16 chapters called ""Pacts"", and chapter 4 ""Pact for sustainability: produce through conservation conserving and conservation through production"" includes a line of action for climate change mitigation and a line of action for climate change adaptation.

This Plan replaces the previous <a href=""http://www.lse.ac.uk/GranthamInstitute/law/law-1450-establishing-the-national-development-plan-2010-2014/"">National Development Plan 2010-2014</a>.",COL,"",Legislative,published,,Law,"Adaptation, Energy Supply, Institutions / Administrative arrangements, Mitigation",""
9342,9342,National Climate Change Adaptation Plan 2018-2022,"The National Climate Change Adaptation Plan 2018-2022 (PNACC-2) is France's second adaptation Plan (<a href=""http://www.lse.ac.uk/GranthamInstitute/law/national-climate-change-adaptation-plan-3/"">PNACC-1</a> covered the period 2011-2015). Its general objective is to implement the necessary actions to adapt by 2050, the metropolitan and overseas French territories to expected regional climate change; this in line with the long-term objectives of the Paris Agreement and the relevant objectives of other international conventions.

The plan has 6 axes that cover governance, prevention and resilience, nature and environment, economic sectors, knowledge and information and the international scene, each one with specific measures.",FRA,"LULUCF,Transportation",Executive,published,Adaptation,Plan,Adaptation,""
8812,8812,National Energy Efficiency Strategy,"This document is based on the White Paper on Energy Policy (1998) and determines how to improve energy utilisation, mainly through improvements in energy intensity and decoupling economic growth from energy demand.

The <a href=""http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/10/EE_Strategy_ZAF.pdf"">National Energy Efficiency Strategy (2016)</a>, only released as a draft, aims to further stimulate energy efficiency improvements, achieved through the energy efficiency strategy from 2005, through a combination of fiscal and financial incentives, and enabling measures. It expects to achieve and economy-wide reduction of 29% in final energy consumption. The document has 7 sections, the first three present the policy's background and objectives, then it presents the country's energy consumption profile and the opportunities for energy savings, then it presents goals and targets for specific sectors (i.e. residential, transports...) and finally how to achieve these goals.",ZAF,"Residential and Commercial,Economy-wide,Energy,Transportation",Executive,published,,Strategy,"Energy Demand, Energy Supply, Industry",""
9348,9348,National Climate Change Adaptation Strategy,"The National Climate Change Adaptation Strategy (ENACC) aims to increase the country's response capacity and reduce vulnerability to climate change by integrating into development planning risk management and control of foreseeable impacts.

The document presents the institutional framework, the current public policy instruments, and lines of action grouped into 5 components: research and technological innovation, diffusion of climate change challenges and opportunities, strengthening of environmental governance, mainstreaming of climate change issues, and implementation of risk reduction and adaptation policies.",PRY,"",Executive,published,Adaptation,Strategy,"Adaptation, Disaster Risk Management, Institutions / Administrative arrangements",""
