"Id","Name","External url","Language","Last verified on","Documentable id","Documentable type"
"1578","1001.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1001.pdf","","2018-09-03","1372","Legislation"
"1577","4621.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/4621.pdf","","2018-09-03","1371","Legislation"
"1576","1003.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1003.pdf","","2018-09-03","1370","Legislation"
"1575","4624.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/4624.pdf","","2018-09-03","1369","Legislation"
"1574","1005.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1005.pdf","","2018-09-03","1368","Legislation"
"1573","1006.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1006.pdf","","2018-09-03","1367","Legislation"
"1572","1008.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1008.pdf","","2018-09-03","1366","Legislation"
"1571","decree-Algeria-2006-138.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2017/09/decree-Algeria-2006-138.pdf","","2017-09-21","1365","Legislation"
"1570","1244055.pdf (imported)","http://www.vitaminedz.org/articlesfiche/1244/1244055.pdf","","2017-09-21","1365","Legislation"
"1569","1009.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1009.pdf","","2018-09-03","1364","Legislation"
"1568","1010.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1010.pdf","","2018-09-03","1363","Legislation"
"1567","1011.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1011.pdf","","2018-09-03","1362","Legislation"
"1566","1012.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1012.pdf","","2018-09-03","1361","Legislation"
"1565","1018.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1018.pdf","","2018-09-03","1360","Legislation"
"1564","1025.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1025.pdf","","2018-09-03","1359","Legislation"
"1563","1052.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1052.pdf","","2018-09-03","1358","Legislation"
"1562","1029.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1029.pdf","","2018-09-03","1357","Legislation"
"1561","1044.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1044.pdf","","2018-09-03","1356","Legislation"
"1560","1065_2.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1065_2.pdf","","2018-09-03","1355","Legislation"
"1559","1065.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1065.pdf","","2018-09-03","1355","Legislation"
"1558","1061.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1061.pdf","","2018-09-03","1354","Legislation"
"1557","1021.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1021.pdf","","2018-09-03","1353","Legislation"
"1556","1176.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1176.pdf","","2018-09-03","1352","Legislation"
"1555","1024.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1024.pdf","","2018-09-03","1351","Legislation"
"1554","1067.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1067.pdf","","2018-09-03","1350","Legislation"
"1553","1028.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1028.pdf","","2018-09-03","1349","Legislation"
"1552","1027.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1027.pdf","","2018-09-03","1348","Legislation"
"1551","1087.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1087.pdf","","2018-09-03","1347","Legislation"
"1550","1030.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1030.pdf","","2018-09-03","1346","Legislation"
"1549","1031.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1031.pdf","","2018-09-03","1345","Legislation"
"1548","1032.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1032.pdf","","2018-09-03","1344","Legislation"
"1547","1033.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1033.pdf","","2018-09-03","1343","Legislation"
"1546","1035.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1035.pdf","","2018-09-03","1342","Legislation"
"1545","1034.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1034.pdf","","2018-09-03","1341","Legislation"
"1544","1037_3.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1037_3.pdf","","2018-09-03","1340","Legislation"
"1543","1037_2.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1037_2.pdf","","2018-09-03","1340","Legislation"
"1542","1037_1.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1037_1.pdf","","2018-09-03","1340","Legislation"
"1541","1038.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1038.pdf","","2018-09-03","1339","Legislation"
"1540","1096.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1096.pdf","","2018-09-03","1338","Legislation"
"1539","1040.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1040.pdf","","2018-09-03","1337","Legislation"
"1538","1482.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1482.pdf","","2018-09-03","1336","Legislation"
"1537","1043_2017.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1043_2017.pdf","","2018-09-03","1335","Legislation"
"1536","1043.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1043.pdf","","2018-09-03","1335","Legislation"
"1535","1125.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1125.pdf","","2018-09-03","1334","Legislation"
"1534","1046.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1046.pdf","","2018-09-03","1333","Legislation"
"1533","1064_2010.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1064_2010.pdf","","2018-09-03","1332","Legislation"
"1532","1049.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1049.pdf","","2018-09-03","1331","Legislation"
"1531","1050.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1050.pdf","","2018-09-03","1330","Legislation"
"1530","1053.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1053.pdf","","2018-09-03","1329","Legislation"
"1529","1306-ENtranslation.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1306-ENtranslation.pdf","","2018-09-03","1328","Legislation"
"1528","1306.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1306.pdf","","2018-09-03","1328","Legislation"
"1527","1054.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1054.pdf","","2018-09-03","1327","Legislation"
"1526","JNAP-II-The-second-Joint-National-Action-Plan-for-the-Cook-Islands.pdf (imported)","http://www.emci.gov.ck/wp-content/uploads/2017/05/JNAP-II-The-second-Joint-National-Action-Plan-for-the-Cook-Islands.pdf","","2018-04-29","1326","Legislation"
"1525","cok141434.pdf (imported)","http://extwprlegs1.fao.org/docs/pdf/cok141434.pdf","","2018-04-29","1326","Legislation"
"1524","1036.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1036.pdf","","2018-09-03","1325","Legislation"
"1523","1057.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1057.pdf","","2018-09-03","1324","Legislation"
"1522","1058.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1058.pdf","","2018-09-03","1323","Legislation"
"1521","1045.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1045.pdf","","2018-09-03","1322","Legislation"
"1520","1062.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1062.pdf","","2018-09-03","1321","Legislation"
"1519","1063.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1063.pdf","","2018-09-03","1320","Legislation"
"1518","1127.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1127.pdf","","2018-09-03","1319","Legislation"
"1517","1048.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1048.pdf","","2018-09-03","1318","Legislation"
"1516","1066.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1066.pdf","","2018-09-03","1317","Legislation"
"1515","1068.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1068.pdf","","2018-09-03","1316","Legislation"
"1514","1069.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1069.pdf","","2018-09-03","1315","Legislation"
"1513","1070.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1070.pdf","","2018-09-03","1314","Legislation"
"1512","1071.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1071.pdf","","2018-09-03","1313","Legislation"
"1511","1072.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1072.pdf","","2018-09-03","1312","Legislation"
"1510","1075.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1075.pdf","","2018-09-03","1311","Legislation"
"1509","1042.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1042.pdf","","2018-09-03","1310","Legislation"
"1508","loi_a.pl?language=fr&caller=list&cn=2003013138&la=f&fromtab=loi&sql=dt=%27loi%27&tri=dd+as+rank&rech=1&numero=1 (imported)","http://www.ejustice.just.fgov.be/cgi_loi/loi_a.pl?language=fr&caller=list&cn=2003013138&la=f&fromtab=loi&sql=dt=%27loi%27&tri=dd+as+rank&rech=1&numero=1","","2018-09-03","1309","Legislation"
"1507","1076.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1076.pdf","","2018-09-03","1308","Legislation"
"1506","1080.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1080.pdf","","2018-09-03","1307","Legislation"
"1505","1051.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1051.pdf","","2018-09-03","1306","Legislation"
"1504","2017.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/2017.pdf","","2018-09-03","1305","Legislation"
"1503","1083.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1083.pdf","","2018-09-03","1304","Legislation"
"1502","1085.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1085.pdf","","2018-09-03","1303","Legislation"
"1501","1084.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1084.pdf","","2018-09-03","1302","Legislation"
"1500","1086.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1086.pdf","","2018-09-03","1301","Legislation"
"1499","1164.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1164.pdf","","2018-09-03","1300","Legislation"
"1498","1088.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1088.pdf","","2018-09-03","1299","Legislation"
"1497","1041.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1041.pdf","","2018-09-03","1298","Legislation"
"1496","1091.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1091.pdf","","2018-09-03","1297","Legislation"
"1495","1078.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1078.pdf","","2018-09-03","1296","Legislation"
"1494","1244.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1244.pdf","","2018-09-03","1295","Legislation"
"1493","1171d.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1171d.pdf","","2018-09-03","1294","Legislation"
"1492","1171b.pdf@1171c.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1171b.pdf@1171c.pdf","","2018-09-03","1294","Legislation"
"1491","1171a.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1171a.pdf","","2018-09-03","1294","Legislation"
"1490","1295_EN.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1295_EN.pdf","","2018-09-03","1293","Legislation"
"1489","1295.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1295.pdf","","2018-09-03","1293","Legislation"
"1488","1097.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1097.pdf","","2018-09-03","1292","Legislation"
"1487","1098.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1098.pdf","","2018-09-03","1291","Legislation"
"1486","1099.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1099.pdf","","2018-09-03","1290","Legislation"
"1485","1081.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1081.pdf","","2018-09-03","1289","Legislation"
"1484","1074.pdf (imported)","http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1074.pdf","","2018-09-03","1288","Legislation"
