"Id","Law","Title","Legislation type","Date passed","Description","Geography","Geography iso","Frameworks","Document types","Responses","Keywords","Natural hazards","Visibility status"
16,8773,"Climate Solutions Package","executive","25 Feb 2019","In 2019, the Australian government announced the Climate Solutions Package, which consolidated a number of existing government programs and policies, and initiated a several new ones. New initiatives include:
<ul style=""list-style-type: disc;"">
 	<li>A $2 billion Climate Solutions Fund, which continues and expands the focus of the government's previous Emissions Reductions Fund.</li>
 	<li>The Energy Efficient Communities Program, the goal of which is to improve energy efficiency standards and labelling and to generally help people's homes, businesses, and communities be more energy efficient.</li>
 	<li>The Battery of the Nation project to build storage unit for electricity generated in from hydro power</li>
 	<li>Mandating the creation of a National Strategy for Electric Vehicles</li>
</ul>","Australia","AUS",,"Policy",,,,"published"
2,8801,"Fundamental Plan for National Resilience","executive","14 Dec 2018","This plan defines four overarching principles governing resilience in Japan: preventing loss of life, maintaining state and society functions, minimizing property damage, and achieving swift recovery. The policies planned for by the Japanese government place special emphasis on combining ""hard"" and ""soft"" adaptation measures. Examples include developing disaster management facilities, resilient construction, emergency drills, and disaster management education. Additionally, this plan outlines procedures for conducting vulnerability assessments, different mechanisms for promoting resilience in different sectors and at different levels of government, and the process for reviewing national and subnational resilience plans.","Japan","JPN",,"Plan",,,,"published"
38,8750,"Royal Decree-law 15/2018 on urgent measures for energy transition and consumer protection","executive","05 Oct 2018","This decree law aims to accelerate the transition to a decarbonised economy by increasing integration of renewable energies into the Spanish economy and promoting energy efficiency. It aims to use economic signals to incentivise consumers, companies and others to adopt renewable energy and energy efficient technologies. In order to accelerate Spain's transition to renewable energies, the law introduces a number of fiscal measures, including (1) a tax exemption for producers of energy incorporated into the electricity system for a period of six months, (2) a tax exemption for the use of energy products intended to produce electricity in power stations or the production of electricity or the co-generation of electricity and heat in combined heat and power stations, (3) a tax exemption for self-consumed energy of renewable origin, co-generation or waste.","Spain","ESP",,"Royal decree",,,,"published"
23,8772,"Decree No. 9308 – establishing the annual compulsory targets for greenhouse gas emission reduction related to fuel trade referred to in Law No. 13.576","executive","15 Mar 2018","This Decree establishes the annual compulsory targets for greenhouse gas emission reduction related to fuel trade, which is dealt with in art. 6 of Law 13.576, for a minimum period of ten years. It shall be defined by the National Energy Policy Council (CNPE), in accordance with the provisions of this Decree. The goals emphasise the improvement of the carbon intensity of the Brazilian fuel and will comply with the international commitments to reduce emissions of greenhouse gases.","Brazil","BRA",,"Decree",,,,"published"
20,8780,"Regulatory Instruction No. 5 – regulating the environmental control of potentially polluting activities related to the substances subject to control and elimination according to the Montreal Protocol","executive","16 Feb 2018","This regulatory instruction passed by the Brazilian Institute of Environment and Renewable Natural Resources (IBAMA) regulates the environmental control of potentially polluting activities related to the substances subject to control and elimination according to the Montreal Protocol. It specifies that any producer, importer, exporter, trader and user of any of the controlled substances, as well as regeneration and incineration plants, are required to have an updated registration in the CTF/APP, contemplating the activities related to substances controlled.","Brazil","BRA","Mitigation","Regulation/rules",,,,"published"
25,8768,"Decree No. 9.082 – establishing the Brazilian Forum on Climate Change","executive","25 Jun 2017","This Decree creates the Brazilian Forum on Climate Change. This Forum on Climate Change aims to raise awareness and mobilise society and contribute to the discussion of actions needed to address global climate change, in accordance with the provisions of the National Policy on Climate Change and the United Nations Framework Convention on Climate Change and the agreements international agreements, including the Paris Agreement and Brazil's Nationally Determined Contributions.","Brazil","BRA","Adaptation, Mitigation","Decree",,,,"published"
21,8776,"Decree No. 8.972 – creates National Policy for the Recovery of Native Vegetation","executive","23 Jan 2017","This Decree creates the National Policy for the Recovery of Native Vegetation -Proveg. It establishes its objectives and guidelines, and defines its governance. Proveg has within its main objectives to articulate, integrate and promote policies, programmes and actions that encourage the recovery of forests and other forms of native vegetation; and  to promote the environmental regularisation of Brazilian rural properties, under the terms of Law 12.651 of 25 May 2011.","Brazil","BRA","Adaptation, Mitigation","Decree",,,,"published"
65,8721,"Seventh Development Plan 2017-2021","executive","01 Jan 2017","This Plan sets the government's development vision over the period 2017-2021. Point 4.9 calls for fostering national climate change mitigation and adaptation efforts. It also seeks to integrate the climate change constraint into sectoral policies, notably in the agriculture and water sectors.

The third strategy of the plan focuses on promoting renewable energy sources.

Carbon financing schemes are also mentioned.","Zambia","ZMB",,"Plan",,,,"published"
40,8751,"Climate Action Plan 2050","executive","14 Nov 2016","Germany's Climate Action Plan 2050 outlines the process for achieving the country's climate targets for all sectors in line with the Paris Agreement, including energy, the built environment, transportation, industry and business and agriculture and forestry. The plan also outlines emissions reductions targets for individual sectors for 2030 and provides guidance for how to achieve those targets. The plan includes processes for monitoring progress and updating the plan if necessary in line with the five-yearly stocktake of the NDCs specified in the Paris Agreement. The main goal of the plan is to achieve carbon neutrality by 2050. The interim goal of the plan is to reduce Germany's total emissions by 55 percent by 2030, compared to 1990.

Concrete measures to achieve these targets laid out by the plan include: (1) establish a governmental commission to addressing the question of how to combat climate change while maintaining growth and development, (2) developing more robust energy standards for new buildings and those undergoing substantial renovation, (3) formulate a complete strategy for reducing emissions in the transportation sector, (4) launching a research and development programme aimed at reducing greenhouse gas emissions from industrial processes, (5) fully implement existing provisions governing fertiliser use, (6) improving carbon sequestration through afforestation, and (7) strengthen economic incentives, including taxes, to encourage polluters to reduce their emissions.","Germany","DEU","Mitigation","action plan",,,,"published"
61,8727,"United Nations Paris Agreement (Implementation) Act 2016","legislative","01 Jan 2016","This Act addresses climate change issues in Papua New Guinea and implements the country's obligations under the Paris Agreement. The document is declared a matter of national interest. It establishes the authority responsible for 1) determining the benefits and levies of the Organic Law in respect of GHG emissions and carbon capture and storage, 2) determining the rates, management, sharing arrangements and application of related benefits and levies, and 3) establishing and administering trust funds of Section 98(3) of the Organic Law.

The Act further 1) establishes the principles for sharing revenues generated from economic regulatory regimes for emitting and sequestering carbon, 2) establishes the consultation process on the consequences of GHG emissions on local development, and 3) defines the legal framework necessary to adopt regulations in the field of GHG emissions, and its organisational and financial implications.","Papua New Guinea","PNG","Mitigation","Act",,,,"published"
