"Id","Title","Document type","Geography iso","Geography","Jurisdiction iso","Jurisdiction","Sector","Citation reference number","Summary","Keywords","At issue","Visibility status","Legislation ids"
199,"Borealis Polyolefine GmbH v. Bundesminister (European Court of Justice, 2016)","Administrative Case","EUR","European Union","EUR","European Union",,"[2016] Case C-191/14","This European Court of Justice rejected arguments from three industrial firms—one German, one Dutch, and one Italian—that they should be granted a larger number of free greenhouse gas emissions allowances under the European Union’s greenhouse gas Emissions Trading Scheme (ETS). The Court also instructed the European Commission to revise its approach to determining how many free allowances to grant—a step that has injected uncertainty into the markets built on the ETS. Several features of the ETS are critical to the case: 

some allowances are auctioned to emitters and others are given away for free; 
there are a fixed proportion of free allowances, which are granted only to firms that face competition from non-EU firms—a category that excludes electricity generators;
the process for calculating the number of allowances—auctioned and free—begins with member states’ submission of emission sources and estimated volumes;
responding to members states’ overestimation of the allowances due to their industrial firms, the European Commission issued Decisions in 2011 and 2013 to govern the calculation of a “correction factor.”

The Court found that the European Commission’s 2013 Decision established a “correction factor” calculation that ignored relevant information, and on that basis instructed the Commission to revise its approach by March 2017. The Court’s ruling largely ratified the November 2015 recommendation issued in the case by Advocate General Kokott, but deviated in one important respect: whereas Kokott had concluded that too many free allowances were granted to the firms, the ECJ determined that it was unclear whether too many or too few had been granted.",,"Legal validity of “correction factor” calculation for emissions allowances","Draft",
198,"BOT Elektrownia Be?chatów S.A. & Others v. Commission of the European Communities (Court of First Instance, 2008)","Administrative Case","EUR","European Union","EUR","European Union",,"[2008] Case T-208/07","Applicants in the above actions challenged the Commission of the European Communities’ decision rejecting the Polish Phase II national allocation plan (NAP) for the allocation of GHG emission allowances.  The Court dismissed all actions as inadmissible because the Commission’s decision did not directly and individually affect the Applicants.",,"Sought annulment of Commission decision rejecting part of the Polish Phase II NAP","Draft",
197,"Bundesrepublik Deutschland v. Nordzucker AG (European  Court of Justice, 2015)","Administrative Case","EUR","European Union","EUR","European Union",,"[2015] Case C-148/14","Nordzucker AG (“Nordzucker”), a sugar refinery operator in Germany, produced an emissions report for 2005 pursuant to Directive 2003/87/EC,  part of the European Union’s greenhouse gas emissions trading scheme. Nordzucker’s emissions report excluded emissions resulting from steam generation necessary to operate the refinery’s drying facility on the basis of a letter from a German Ministry stating that such facilities were exempted from compulsory emissions trading schemes. An expert verified the report, and Nordzucker surrendered emissions allowances equal to the emissions stated in the report. Subsequently, the German Emissions Trading Authority examined Nordzucker’s emissions report and found that it should have included emissions attributable to the refinery’s drying facility. Nordzucker revised its emissions report and surrendered additional allowances. German authorities found Nordzucker liable for failing to timely surrender emissions allowances and levied a penalty as provided in Article 16(3) of Directive 2003/87. After a series of appeals, the German Federal Administrative Court referred to the European Court of Justice the question whether excess emissions penalties apply where an operator surrenders allowances equal to emissions stated in a verified report, but where the report is later found to understate the operator’s emissions and additional allowances are surrendered. The European Court of Justice found that such penalties should not apply and that, in such cases, national authorities should establish proportionate penalties taking into account relevant factual circumstances.",,"Referred question regarding proper penalties to be levied for excess emissions under EU’s GHG emissions trading scheme","Draft",
196,"Buzzi Unicem SpA v. Commission of the European Communities (Court of First Instance, 2008)","Administrative Case","EUR","European Union","EUR","European Union",,"[2008] Case T-241/07","Applicant Italian cement producer sought to annual a Commission decision rejecting in part the Italian Phase II national allocation plan (NAP).  The court dismissed the action as inadmissible because the Applicant was unable to demonstrate that it was directly and individually affected.",,"Sought annulment of Commission decision rejecting in part the Italian Phase II NAP","Draft",
195,"Cementownia “Odra” S.A. v. Commission of the European Communities (Court of First Instance, 2008)","Administrative Case","EUR","European Union","EUR","European Union",,"[2008] Case T-199/07","Applicants in the above actions challenged the Commission of the European Communities’ decision rejecting the Polish Phase II national allocation plan (NAP) for the allocation of GHG emission allowances.  The Court dismissed all actions as inadmissible because the Commission’s decision did not directly and individually affect the Applicants.",,"Sought annulment of Commission decision rejecting part of the Polish Phase II NAP","Draft",
194,"Cemex Polska sp. z o.o. v. Commission of the European Communities (Court of First Instance, 2008)","Administrative Case","EUR","European Union","EUR","European Union",,"[2008] Case T-203/07","Applicants in the above actions challenged the Commission of the European Communities’ decision rejecting the Polish Phase II national allocation plan (NAP) for the allocation of GHG emission allowances.  The Court dismissed all actions as inadmissible because the Commission’s decision did not directly and individually affect the Applicants.",,"Sought annulment of Commission decision rejecting part of the Polish Phase II NAP","Draft",
193,"Cementownia “Warta” S.A. v. Commission of the European Communities (Court of First Instance, 2008)","Administrative Case","EUR","European Union","EUR","European Union",,"[2008] Case T-198/07","Applicants in the above actions challenged the Commission of the European Communities’ decision rejecting the Polish Phase II national allocation plan (NAP) for the allocation of GHG emission allowances.  The Court dismissed all actions as inadmissible because the Commission’s decision did not directly and individually affect the Applicants.",,"Sought annulment of Commission decision rejecting part of the Polish Phase II NAP","Draft",
192,"Commission of the European Communities v. Italian Republic (European Court of Justice, 2006)","Administrative Case","EUR","European Union","EUR","European Union",,"[2006] Case C-122/05","Action brought against the Italian Republic by the Commission for its failure to adopt all laws, regulations, and administrative provisions necessary to comply with Directive 2003/87/EC.  The court ruled that the Italian Republic had failed to fulfill its obligations under Article 31(1) of the directive.",,"Action against Italy for failure to fulfill obligations","Draft",
191,"Commission of the European Communities v. Finland (European Court of Justice, 2006)","Administrative Case","EUR","European Union","EUR","European Union",,"[2006] Case C-107/05","Finland failed to apply in full the EU ETS to the province of Aland.  The Commission brought this action under the Article 226 EC procedure, contending that Finland had failed to properly implement the Directive.  The Court agreed with the Commission, holding that Finland, by not implementing Directive 2003/87/EC in due time, failed to fulfill its obligations.",,"Action against Finland for failure to fulfill obligations","Draft",
190,"Drax Power & Others v. Commission of the European Communities (Court of First Instance, 2007)","Administrative Case","EUR","European Union","EUR","European Union",,"[2007] Case T-130/06","Applicant contended that the Commission wrongly rejected the United Kingdom national allocation plan (NAP) for a second time following its decision in Case T-178/05, United Kingdom v. Commission, on the grounds that the proposed amendments were notified too late.  The court dismissed the application as inadmissible.",,"Challenge to Commission decision rejecting UK NAP","Draft",
189,"Dyckerhoff Polska sp. z o.o. v. Commission of the European Communities (Court of First Instance, 2008)","Administrative Case","EUR","European Union","EUR","European Union",,"[2008] Case T-196/07","Applicants in the above actions challenged the Commission of the European Communities’ decision rejecting the Polish Phase II national allocation plan (NAP) for the allocation of GHG emission allowances.  The Court dismissed all actions as inadmissible because the Commission’s decision did not directly and individually affect the Applicants.",,"Sought annulment of Commission decision rejecting part of the Polish Phase II NAP","Draft",
188,"Essent Belgium NV v. Vlaamse Reguleringsinstantie voor de Elektriciteits- en Gasmarkt (European Court of Justice, Fourth Chamber, 2014)","Administrative Case","EUR","European Union","EUR","European Union",,"[2014] Cases C-204/12 to C-208/12","A Belgian electricity supplier (Essent) challenged the decision of the defendant regulatory authority (VREG) to impose fines on Essent for failing to meet its quota obligation for the use of renewable energy. Pursuant to Belgium’s national support scheme, VREG refused to accept Essent’s submission of “guarantees of origin” attesting to the production of green electricity outside of the Flemish region.  Essent argued, inter alia, that VREG’s decision was inconsistent with the Treaty on the Functioning of the European Union (TFEU) and the Agreement on the European Economic Area (EEA).  The court held that European Union law does not require a national support scheme promoting the use of renewable energy to extend to green electricity produced in other European Union nations. In reaching its decision, the court reasoned that the law at issue was justified on public interest grounds, since it contributed to the European Union’s pledge to combat climate change by reducing emissions of greenhouse gases.",,"Electricity supplier challenged Belgium’s regional support scheme for the production of renewable energy on the basis that quotas could not be met with electricity produced outside the region.","Draft",
187,"EnBW Energie Baden-Württemberg AG  v. Commission of the European Communities (Court of First Instance, Third Chamber, 2007)","Administrative Case","EUR","European Union","EUR","European Union",,"[2007] Case T-387/04","European Court decision on the implementation of Directive 2003/87/EC establishing the greenhouse gas allowance trading scheme. EnBW (major German energy producer) requested the annulment of the Commission decision of 7 July 2004 on the German National Allocation Plan (NAP). EnBW Energie Baden-Württemberg AG disagreed with the allocation methods for power stations decommissioning nuclear energy installations and considered the generous transfer rule illegal state aid. It claimed that the Commission had failed to initiate state aid procedures under EC law, thereby breaching Article 88 (2) of the Treaty. In its order of 30 April 2007, the Court decided that the request was inadmissible for lack of interest in bringing the proceedings.",,"German energy producer sought annulment of German National Allocation Plan (NAP)","Draft",
186,"European Commission v. Republic of Latvia (European Union Court of Justice, 2013)","Administrative Case","EUR","European Union","EUR","European Union",,"[2013] Case C-267/11","Latvia brought an action for annulment of the contested decision of its national allocation plan (NAP) for the 2008-2012 period arguing that the Commission’s request for further information was not timely under Art 9.3 Directive 2003/87. The General Court annulled the contested decision, and the Commission appealed. The court upheld the annulment.",,"Appeal of finding that the Commission's notification was not timely","Draft",
185,"Federal Republic of Germany v. Commission of the European Communities (Court of First Instance, Third Chamber, Extended Composition, 2007)","Administrative Case","EUR","European Union","EUR","European Union",,"[2007] Case T-374/04","European Court concluded, inter alia, that while Member States have a degree of freedom in establishing a scheme for greenhouse gas emission allowance trading within the Community, the Commission is authorized to verify that the adopted measures are consistent with Directive 2003/87.  Furthermore, individual allocation of allowances for greenhouse gas emissions and the national allocation plan (NAP) are open to amendment under Article 11(1) of Directive 2003/87.  The Court also noted that ex-post adjustments of allowances allocated by a NAP do not harm the principal objective of Directive 2003/87.",,"Germany sought annulment of Commission decision rejecting ex post adjustments of the National Allocation Plan (NAP)","Draft",
184,"Fels-Werke GmbH v. Commission of the European Communities (Court of First Instance, 2007)","Administrative Case","EUR","European Union","EUR","European Union",,"[2007] Case T-28/07","Applicants sought to annul Commission decision rejecting part of the German Phase II national allocation plan (NAP).  The court dismissed the action as inadmissible because the Applicants were not individually affected.  The decision as appeal to the European Court of Justice in Case C-503/07, Saint-Gobain Glass Deutschland v. Commission of the European Communities (European Court of Justice, 2008).  The Court affirmed the lower court’s decision and dismissed the appeal, ruling that the Appellant could not sufficiently demonstrate that it was individually affected by the contested decision.",,"Sought to annul Commission decision rejecting part of the German Phase II NAP","Draft",
183,"Flachglas Torgau GmbH v. Federal Republic of Germany (European Court of Justice  2 CMLR 17)","Administrative Case","EUR","European Union","EUR","European Union",,"[2012] 2 CMLR 17 (Grand Chamber)","Flachglas Torgau requested information about Germany’s allocation of emissions licenses during 2005-2007.  The requested information was contained in internal documents produced by the Ministry for the Environment concerning legislation process for GHG emissions trading.  The Ministry refused this request, citing the confidentiality of proceedings of public authorities.  The 2003 Directive concerning public access to information provides that environmental information is generally considered public; however, the court upheld the Ministry’s decision to deny access to the documents requested.",,"Flachglas sought access to information re: Germany’s allocation of emissions licenses that the German Government had refused on confidentiality grounds.","Draft",
182,"G?ra?d?e Cement S.A. v. Commission of the European Communities (Court of First Instance, 2008)","Administrative Case","EUR","European Union","EUR","European Union",,"[2008] Case T-193/07","Applicants in the above actions challenged the Commission of the European Communities’ decision rejecting the Polish Phase II national allocation plan (NAP) for the allocation of GHG emission allowances.  The Court dismissed all actions as inadmissible because the Commission’s decision did not directly and individually affect the Applicants.",,"Sought annulment of Commission decision rejecting part of the Polish Phase II NAP","Draft",
181,"Green Network SpA v. Autorità per l’energia elettrica e il gas (European Court of Justice, 2014)","Administrative Case","EUR","European Union","EUR","European Union",,"[2014] Case C-66/13","An Italian company, Green Network SpA (“Green Network”), imported renewable energy from a Swiss supplier in 2005. Under Italian law, energy companies were required to purchase a certain number of green certificates each year, but could seek an exemption where they imported renewable energy from countries with analogous laws promoting renewable energy. Where the exporting country was not a member of the European Union, the exemption was available only if there was a prior agreement between the importing and exporting countries regarding recognition of guarantees of origin. When Green Network requested an exemption from its obligation to purchase green certificates, the Italian national grid manager rejected that request since there was no agreement regarding guarantees of origin between Italy and Switzerland at the time the renewable energy was imported. Green Network brought an action in administrative court, which was dismissed. Green Network appealed the dismissal, and the appeals court referred to the European Court of Justice the question, inter alia, whether the Italian law conflicted with EU directives. The Court held that the Italian law was precluded since guarantees of origin fall within an area largely covered by EU law.",,"Question referred from appeals court regarding whether Italian law at issue was precluded by EU law","Draft",
180,"Grupa O?arów S.A. v. Commission of the European Communities (Court of First Instance, 2008)","Administrative Case","EUR","European Union","EUR","European Union",,"[2008] Case T-197/07","Applicants in the above actions challenged the Commission of the European Communities’ decision rejecting the Polish Phase II national allocation plan (NAP) for the allocation of GHG emission allowances.  The Court dismissed all actions as inadmissible because the Commission’s decision did not directly and individually affect the Applicants.",,"Sought annulment of Commission decision rejecting part of the Polish Phase II NAP","Draft",
179,"Iberdrola S.A. et al.,Judgement of the Court of 17 of Oct. 2013 (Case C-566/11, 2013)","Administrative Case","EUR","European Union","EUR","European Union",,"[2013] Case C-566/11","Spain amended its system for purchasing wholesale electricity by reducing the remuneration of electricity production to remove unfair windfalls for electricity producers caused by issuance of allowances for free under the EU Emissions Trading System (ETS). Electricity producers challenged the measure asserting that it was contrary to Directive 2003/87/EZ (establishing EU ETS) because it effectively made emissions allowances costly. The European Court of Justice rejected the electricity producers arguments, finding instead that the Directive does not preclude remuneration for electricity producers for the purpose of counterbalancing windfall profits resulting from the allocation of emission allowances. In addition, the court found that the legislative measure does not remove  the incentive to reduce greenhouse gas emissions and was thus not inconsistent with the goals of the Directive.",,"Challenge to emissions allowance","Draft",
178,"Lafarge Cement S.A. v. Commission of the European Communities (Court of First Instance, 2008)","Administrative Case","EUR","European Union","EUR","European Union",,"[2008] Case T-195/07","Applicants in the above actions challenged the Commission of the European Communities’ decision rejecting the Polish Phase II national allocation plan (NAP) for the allocation of GHG emission allowances.  The Court dismissed all actions as inadmissible because the Commission’s decision did not directly and individually affect the Applicants.",,"Sought annulment of Commission decision rejecting part of the Polish Phase II NAP","Draft",
177,"Opinion of Advocate General Sharpston (European Court of Justice, 2014)","Administrative Case","EUR","European Union","EUR","European Union",,"[2014] Case C-426/12","Advocate General Sharpston was asked for guidance as to the meaning of the term ‘dual use’ in the second indent of Article 2(4)(b) in relation to sugar production and lime fertilizer, the by-product arising from that process, of the Directive 2003/96/EC, which introduced a regime imposing minimum harmonized levels of taxation on all energy products and electricity. The referring court also asked whether national legislators are constrained by an EU concept of what constitutes dual use if they choose to introduce domestic measures in order to tax such energy products. 

The Advocate General answered that ‘dual use’ within the meaning of Article 2(4)(b) refers to where coal is used as heating fuel in a lime-kiln in order to generate carbon dioxide for the production of lime-kiln gas, which is subsequently used for the purification of the raw juice obtained from sugar beets, that process giving rise to the by-product earth foam. The Advocate General found that Member States may apply a more restrictive definition of dual use and choose to tax dual use energy products, provided they exercise their competence consistently with EU law. If a Member State chooses to apply such a narrower definition, a taxpayer cannot invoke a broader EU concept of dual use in order to obtain exoneration from a charge to tax imposed under national law.",,"Requesting guidance as to the meaning of the term ‘dual use’ in Directive 2003/96/EC","Draft",
176,"Re Greenhouse Gas Emission Allowance: United Kingdom v. Commission of the European Communities (Court of First Instance of the European Communities, First Chamber, 2005)","Administrative Case","EUR","European Union","EUR","European Union",,"[2005] Case T-178/05","European Court reversed a Commission of the European Communities decision barring the UK from amending its national allocation plan (NAP) under Article 9 of Directive 2003/87, which established a scheme for greenhouse gas (GHG) emission allowance trading within the European Community.  A Member State is entitled to propose amendments to its NAP after it has been notified to the Commission, and until its adoption of its decision under Article 11(1), even if the amendments increase the total quantities of GHG emissions.  The court found that the Commission made an error of law in rejecting the amendments proposed by the UK as inadmissible.",,"Challenge to a Commission decision that refused to allow an increase in UK's emission of greenhouse gases.","Draft",
175,"Republic of Estonia v. Commission of the European Communities (Court of First Instance, Seventh Chamber, 2009)","Administrative Case","EUR","European Union","EUR","European Union",,"[2009] Case T-263/07","In 2006, the Republic of Estonia notified the Commission of its NAP for the period from 2008 to 2012.  In 2007, the Commission held that its NAP was incompatible with the criteria set forth in Directive 2003/87 and decided that the total annual quantities of emission allowances should be reduced to 47.8% less than that proposed.  Estonia appealed the Commission’s decision.  As a preliminary issue, the Court held that each member state is to decide, on the basis of its NAP, on the total quantity of allowances it will allocate for a period in question, and the Commission’s power to review these NAPs is very restricted. The Court held that the Commission did not properly examine the NAP and infringed on the principle of sound administration.",,"Challenge to Commission’s decision, which held that Estonia’s NAP was inconsistent with Directive 2003/87","Draft",
174,"Republic of Poland v. Commission of the European Communities (Court of First Instance, Second Chamber, 2009)","Administrative Case","EUR","European Union","EUR","European Union",,"[2009] Case T-183/07","In 2006, the Republic of Poland notified the Commission of its NAP for the period from 2008 to 2012.  In 2007, the Commission held that its NAP was incompatible with the criteria set forth in Directive 2003/87 and decided that the total annual quantities of emission allowances should be reduced to 26.7% less than that proposed.  Poland appealed the Commission’s decision.  As a preliminary issue, the Court held that each member state is to decide, on the basis of its NAP, on the total quantity of allowances it will allocate for a period in question, and the Commission’s power to review these NAPs is very restricted.  In the present case, the Commission’s rejection of Poland’s plan based on doubts as to the reliability of the data used exceeded the commission’s authority and violated the principle of equal treatment.",,"Challenge to Commission’s decision, which held that Poland’s NAP was inconsistent with Directive 2003/87","Draft",
173,"Republic of Poland v. European Commission (European Court of Justice, March 7, 2013)","Administrative Case","EUR","European Union","EUR","European Union",,"[2013] Case T-370/11","Challenge brought by Poland against Directive 2003/87/EC establishing a scheme for greenhouse gas emission allowance trading within the Community. In support of the action, the Republic of Poland raised four pleas. The first alleged an infringement of the TFEU on the ground that the Commission did not take into account the specificity of each Member State in respect of fuel. The second plea concerned an alleged breach of the principle of equal treatment on the ground that the Commission did not take into account the difference in situation between the regions of the European Union. The third plea alleged a breach of the principle of proportionality. The fourth plea alleged that the Commission was not competent to adopt the contested decision. The General Court rejected all four grounds and the action was therefore dismissed. In particular, the General Court held that “the determination by the Commission of the heat and fuel benchmarks by using the reference performance of natural gas may be regarded as objectively justified” (para. 58).",,"Challenge against  scheme for greenhouse gas emission allowance trading within the Community","Draft",
172,"ŠKO-ENERGO, s.r.o. v. Odvolací finan?ní ?editelství (European Court of Justice, 2015)","Administrative Case","EUR","European Union","EUR","European Union",,"[2015] Case C-43/14","ŠKO-ENERGO, s.r.o. acquired free greenhouse gas (“GHG”) emission allowances pursuant to Article 10 of Directive 2003/87 (“Article 10”), which provided that EU Member states must allocate at least 90% of allowances free of charge from 2008 through 2012. The Czech Republic Tax Office levied a 32% gift tax on the allowances pursuant to Czech Law No. 357/1992, which had been amended in 2010 to impose gift taxes on free GHG emissions allowances. A court of appeal in the Czech Republic requested a preliminary ruling from the European Court of Justice on the question of whether Article 10 precludes application of the Czech gift tax to emissions allowances obtained free of charge. The Court concluded that the gift tax was inconsistent with Article 10, because it undermined the directive’s objective to temporarily reduce the economic impact of the EU GHG emission allowances market. The Court directed to the referring court the question of whether the gift tax “respect[s] the 10% ceiling on the allocation of emissions allowances.”",,"Challenged imposition of a gift tax to GHG emissions allowances granted free of charge under EU law","Draft",
