id,company_id,Company,Assessment date,Publication date,Level,Notes,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company explicitly recognise climate change as a relevant risk and/or opportunity to the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,"Q14L4|Has the company incorporated environmental, social and governance issues into executive remuneration?",Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company have an internal price of carbon?
,1225,AES,2018-01-25,2018-12,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No
,1294,AGL Energy,2018-05-04,2018-7,4STAR,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes
,1246,Alliant Energy,2018-05-04,2018-7,2,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Not applicable,Yes,Yes,Yes,No,No
,1248,Ameren,2017-09-20,2018-7,2,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Not applicable,No,Yes,No,No,Yes
,1250,American Electric Power,2018-05-04,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes
,1017,CenterPoint Energy,2017-09-27,2018-7,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not applicable,No,Yes,No,No,No
,1211,CEZ,2018-04-24,2018-12,1,,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Not applicable,Yes,No,Yes,No,No
,1027,Chubu Electric Power,2018-04-03,2018-7,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No
,1028,CLP,2018-05-04,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No
,1030,CMS Energy,2018-04-09,2018-7,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No
,1038,Con Edison,2018-01-10,2018-7,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,No,No,No
,1051,Dominion Energy,2018-05-04,2018-7,2,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Not applicable,Yes,Yes,Yes,No,No
,1053,DTE Energy,2017-11-01,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,No,No,No
,1054,Duke Energy,2018-04-19,2018-7,2,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,No,No,No
,1055,E.ON,2018-03-04,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,Yes,Yes
,1059,EDF,2018-03-29,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
,1058,Edison International,2017-12-14,2018-7,1,,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Not applicable,No,Yes,No,No,No
,1063,Enel,2018-01-31,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,Yes,Yes
,1064,Engie,2017-12-31,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
,1066,Entergy,2017-09-14,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
,1070,Eversource Energy,2017-10-19,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,No,Yes,Yes,No,No
,1072,Exelon,2018-05-04,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,Yes
,1078,Firstenergy,2018-02-20,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No
,1082,Fortis,2017-09-21,2018-7,2,,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not applicable,No,Yes,No,No,No
,1083,Fortum,2017-10-24,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
,1100,Iberdrola,2018-02-19,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,Yes,Yes
,1109,KEPCO,2018-01-04,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,No,No,No,No
,1127,National Grid,2018-04-23,2018-7,4STAR,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes
,1129,NextEra Energy,2017-12-12,2018-7,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not applicable,No,Yes,No,No,No
,1223,NRG Energy,2017-10-17,2018-12,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
,1047,NTPC,2018-05-05,2018-12,1,,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Not applicable,No,No,No,No,No
,1146,Origin Energy,2018-05-04,2018-7,2,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes
,1147,Orsted,2018-04-16,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No
,1155,PG&E,2018-03-19,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No
,1157,Pinnacle West Capital,2018-04-16,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No
,1160,Power Assets,2017-09-14,2018-7,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1161,PPL,2017-12-27,2018-7,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not applicable,No,Yes,No,No,No
,1166,Red Electrica,2017-09-13,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
,1174,RWE,2017-12-19,2018-7,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
,1181,Sempra Energy,2017-12-05,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,No,No,Yes
,1190,Southern Company,2017-12-27,2018-7,2,,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Not applicable,No,Yes,No,No,No
,1193,SSE,2018-05-02,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No
,1208,Tenaga Nasional,2018-04-27,2018-7,1,,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Not applicable,No,No,No,No,No
,1233,Vistra Energy,2018-04-09,2018-12,1,,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1235,WEC Energy Group,2018-05-08,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
,1241,XCEL Energy,2017-10-09,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes
,1264,Adaro Energy,2018-05-04,2018-7,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,1266,African Rainbow Minerals,2018-03-23,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
,1253,Anglo American,2017-09-14,2018-7,4STAR,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,1260,Banpu,2018-04-27,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
,1003,BHP Billiton,2018-03-22,2018-7,4STAR,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,1204,Bukit Asam,2017-09-26,2018-7,1,,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
,1025,China Shenhua Energy,2018-05-08,2018-7,1,,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
,1032,Coal India,2018-04-16,2018-7,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,1050,DMCI Holdings,2017-09-14,2018-7,1,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,1073,Exxaro Resources,2018-04-27,2018-7,2,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
,1089,Glencore,2017-10-03,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
,1103,Inner Mongolia Yitai Coal,2018-04-15,2018-7,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,1105,Jastrzebska Spolka Weglowa,2017-09-20,2018-7,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,1358,Rio Tinto (Coal Mining),2017-11-06,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
,1184,Shougang Fushan Resources,2017-08-22,2018-7,0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,1360,South32 (Coal Mining),2018-05-04,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
,1226,Vale,2017-09-21,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
,1238,Whitehaven Coal,2018-05-04,2018-7,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
,1242,Yanzhou Coal Mining,2018-05-04,2018-7,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,1251,Anadarko Petroleum,2018-04-27,2018-7,2,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
,1252,Andeavor,2018-05-04,2018-7,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
,1256,Apache,2018-02-07,2018-7,2,,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No
,1008,BP,2018-05-08,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
,1012,Canadian Natural Resources,2018-05-08,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No
,1016,Cenovus Energy,2018-05-04,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
,1020,Chevron,2017-12-05,2018-7,2,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
,1023,China Petroleum & Chemical,2018-05-04,2018-7,2,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
,1031,CNOOC,2017-09-28,2018-7,2,,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
,1036,Concho Resources,2017-09-19,2018-7,1,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
,1037,ConocoPhillips,2018-05-04,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
,1048,Devon Energy,2018-03-27,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
,1049,Diamondback Energy,2017-09-17,2018-7,1,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,1057,Ecopetrol,2018-05-04,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No
,1061,Encana,2018-05-04,2018-7,2,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No
,1065,Eni,2017-10-13,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
,1067,EOG Resources,2017-09-28,2018-7,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
,1194,Equinor,2018-05-04,2018-7,4STAR,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,1074,Exxon Mobil,2018-05-04,2018-7,2,,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No
,1081,Formosa Petrochemical,2018-05-04,2018-7,2,,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
,1141,Gazprom,2018-05-08,2018-7,2,,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
,1093,Hess,2018-04-27,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
,1101,Imperial Oil,2018-05-09,2018-7,2,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
,1108,JXTG,2018-02-15,2018-7,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No
,1118,Lukoil,2018-04-23,2018-7,3,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No
,1120,Marathon Oil,2018-05-08,2018-7,2,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
,1121,Marathon Petroleum,2017-12-31,2018-7,2,,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No
,1135,Noble Energy,2018-05-04,2018-7,2,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No
,1136,NovaTek,2018-03-12,2018-7,2,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No
,1142,Occidental Petroleum,2018-05-04,2018-7,2,,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No
,1143,Oil & Natural Gas,2018-05-04,2018-7,2,,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No
,1145,OMV,2018-05-08,2018-7,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
,1153,Petrobras,2018-03-06,2018-7,2,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
,1154,Petrochina,2017-12-17,2018-7,1,,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
,1156,Phillips 66,2018-01-08,2018-7,2,,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
,1163,PTT,2017-09-28,2018-7,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
,1167,Reliance Industries,2018-05-04,2018-7,2,,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
,1169,Repsol,2018-05-04,2018-7,4STAR,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,1172,Rosneft Oil,2018-05-08,2018-7,1,,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
,1173,Royal Dutch Shell,2017-09-18,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
,1188,SK Innovation,2018-01-04,2018-7,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No
,1206,TATNEFT,2018-05-04,2018-7,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,1216,Total,2018-05-09,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
,1227,Valero Energy,2017-09-18,2018-7,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
,1239,Woodside Petroleum,2017-09-14,2018-7,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
,1263,Acerinox,2018-01-19,2018-9,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not applicable,Yes,No,Yes,No,No
,1254,Arcelor Mittal,2018-01-29,2018-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
,1092,Bluescope Steel,2018-05-05,2018-9,1,,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Not applicable,No,Yes,No,No,No
,1132,China Steel,2018-05-18,2018-9,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No
,1068,Erdemir,2017-11-17,2018-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1071,Evraz,2018-01-19,2018-9,1,,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Not applicable,No,Yes,No,No,No
,1088,Gerdau,2017-11-10,2018-9,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1099,Hyundai Steel,2017-11-10,2018-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,No,No,No,No
,1106,JFE Holdings,2018-05-24,2018-9,1,,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No
,1107,JSW Steel,2018-05-23,2018-9,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No
,1112,Kobe Steel,2018-04-04,2018-9,1,,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1007,Nippon Steel & Sumitomo Metal,2018-03-28,2018-9,1,,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not applicable,Yes,No,No,No,No
,1134,Nisshin Steel,2018-03-08,2018-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1137,Novolipetsk Steel,2018-04-09,2018-9,0,,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1140,Nucor,2017-10-18,2018-9,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1015,Posco,2018-01-23,2018-9,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not applicable,Yes,No,No,No,Yes
,1214,Severstal,2018-04-28,2018-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1195,Steel Dynamics,2017-11-15,2018-9,1,,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1205,Tata Steel,2018-03-07,2018-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,No,Yes,Yes,Yes
,1209,Tenaris,2017-12-22,2018-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1176,ThyssenKrupp,2018-05-05,2018-9,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
,1222,United States Steel,2017-09-18,2018-9,2,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Not applicable,No,No,No,No,No
,1230,Voestalpine,2018-05-05,2018-9,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not applicable,No,Yes,No,No,No
,1040,Adelaide Brighton,2017-10-18,2018-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,Yes,No,No,No
,1247,Ambuja Cements,2018-04-19,2018-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes
,1265,Anhui Conch Cement,2017-09-15,2018-9,0,,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1259,Asia Cement,2018-04-16,2018-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,No,Yes,No,No
,1115,Boral,2018-04-19,2018-9,2,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Not applicable,No,No,No,No,No
,1122,Cemex,2018-01-09,2018-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,No,No,Yes
,1022,China National Building Materials,2018-01-05,2018-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1024,China Resources Cement Holdings,2017-09-15,2018-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1159,CRH,2018-05-05,2018-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
,1056,Eagle Materials,2018-05-23,2018-9,1,,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
,1079,Fletcher Building,2018-02-08,2018-9,2,,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Not applicable,No,No,No,No,No
