id,methodology_version,company_id,Company,Assessment date,Publication date,Level,Internal Notes,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets? ,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy? ,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions? ,Q8L3|Does the company report on Scope 3 emissions? ,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change? ,Q11L3|Does the company disclose its membership and involvement in trade associations engaged in climate issues?,Q12L3|Does the company have a process to manage climate-related risks?,Q13L3|Does the company disclose Scope 3 use of product emissions?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions? ,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company have an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
,3,1225,AES,2019-02-27,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,Yes,No
,3,1294,AGL Energy,2018-08-21,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
,3,1246,Alliant Energy,2019-02-22,2019-9,2,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Not applicable,Yes,No,Yes,No,No,No
,3,1248,Ameren,2018-10-31,2019-9,1,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not applicable,Yes,No,No,No,Yes,No
,3,1250,American Electric Power,2019-02-21,2019-9,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
,3,1017,CenterPoint Energy,2019-02-28,2019-9,2,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
,3,1211,CEZ,2019-04-19,2019-9,2,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Not applicable,No,No,No,No,No,No
,3,1312,China Resources Power,2019-01-16,2019-9,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
,3,1027,Chubu Electric Power,2018-06-28,2019-9,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,No,No
,3,1311,Chugoku,2018-08-27,2019-9,1,,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Not applicable,No,No,No,No,No,No
