id,Name,ISIN,Sector,market cap group,Geography iso,Headquarters geography iso,CA100,Visibility status,SEDOL,historical_comments
1263,Acerinox,ES0132105018,Steel,Medium,ESP,ESP,,published,B01ZVZ5,
1264,Adaro Energy,ID1000111305,Coal mining,Medium,IDN,IDN,,published,B3BQFC4,
1040,Adelaide Brighton,AU000000ABC7,Cement,Medium,AUS,AUS,TRUE,published,6006886,
1225,AES,US00130H1059,Electricity Utilities,Medium,USA,USA,TRUE,published,2002479,
1266,African Rainbow Minerals,ZAE000054045,Coal Mining,Medium,ZAF,ZAF,,published,6041122,
1294,AGL Energy,AU000000AGL7,Electricity Utilities,Large,AUS,AUS,TRUE,published,BSS7GP5,
1267,Air China,CNE1000001S0,Airlines,Large,CHN,CHN,,published,B04KNF1,
1244,Air France KLM,FR0000031122,Airlines,Medium,FRA,FRA,TRUE,published,4916039,
1221,Air Liquide,FR0000120073,Other Basic Materials,Large,FRA,FRA,TRUE,published,B1YXBJ7,
1262,Airbus,NL0000235190,Other Industrials,Large,FRA,FRA,TRUE,published,4012250,
1268,Alaska Air,US0116591092,Airlines,Medium,USA,USA,,published,2012605,
1285,Alcoa,"US0138721065, AU000000AWC3",Aluminium,Medium,USA,USA,,published,BYNF418,
1246,Alliant Energy,US0188021085,Electricity Utilities,Medium,USA,USA,,published,2973821,
1286,Alumina,"AU000000AWC3, CNE1000001T8",Aluminium,Large,AUS,AUS,,published,6954985,
1247,Ambuja Cements,INE079A01024,Cement,Large,IND,IND,,published,B09QQ11,
1248,Ameren,US0236081024,Electricity Utilities,Medium,USA,USA,,published,2050832,
1104,American Airlines,US02376R1023,Airlines,Medium,USA,USA,TRUE,published,BCV7KT2,
1250,American Electric Power,US0255371017,Electricity Utilities,Large,USA,USA,TRUE,published,2026242,
1269,ANA Group,JP3429800000,Airlines,Large,JPN,JPN,,published,6014908,
1251,Anadarko Petroleum,US0325111070,Oil & Gas,Large,USA,USA,,published,2032380,
1252,Andeavor,US03349M1053,Oil & Gas,Medium,USA,USA,,published,,Tesoro Corporation
1253,Anglo American,GB00B1XZS820,Coal Mining,Large,GBR,GBR,TRUE,published,B1XZS82,
1265,Anhui Conch Cement,"CNE1000001W2, CNE0000019V8",Cement,Large,CHN,CHN,TRUE,published,6080396,
1255,ANTAM,ID1000106602,Coal mining,Small,IDN,IDN,TRUE,published,6053859,
1125,AP Moller – Maersk,DK0010244508,Shipping,Large,DNK,DNK,TRUE,published,4253048,
1256,Apache,US0374111054,Oil & Gas,Medium,USA,USA,,published,2043962,
1254,Arcelor Mittal,LU1598757687,Steel,Large,NLD,NLD,TRUE,published,BYPBS67,
1284,Arconic,"US03965L1008, US0138721065",Aluminium,Medium,USA,USA,,published,BD3D9G5,
1259,Asia Cement,"TW0001102002, KR7183190008",Cement,Medium,TWN,TWN,,published,6056331,
1260,Banpu,TH0148A10Z06,Coal Mining,Medium,THA,THA,,published,BJFHBV6,
1034,BASF,DE000BASF111,Other Basic Materials,Large,DEU,DEU,TRUE,published,5086577,
1152,Bayer,DE000BAY0017,Services,Large,DEU,DEU,TRUE,published,5069211,
1162,Berkshire Hathaway,US0846701086,Services,Large,USA,USA,TRUE,published,2093666,
1003,BHP Billiton,"GB00BH0P3Z91, GB0000566504",Coal Mining,Large,GBR,GBR,TRUE,published,BH0P3Z9,
1092,Bluescope Steel,AU000000BSL0,Steel,Large,AUS,AUS,TRUE,published,6533232,
1001,BMW,DE0005190003,Autos,Large,DEU,DEU,TRUE,published,5756029,
1245,Boeing,US0970231058,Other Industrials,Large,USA,USA,TRUE,published,2108601,
1115,Boral,AU000000BLD2,Cement,Large,AUS,AUS,TRUE,published,6218670,
1008,BP,GB0007980591,Oil & Gas,Large,GBR,GBR,TRUE,published,798059,
1002,Brilliance,BMG1368B1028,Autos,Large,CHN,CHN,,published,6181482,
1204,Bukit Asam,ID1000094006,Coal Mining,Medium,IDN,IDN,,published,6565127,
1010,Bumi,ID1000068703,Coal Mining,Small,IDN,IDN,TRUE,published,6043485,
1210,Bunge,BMG169621056,Consumer Goods,Medium,USA,USA,TRUE,published,2788713,
1295,Cabot Oil & Gas,US1270971039,Oil & Gas,Medium,USA,USA,,published,2162340,
1012,Canadian Natural Resources,CA1363851017,Oil & Gas,Large,CAN,CAN,TRUE,published,2171573,
1018,Caterpillar,US1491231015,Other Industrials,Large,USA,USA,TRUE,published,2180201,
1122,Cemex,"MXP225611567, EST01PA00013, US1512908898",Cement,Large,MEX,MEX,TRUE,published,2406457,
1016,Cenovus Energy,CA15135U1093,Oil & Gas,Medium,CAN,CAN,,published,B57FG04,
1017,CenterPoint Energy,US15189T1079,Electricity Utilities,Medium,USA,USA,,published,2440637,
1111,Centrica,GB00B033F229,Oil & Gas Distribution,Medium,GBR,GBR,TRUE,published,B033F22,
1211,CEZ,CZ0005112300,Electricity Utilities,Large,CZE,CZE,TRUE,published,5624030,
1287,Chalco,"CNE1000001T8, KYG215AT1023",Aluminium,Large,CHN,CHN,,published,6425395,
1296,Cheniere Energy,US16411R2085,Oil & Gas,Medium,USA,USA,,published,2654364,
1020,Chevron,US1667641005,Oil & Gas,Large,USA,USA,TRUE,published,2838555,
1021,China Coal,CNE100000528,Coal Mining,Large,CHN,CHN,,published,B1JNK84,
1022,China National Building Materials,CNE1000002N9,Cement,Medium,CHN,CHN,,published,B0Y91C1,
1023,China Petroleum & Chemical,CNE1000002Q2,Oil & Gas,Large,CHN,CHN,TRUE,published,6291819,Sinopec
