Id,Type,Number,Text
,area,1,Net zero commitment
,indicator,1.1,"Has the bank committed to achieving net zero financed and facilitated1 emissions by 2050 or sooner, consistent with a  1.5°C scenario?"
,sub_indicator,1.1.a,"Has the bank committed to achieving net zero financed/facilitated emissions by 2050 or sooner, consistent with a 1.5°C scenario?"
,sub_indicator,1.1.b,Has the bank disclosed what on- and off-balance sheet activities OR what proportion of total financed/ facilitated emissions are covered by its net zero commitment?
,sub_indicator,1.1.c,Does the bank’s net-zero emissions commitment cover all material on- and off-balance sheet activities OR explicitly commit to doing so once methodologies are developed?
,sub_indicator,1.1.d,"If the coverage is incomplete, has the bank disclosed how it will expand its commitment and over what timeframe?"
,area,2,Target methodology
,indicator,2.1,"Has the bank set short-, medium- and long-term targets for reducing its financed and facilitated emissions, consistent with a 1.5°C pathway?"
,sub_indicator,2.1.a,Has the bank set a short-term target(s) for reducing its material financed/facilitated emissions (within the next three years)?
,sub_indicator,2.1.b,Has the bank set a medium-term target(s) for reducing its material financed/facilitated emissions between 2027 and 2035?
,sub_indicator,2.1.c,Has the bank set a long-term target(s) for reducing its material financed and facilitated emissions between 2036 and 2050?
,indicator,2.2,Has the bank comprehensively disclosed its target-setting methodology?
,sub_indicator,2.2.a,Has the bank disclosed its financed/facilitated emissions targets on both an absolute and intensity basis?
,sub_indicator,2.2.b,Has the bank disclosed the materiality test that informed the on- and off-balance sheet activities and high-emission sectors included in the scope of its targets?
,sub_indicator,2.2.c,Has the bank disclosed the proportion (%) of bank-wide revenues covered by its targets?
,sub_indicator,2.2.d,Has the bank disclosed the proportion (%) of financed and facilitated emissions covered by its targets?
,sub_indicator,2.2.e,"Has the bank disclosed a commitment to cover all material on- and off-balance sheet activities and high-emission sectors once externally recognised methodologies (e.g., PCAF) are developed?"
,area,3,Exposure and emissions disclosure
,indicator,3.1,Has the bank disclosed its exposure to high-emission sectors?
,sub_indicator,3.1.a,Has the bank disclosed the amount (in millions of US dollars [$m]) AND share (%) of its credit exposure to all high-emission sectors?
,sub_indicator,3.1.b,Has the bank disclosed the amount ($m) AND share (%) of its financial exposure to all high-emission sectors covering all material on- and off-balance sheet activities?
,indicator,3.2,Has the bank disclosed absolute emissions from all material on- and off-balance sheet activities? 
,sub_indicator,3.2.a,Has the bank disclosed financed/facilitated absolute emissions?
,sub_indicator,3.2.b,Has the bank disclosed financed/facilitated absolute emissions for all high-emission sectors?
,sub_indicator,3.2.c,Has the bank disclosed financed/facilitated absolute emissions for all material on- and off-balance sheet activities?
,indicator,3.3,Has the bank disclosed emissions intensities from all material on- and off-balance sheet activities?
,sub_indicator,3.3.a,Has the bank disclosed financed/facilitated emissions intensities?
,sub_indicator,3.3.b,Has the bank disclosed financed/facilitated emissions intensities for all high-emission sectors?
,sub_indicator,3.3.c,Has the bank disclosed financed/facilitated emissions intensities for all material on- and off-balance sheet activities?
,indicator,3.4,Has the bank disclosed the methodology used to quantify financed/facilitated emissions?
,sub_indicator,3.4.a,"Has the bank disclosed the methods, assumptions, and variables used to quantify financed/facilitated emissions?"
,sub_indicator,3.4.b,Has the bank used and disclosed results from PCAF’s data quality scoring methodology to assess the quality of underlying client emissions data?
,indicator,3.5,Has the bank disclosed its approach to client-purchased offsets?
,sub_indicator,3.5.a,Has the bank disclosed the contribution of client-purchased offsets in the accounting of its financed/facilitated emissions?
,sub_indicator,3.5.b,Has the bank excluded client-purchased offsets toward meeting its financed/facilitated emissions targets?
,area,4,Historical emissions performance (placeholder indicator)
,indicator,4.1,Has the bank disclosed its annual progress against its emissions reduction targets?
,area,5,Decarbonisation strategy
,sub_area,5.1,Financing conditions and revenue alignment
,indicator,5.1.1,Has the bank set financing conditions for high-emitting sectors linked to a 1.5°C pathway?
,sub_indicator,5.1.1.a,Has the bank set financing conditions and/or covenants to incentivise the transition of high-emission sector companies?
,sub_indicator,5.1.1.b,"Has the bank disclosed actions taken to ensure that financing conditions and/or covenants are enforced (e.g., developing watch list, suspending loan disbursement, risk-weighted pricing incentives)?"
,sub_indicator,5.1.1.c,Do the bank's conditions and/or covenants apply to all high-emission sectors?
,sub_indicator,5.1.1.d,"Has the bank established climate provisions in deal and transaction terms to ensure high-emitting asset transfers (e.g., from M&A advisory, capital market facilitations) are compliant with a 1.5°C scenario?"
,indicator,5.1.2,Has the bank set a target to increase its revenue derived from 1.5°C-aligned assets?
,sub_indicator,5.1.2.a,Has the bank set a target to increase the share of financing/facilitation provisioned to high-emitting companies that is subject to decarbonisation-linked conditions?
,sub_indicator,5.1.2.b,Has the bank set a group-wide target to increase the share of revenue derived from 1.5°C-aligned companies (TPI Centre or Science-Based Targets initiative [SBTi])?
,indicator,5.1.3,Do the bank's asset management and/or wealth management divisions disclosed its strategy to increase portfolio alignment?
,sub_indicator,5.1.3.a,Has the bank’s asset management division disclosed a criteria-based escalation policy for voting and engagement with non-aligned assets?
,sub_indicator,5.1.3.b,Has the bank’s asset management division disclosed a portfolio coverage goal to increase the percentage of assets under management (AUM) invested in 1.5°C-aligned assets?
,sub_indicator,5.1.3.c,Has the bank’s asset management division disclosed the percentage of AUM invested in 1.5°C-aligned assets?
,sub_area,5.2,Capital allocation to misaligned activities
,indicator,5.2.1,Has the bank set and disclosed explicit criteria for withdrawal of financing from misaligned fossil fuel activities?
,sub_indicator,5.2.1.a,Has the bank committed to end all on- and off-balance sheet activities that finance new coal capacity (mining and power) immediately?
