Id,Assessment Date,Publication Date,Bank Id,Bank,Area 1,Indicator 1.1,Sub-indicator 1.1.a,Sub-indicator 1.1.b,Sub-indicator 1.1.c,Sub-indicator 1.1.d,Area 2,Indicator 2.1,Sub-indicator 2.1.a,Sub-indicator 2.1.b,Sub-indicator 2.1.c,Indicator 2.2,Sub-indicator 2.2.a,Sub-indicator 2.2.b,Sub-indicator 2.2.c,Sub-indicator 2.2.d,Sub-indicator 2.2.e,Sub-indicator 2.2.f,Area 3 ,Indicator 3.1,Sub-indicator 3.1.a,Sub-indicator 3.1.b,Indicator 3.2,Sub-indicator 3.2.a,Sub-indicator 3.2.b,Sub-indicator 3.2.c,Indicator 3.3,Sub-indicator 3.3.a,Sub-indicator 3.3.b,Sub-indicator 3.3.c,Indicator 3.4,Sub-indicator 3.4.a,Sub-indicator 3.4.b,Indicator 3.5,Sub-indicator 3.5.a,Sub-indicator 3.5.b,Area 4,Indicator 4.1,Area 5,Indicator 5.1.1,Sub-indicator 5.1.1.a,Sub-indicator 5.1.1.b,Sub-indicator 5.1.1.c,Sub-indicator 5.1.1.d,Indicator 5.1.2,Sub-indicator 5.1.2.a,Sub-indicator 5.1.2.b,Indicator 5.1.3,Sub-indicator 5.1.3.a,Sub-indicator 5.1.3.b,Sub-indicator 5.1.3.c,Indicator 5.2.1,Sub-indicator 5.2.1.a,Sub-indicator 5.2.1.b,Sub-indicator 5.2.1.c,Sub-indicator 5.2.1.d,Sub-indicator 5.2.1.e,Indicator 5.2.2,Sub-indicator 5.2.2.a,Sub-indicator 5.2.2.b,Sub-indicator 5.2.2.c,Indicator 5.3.1,Sub-indicator 5.3.1.a,Sub-indicator 5.3.1.b,Sub-indicator 5.3.1.c,Sub-indicator 5.3.1.d,Sub-indicator 5.3.1.e,Area 6,Indicator 6.1,Sub-indicator 6.1.a,Sub-indicator 6.1.b,Sub-indicator 6.1.c,Area 7,Indicator 7.1,Sub-indicator 7.1.a,Sub-indicator 7.1.b,Indicator 7.2,Sub-indicator 7.2.a,Sub-indicator 7.2.b,Sub-indicator 7.2.c,Area 8,Indicator 8.1,Sub-indicator 8.1.a,Sub-indicator 8.1.b,Indicator 8.2,Sub-indicator 8.2.a,Sub-indicator 8.2.b,Sub-indicator 8.2.c,Indicator 8.3,Sub-indicator 8.3.a,Sub-indicator 8.3.b,Area 9,Indicator 9.1,Sub-indicator 9.1.a,Sub-indicator 9.1.b,Area 10,Indicator 10.1,Sub-indicator 10.1.a,Indicator 10.2,Sub-indicator 10.2.a,Sub-indicator 10.2.b,Sub-indicator 10.2.c,Sub-indicator 10.2.d,Indicator 10.3,Sub-indicator 10.3.a,Sub-indicator 10.3.b,Sub-indicator 10.3.c,TPI Notes,Box for further information
,30/06/2023,05/09/2023,1,Diamond Corporation,0%,0%,No,No,No,No,0%,0%,No,No,No,0%,No,No,No,No,No,No,0%,0%,No,No,0%,No,No,No,0%,No,No,No,0%,No,No,0%,No,No,N/A,CA100+ are piloting this indicator in Benchmark v2.0 and the data from banks currently unavailable to assess. This indicator appears here as a placeholder and will be included in future iterations of the Net Zero Banking Framework.,0%,0%,No,No,No,No,0%,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,0%,No,No,No,0%,0%,No,No,0%,No,No,No,0%,0%,No,No,0%,No,No,No,0%,No,No,0%,0%,No,No,0%,0%,No,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,2,Bastion Banks Inc.,25%,25%,Yes,No,No,No,25%,33%,No,Yes,No,17%,No,No,No,No,No,Yes,43%,0%,No,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,50%,Yes,No,N/A,,0%,0%,No,No,No,No,0%,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,No,No,No,0%,No,No,No,No,No,33%,33%,Yes,No,No,0%,0%,No,No,0%,No,No,No,28%,50%,Yes,No,33%,Yes,No,No,0%,No,No,0%,0%,No,No,33%,100%,Yes,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,3,Bulwark Bank System,0%,0%,No,No,No,No,0%,0%,No,No,No,0%,No,No,No,No,No,No,0%,0%,No,No,0%,No,No,No,0%,No,No,No,0%,No,No,0%,No,No,N/A,,0%,0%,No,No,No,No,0%,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,0%,No,No,No,0%,0%,No,No,0%,No,No,No,0%,0%,No,No,0%,No,No,No,0%,No,No,0%,0%,No,No,0%,0%,No,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,4,Azure Financial Corp.,50%,50%,Yes,Yes,No,No,17%,33%,No,Yes,No,0%,No,No,No,No,No,No,33%,0%,No,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,0%,No,No,N/A,,11%,0%,No,No,No,No,0%,No,No,67%,Yes,No,Yes,0%,No,No,No,No,No,0%,No,No,No,0%,No,No,No,No,No,33%,33%,Yes,No,No,0%,0%,No,No,0%,No,No,No,28%,50%,Yes,No,33%,Yes,No,No,0%,No,No,0%,0%,No,No,33%,100%,Yes,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,5,Central Financial Group,50%,50%,Yes,Yes,No,No,42%,67%,Yes,Yes,No,17%,No,No,No,No,No,Yes,63%,50%,Yes,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,100%,Yes,Yes,N/A,,3%,0%,No,No,No,No,0%,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,No,No,No,20%,No,Yes,No,No,No,33%,33%,Yes,No,No,0%,0%,No,No,0%,No,No,No,78%,100%,Yes,Yes,33%,Yes,No,No,100%,Yes,Yes,0%,0%,No,No,53%,100%,Yes,25%,Yes,No,No,No,33%,Yes,No,No,,
,30/06/2023,05/09/2023,6,Grand Summit Bank System,50%,50%,Yes,Yes,No,No,42%,67%,Yes,Yes,No,17%,No,No,No,No,No,Yes,27%,50%,Yes,No,0%,No,No,No,33%,Yes,No,No,50%,Yes,No,0%,No,No,N/A,,27%,0%,No,No,No,No,0%,No,No,100%,Yes,Yes,Yes,0%,No,No,No,No,No,0%,No,No,No,60%,Yes,Yes,No ,Yes,No ,33%,33%,Yes,No,No,0%,0%,No,No,0%,No,No,No,61%,100%,Yes,Yes,33%,Yes,No,No,50%,Yes,No,0%,0%,No,No,33%,100%,Yes,0%,No,No,No,No,0%,No ,No,No ,,
,30/06/2023,05/09/2023,7,Domestic Banks Inc.,0%,0%,No,No,No,No,0%,0%,No,No,No,0%,No,No,No,No,No,No,0%,0%,No,No,0%,No,No,No,0%,No,No,No,0%,No,No,0%,No,No,N/A,,0%,0%,No,No,No,No,0%,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,No,No,No,0%,No,No,No,No,No,0%,0%,No,No,No,0%,0%,No,No,0%,No,No,No,11%,0%,No,No ,33%,Yes,No ,No ,0%,No,No ,0%,0%,No,No,0%,0%,No,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,8,Grand Fortune Trust Corp.,0%,0%,No,No,No,No,25%,33%,No,Yes,No,17%,No,No,No,No,No,Yes,43%,50%,Yes,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,0%,No,No,N/A,,0%,0%,No,No,No,No,0%,No,No,0%,No ,No,No,0%,No,No,No,No,No,0%,No,No,No,0%,No ,No ,No ,No ,No ,0%,0%,No,No ,No ,0%,0%,No,No,0%,No,No,No,50%,100%,Yes,Yes,0%,Yes ,No ,No ,50%,Yes,No,0%,0%,No,No,0%,0%,Yes ,0%,No ,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,9,Gemstone Holdings Inc.,25%,25%,Yes,No,No,No,25%,33%,No,Yes,No,17%,No,No,No,No,No,Yes,43%,50%,Yes,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,0%,No,No,N/A,,6%,0%,No,No,No,No,0%,No,No,0%,No,No,No,0%,No,No,No,No,No,33%,No,Yes,No,0%,No,No,No,No,No,33%,33%,Yes,No,No,0%,0%,No,No,0%,No,No,No,61%,100%,Yes,Yes,33%,Yes,No,No,50%,Yes,No,0%,0%,No,No,33%,100%,Yes,0%,No,No,No,No,0%,No,No,No,,
,30/06/2023,05/09/2023,11,Citizens First Credit Union,0%,0%,No,No,No,No,42%,67%,No,Yes,Yes,17%,No,No,No,No,No,Yes,33%,0%,No,No,33%,Yes,No,No,33%,Yes,No,No,100%,Yes,Yes,0%,No,No,N/A,,33%,50%,Yes,Yes,No,No,50%,No,Yes,67%,Yes,Yes,No,0%,No,No,No,No,No,33%,No,Yes,No,0%,No,No,No,No,No,33%,33%,No,No,Yes,0%,0%,No,No,0%,No,No,No,78%,100%,Yes,Yes,33%,Yes,No,No,100%,Yes,Yes,50%,50%,Yes,No,33%,100%,Yes,0%,No,No,No,No,0%,No,No,No,,
