"Id","Company id","Company","Assessment date","Publication date","Last reported year","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Assumptions","CP alignment 2050","CP alignment 2025","CP alignment 2035","Region","CP regional alignment 2025","CP regional alignment 2035","CP regional alignment 2050"
,"1267","Air China","23/10/2020","2020-12","2019",,"840.0","844.0","807.0","814.0","814.0","863.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.","Not aligned","2 Degrees (Shift-Improve)","International Pledges","Europe","2 Degrees (Shift-Improve)","International Pledges","International Pledges"
,"1269","ANA Group","23/10/2020","2020-12","2019",,"897.0","908.0","870.0","844.0","842.0","869.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology.","Not aligned",,,,,,
,"1077","Mitsubishi","23/10/2020","2020-12","2018","151.0","144.0","139.0","149.0","146.0","139.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mitsubishi has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.","Not aligned",,,,,,
,"1080","Nissan","23/10/2020","2020-12","2018","144.0","141.0","140.0","141.0","140.0","139.0","135.0","132.0","129.0","125.0","122.0","118.0","114.0","110.0","107.0","103.0","99.0","96.0","92.0","88.0","84.0","81.0","77.0","73.0","69.0","66.0","62.0","58.0","54.0","51.0","47.0","43.0","40.0","36.0","32.0","28.0","25.0","21.0","TPI has not made any further assumptions in order to project this company’s Carbon Performance.","2 Degrees (Shift-Improve)",,,,,,
,"1175","SAIC motor","23/10/2020","2020-12","2019","170.0","167.0","163.0","157.0","150.0","148.0","137.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAIC Motors has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.","Not aligned",,,,,,
,"1087","Subaru","23/10/2020","2020-12","2018","159.0","160.0","157.0","158.0","156.0","158.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Subaru has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.","Not aligned",,,,,,
,"1318","COSCO Shipping Holdings","23/10/2020","2020-12","2019",,,,,"8.12","8.05","7.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.","International Pledges",,,,,,
,"1090","Suzuki","23/10/2020","2020-12","2019","115.0","112.0","110.0","108.0","107.0","106.0","104.0","101.0","99.0","96.0","94.0","91.0","89.0","86.0","84.0","81.0","79.0","76.0","73.0","70.0","67.0","64.0","60.0","57.0","54.0","51.0","48.0","45.0","41.0","38.0","35.0","32.0","29.0","25.0","22.0","19.0","16.0","13.0","TPI has not made any further assumptions in order to project this company’s Carbon Performance.","2 Degrees (Shift-Improve)",,,,,,
,"1270","China Southern","23/10/2020","2020-12","2019",,"907.0","901.0","892.0","874.0","837.0","826.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.","Not aligned",,,,,,
,"1275","Japan Airlines","23/10/2020","2020-12","2019",,"1074.0","1038.0","1037.0","1005.0","983.0","995.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology.","Not aligned",,,,,,
,"1116","Qantas","23/10/2020","2020-12","2019",,"970.0","960.0","960.0","943.0","918.0","962.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology.","Not aligned",,,,,,
,"1002","Brilliance","23/10/2020","2020-12","2019","174.0","171.0","168.0","161.0","152.0","143.0","139.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brilliance has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.","Not aligned",,,,,,
,"1097","Toyota","23/10/2020","2020-12","2018","142.0","136.0","134.0","132.0","126.0","122.0","119.0","117.0","114.0","111.0","108.0","105.0","102.0","101.0","100.0","98.0","97.0","95.0","91.0","87.0","83.0","79.0","75.0","71.0","67.0","63.0","59.0","55.0","51.0","47.0","43.0","39.0","35.0","31.0","27.0","23.0","19.0","15.0","TPI has not made any further assumptions in order to project this company's Carbon Performance.","2 Degrees (Shift-Improve)",,,,,,
,"1540","BYD","23/10/2020","2020-12","2019","167.0","156.0","175.0","73.0","53.0","52.0","50.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.","Paris Pledges",,,,,,
,"1326","COSCO Shipping Energy","23/10/2020","2020-12","2019",,,,,"3.72","3.27","3.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.","International Pledges",,,,,,
,"1125","AP Moller – Maersk","23/10/2020","2020-12","2019",,,,"4.45","4.38","4.3","4.1","3.98","3.87","3.75","3.63","3.52","3.4","3.28","3.17","3.05","2.93","2.82","2.68","2.54","2.4","2.25","2.11","1.97","1.83","1.69","1.55","1.41","1.27","1.13","0.99","0.85","0.7","0.56","0.42","0.28","0.14","0.0","TPI has not made any further assumptions in order to project this company’s Carbon Performance.","Below 2 Degrees",,,,,,
,"1009","Fiat Chrysler","23/10/2020","2020-12","2018","174.0","182.0","170.0","176.0","173.0","178.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fiat Chrysler has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.","Not aligned",,,,,,
