"Id","Methodology version","Company id","Company","Assessment date","Publication date","Level","Notes","Q1L0|Does the company acknowledge climate change as a significant issue for the business?","Q2L1|Does the company explicitly recognise climate change as a relevant risk and/or opportunity to the business?","Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?","Q4L2|Has the company set greenhouse gas emission reduction targets?","Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?","Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?","Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?","Q8L3|Does the company report on Scope 3 emissions?","Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?","Q10L3|Does the company support domestic and international efforts to mitigate climate change?","Q11L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?","Q12L4|Has the company incorporated environmental, social and governance issues into executive remuneration?","Q13L4|Has the company reduced its operational (Scope 1 and 2) greenhouse gas emissions over the past 3 years?","Q14L4|Does the company provide information on the business costs associated with climate change?"
,"1","1002","Brilliance","10/10/2017","2018-02","0",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"1","1080","Nissan","06/12/2017","2018-02","3",,"new","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No"
,"1","1168","Lee & Man Paper Manufacturing","06/12/2017","2018-02","0",,"new","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"1","1097","Toyota","13/04/2017","2018-02","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
,"1","1090","Suzuki","13/04/2017","2018-02","1",,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No"
,"1","1087","Subaru","13/04/2017","2018-02","1",,"Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
,"1","1197","Shandong Chenming","26/10/2017","2018-02","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
,"1","1187","Oji Holdings","25/11/2016","2018-02","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No"
,"1","1183","Nippon Paper Industries","25/11/2016","2018-02","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes"
,"1","1178","Nine Dragons Paper Industries","02/10/2017","2018-02","0",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"1","1076","Mazda","25/11/2016","2018-02","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
,"1","1052","Honda","23/11/2017","2018-02","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
,"1","1144","Hokuetsu","16/12/2016","2018-02","1",,"Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes"
,"1","1029","Geely","10/11/2017","2018-02","1",,"Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No"
,"1","1009","Fiat Chrysler","15/10/2016","2018-02","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
,"1","1006","Ferrari","17/11/2017","2018-02","0",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"1","1126","Daio Paper","24/02/2017","2018-02","1",,"Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","Yes"
,"1","1040","Adelaide Brighton","12/09/2016","2017-09","1",,"Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Yes","No"
,"1","1265","Anhui Conch Cement","03/06/2016","2017-09","0",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"1","1092","Bluescope Steel","16/02/2017","2017-09","2",,"Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No"
,"1","1115","Boral","10/06/2016","2017-09","2",,"Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No"
,"1","1022","China National Building Materials","06/02/2017","2017-09","0",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"1","1091","Grupo Argos","18/08/2016","2017-09","1",,"Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","No","Yes","No"
,"1","1106","JFE Holdings","04/11/2016","2017-09","1",,"Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes"
,"1","1112","Kobe Steel","17/08/2016","2017-09","1",,"Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No"
,"1","1007","Nippon Steel","24/08/2016","2017-09","1",,"Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes"
,"1","1134","Nisshin Steel","19/12/2016","2017-09","1",,"Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","No","Yes","No"
