"Id","Methodology version","Company id","Company","Assessment date","Publication date","Level","Notes","Q1L0|Does the company acknowledge climate change as a significant issue for the business?","Q2L1|Does the company explicitly recognise climate change as a relevant risk and/or opportunity to the business?","Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?","Q4L2|Has the company set greenhouse gas emission reduction targets?","Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?","Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?","Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?","Q8L3|Does the company report on Scope 3 emissions?","Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?","Q10L3|Does the company support domestic and international efforts to mitigate climate change?","Q11L3|Does the company have a process to manage climate-related risks?","Q12L3|Does the company disclose Scope 3 use of product emissions?","Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?","Q14L4|Has the company incorporated environmental, social and governance issues into executive remuneration?","Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?","Q16L4|Does the company undertake climate scenario planning?","Q17L4|Does the company have an internal price of carbon?"
,"2","1286","Alumina","05/05/2018","2019-02","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Not applicable","Yes","No","Yes","No","No"
,"2","1287","Chalco","15/09/2017","2019-02","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1288","China Zhongwang","16/04/2018","2019-02","1",,"Yes","No","Yes","No","Yes","No","No","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1289","Nippon Light Metal","07/06/2018","2019-02","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Not applicable","Yes","No","No","No","No"
,"2","1290","Norsk Hydro","05/05/2018","2019-02","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Not applicable","No","Yes","No","Yes","No"
,"2","1170","Rio Tinto (Aluminium)","06/11/2017","2019-02","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","Yes","No","No"
,"2","1292","UACJ","07/06/2018","2019-02","2",,"Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Not applicable","No","No","No","No","No"
,"2","1270","China Southern","21/02/2018","2019-02","1",,"Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","Not applicable","No","No","No","No","No"
,"2","1269","ANA Group","09/04/2018","2019-02","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","No","Yes","No","No"
,"2","1116","Qantas","05/05/2018","2019-02","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Not applicable","Yes","Yes","Yes","No","No"
,"2","1267","Air China","16/04/2018","2019-02","1",,"Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","Not applicable","No","No","No","No","No"
,"2","1275","Japan Airlines","31/01/2018","2019-02","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Not applicable","Yes","No","No","No","No"
,"2","1240","Woolworths","27/04/2018","2018-12","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","No","Yes","Yes","No","No"
,"2","1114","Wesfarmers","28/04/2018","2018-12","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","No","Yes","Yes","No","Yes"
,"2","1096","Hitachi","13/02/2018","2018-12","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","No","Yes","No","No"
,"2","1014","Daikin Industries","28/04/2018","2018-12","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","No","No","No"
,"2","1125","AP Moller – Maersk","09/01/2018","2018-12","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Not applicable","Yes","No","No","No","No"
,"2","1042","Toray Industries","29/03/2018","2018-12","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Not applicable","No","No","Yes","No","No"
,"2","1224","Santos","30/04/2018","2018-12","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
,"2","1046","Panasonic","01/03/2018","2018-12","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","No","Yes","No","No"
,"2","1126","Daio Paper","07/06/2018","2018-11","1",,"Yes","No","Yes","No","Yes","No","No","No","No","No","No","Not applicable","No","No","No","No","No"
,"2","1097","Toyota","08/02/2018","2018-11","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
,"2","1090","Suzuki","23/04/2018","2018-11","1",,"Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No","No"
,"2","1087","Subaru","05/05/2018","2018-11","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No"
,"2","1080","Nissan","07/12/2017","2018-11","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
,"2","1077","Mitsubishi","01/02/2018","2018-11","2",,"Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No"
,"2","1076","Mazda","26/01/2018","2018-11","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
,"2","1052","Honda","24/01/2018","2018-11","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No"
