"Id","Methodology version","Company id","Company","Assessment date","Publication date","Level","Notes","Q1L0|Does the company acknowledge climate change as a significant issue for the business?","Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?","Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?","Q4L2|Has the company set greenhouse gas emission reduction targets?","Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?","Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?","Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?","Q8L3|Does the company report on Scope 3 emissions?","Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?","Q10L3|Does the company support domestic and international efforts to mitigate climate change?","Q11L3|Does the company disclose its membership and involvement in trade associations engaged in climate issues?","Q12L3|Does the company have a process to manage climate-related risks?","Q13L3|Does the company disclose Scope 3 use of product emissions?","Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?","Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?","Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?","Q17L4|Does the company undertake climate scenario planning?","Q18L4|Does the company disclose an internal price of carbon?","Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?"
,"3","1087","Subaru","31/03/2020","2020-12","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No"
,"3","1539","NS United Kaiun Kaisha","21/01/2020","2020-12","1",,"Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","Not applicable","Yes","No","No","No","No","No"
,"3","1537","Iino Kaiun Kaisha","20/03/2020","2020-12","1",,"Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1315","NYK Line","17/02/2020","2020-12","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","Yes","Yes","Yes","No"
,"3","1314","MOL","31/03/2020","2020-12","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Not applicable","Yes","No","Yes","No","No","No"
,"3","1077","Mitsubishi","23/12/2019","2020-12","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes","No","No"
,"3","1076","Mazda","01/02/2020","2020-12","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No"
,"3","1319","K Line","25/03/2020","2020-12","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","Yes","Yes","Yes","No"
,"3","1275","Japan Airlines","28/02/2020","2020-12","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Not applicable","Yes","No","No","No","Yes","No"
,"3","1029","Geely","12/09/2019","2020-12","1",,"Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"3","1006","Ferrari","18/09/2019","2020-12","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No","No"
,"3","1318","COSCO Shipping Holdings","02/10/2019","2020-12","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1326","COSCO Shipping Energy","21/11/2019","2020-12","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1270","China Southern","24/09/2019","2020-12","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1538","China Merchants Energy Shipping","26/03/2020","2020-12","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1540","BYD","05/09/2019","2020-12","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"3","1002","Brilliance","21/08/2019","2020-12","0",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"3","1269","ANA Group","22/11/2019","2020-12","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Not applicable","Yes","Yes","Yes","No","No","No"
,"3","1267","Air China","31/03/2020","2020-12","1",,"Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1294","AGL Energy","21/02/2020","2020-10","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","Yes","Yes","Yes","No"
,"3","1021","China Coal","25/09/2019","2020-10","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"3","1023","China Petroleum & Chemical","24/09/2019","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
,"3","1312","China Resources Power","08/11/2019","2020-10","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
