"Id","Name","ISIN","Sector","Market cap group","Sedol","Geography iso","Geography","Headquarters geography iso","Headquarters geography","Latest information","Company comments internal","CA100","Active","Visibility status"
"1040","Adelaide Brighton","AU000000ABC7","Cement","medium","6006886","AUS","Australia","AUS","Australia","","","true","true","published"
"1294","AGL Energy","AU000000AGL7","Electricity Utilities","large","BSS7GP5","AUS","Australia","AUS","Australia","","","true","true","published"
"1267","Air China","CNE1000001S0","Airlines","large","B04KNF1","CHN","China","CHN","China","","","false","true","published"
"1286","Alumina","AU000000AWC3, CNE1000001T8","Aluminium","large","6954985","AUS","Australia","AUS","Australia","","","false","true","published"
"1269","ANA Group","JP3429800000","Airlines","large","6014908","JPN","Japan","JPN","Japan","","","false","true","published"
"1265","Anhui Conch Cement","CNE1000001W2, CNE0000019V8","Cement","large","6080396","CHN","China","CHN","China","","","true","true","published"
"1125","AP Moller – Maersk","DK0010244508","Shipping","large","4253048","DNK","Denmark","DNK","Denmark","","","true","true","published"
"1477","Asahi Kasei","JP3111200006","Chemicals","large","6054603","JPN","Japan","JPN","Japan","","","false","true","published"
"1092","Bluescope Steel","AU000000BSL0","Steel","large","6533232","AUS","Australia","AUS","Australia","","","true","true","published"
"1115","Boral","AU000000BLD2","Cement","large","6218670","AUS","Australia","AUS","Australia","","","true","true","published"
"1002","Brilliance","BMG1368B1028","Autos","large","6181482","CHN","China","CHN","China","","","false","true","published"
"1540","BYD","CNE100000296,CNE100001526","Autos","large","6536651","CHN","China","CHN","China","","","false","true","published"
"1287","Chalco","CNE1000001T8, KYG215AT1023","Aluminium","large","6425395","CHN","China","CHN","China","","","false","true","published"
"1021","China Coal","CNE100000528","Coal Mining","large","B1JNK84","CHN","China","CHN","China","","","false","true","published"
"1538","China Merchants Energy Shipping","CNE000001PQ8","Shipping","large","BP3R8G4","CHN","China","CHN","China","","","false","true","published"
"1022","China National Building Materials","CNE1000002N9","Cement","large","B0Y91C1","CHN","China","CHN","China","","","false","true","published"
"1023","China Petroleum & Chemical","CNE1000002Q2","Oil & Gas","large","6291819","CHN","China","CHN","China","","Sinopec","true","true","published"
"1024","China Resources Cement Holdings","KYG2113L1068","Cement","large","B41XC98","CHN","China","CHN","China","","","false","true","published"
"1312","China Resources Power","HK0836012952","Electricity Utilities","large","6711566","CHN","China","CHN","China","","","false","true","published"
"1025","China Shenhua Energy","CNE1000002R0","Coal Mining","large","B09N7M0","CHN","China","CHN","China","","","true","true","published"
"1270","China Southern","CNE1000002T6","Airlines","large","6013693","CHN","China","CHN","China","","","false","true","published"
"1288","China Zhongwang","KYG215AT1023, JP3700200003","Aluminium","medium","B3VZ220","CHN","China","CHN","China","","","false","true","published"
"1027","Chubu Electric Power","JP3526600006","Electricity Utilities","large","6195609","JPN","Japan","JPN","Japan","","","false","true","published"
"1311","Chugoku","JP3522200009","Electricity Utilities","medium","6195900","JPN","Japan","JPN","Japan","","","false","true","published"
"1031","CNOOC","HK0883013259","Oil & Gas","large","B00G0S5","CHN","China","CHN","China","","","true","true","published"
"1526","Coronado Global Resources","AU0000026122","Coal Mining","small","BGV71W0","AUS","Australia","AUS","Australia","","","false","true","published"
"1326","COSCO Shipping Energy","CNE1000002S8","Shipping","medium","6782045","CHN","China","CHN","China","","","false","true","published"
"1318","COSCO Shipping Holdings","CNE1000002J7","Shipping","large","B0B8Z18","CHN","China","CHN","China","","COSCO Shipping Holdings is the publicly listed company that owns COSCO Shipping Lines.","false","true","published"
"1014","Daikin Industries","JP3481800005","Other Industrials","large","6250724","JPN","Japan","JPN","Japan","","","true","true","published"
"1126","Daio Paper","JP3440400004","Paper","small","6870898","JPN","Japan","JPN","Japan","","","false","true","published"
"1057","Ecopetrol","COC04PA00016","Oil & Gas","large","B2473N4","COL","Colombia","COL","Colombia","","","true","true","published"
"1503","EDP","PTEDP0AM0009","Electricity Utilities","large","4103596","PRT","Portugal","PRT","Portugal","","","false","true","published"
"1310","Electric Power Development","JP3551200003","Electricity Utilities","large","B02Q328","JPN","Japan","JPN","Japan","","","false","true","published"
"1063","Enel","IT0003128367","Electricity Utilities","large","7144569","ITA","Italy","ITA","Italy","","","true","true","published"
