"instrument"
"Regulation|Standards, obligations and norms"
"Regulation|Moratoria & bans"
"Regulation|Zoning & Spatial Planning"
"Regulation|Disclosure obligations"
"Regulation|Other"
"Economic|Subsidies"
"Economic|Tax incentives"
"Economic|Carbon pricing & emissions trading"
"Economic|Insurance"
"Economic|Other"
"Economic|Climate finance tools"
"Direct Investment|Provision of climate funds"
"Direct Investment|Early warning systems"
"Direct Investment|Nature based solutions and ecosystem restoration"
"Direct Investment|Green procurement"
"Direct Investment|Other"
"Governance|Capacity building"
"Governance|Institutional mandates"
"Governance|Planning"
"Governance|Processes, plans and strategies"
"Governance|Subnational and citizen participation"
"Governance|MRV"
"Governance|International cooperation"
"Governance|Other"
"Information|Education, training and knowledge dissemination"
"Information|Research & Development, knowledge generation"
