"iso3","cumalitive_direct_economic_loss_disasters_in_current_us_dollars","time_interval"
"AFG",52179169.406,"2017--2017"
"AGO",930804978.05493,"2005--2018"
"ALB",282645114.52943,"2005--2018"
"ARG",6060373634.69922,"2005--2017"
"ARM",408920421.30716,"2016--2017"
"ATG",30189326.3016,"2008--2014"
"AUS",369275550,"2015--2018"
"BDI",66010069.67376,"2015--2017"
"BFA",404939029.694,"2008--2015"
"BGR",261370088.766,"2015--2018"
"BLZ",1175813543.36991,"2007--2011"
"BOL",1854945119.12758,"2005--2015"
"BRB",21535251.18588,"2005--2018"
"BTN",159920155.97799,"2009--2018"
"BWA",113058.4818,"2018--2018"
"CHE",3324300171.36127,"2015--2017"
"CHL",4406271488.76701,"2005--2017"
"COK",0,"2005--2010"
"COL",2127813031804.69,"2005--2018"
"COM",4060099.80108,"2012--2013"
"CPV",6050789.79,"2009--2017"
"CRI",797210004.82813,"2015--2018"
"CYP",14138304.12325,"2006--2018"
"CZE",309952275.36232,"2016--2017"
"DJI",477025.3136,"2005--2011"
"DMA",23887187.532,"2007--2014"
"ECU",618805971.2584,"2005--2018"
"EGY",481038520.43219,"2005--2017"
"EST",122623720,"2005--2017"
"ETH",1341210749.09292,"2005--2016"
"FIN",156784543.106,"2015--2017"
"FJI",217392538.25368,"2006--2018"
"FRA",4253707249.602,"2015--2017"
"GEO",433282.5,"2017--2017"
"GHA",188360839.02762,"2011--2018"
"GMB",14192250,"2010--2018"
"GNB",3453750,"2017--2018"
"GNQ",10102160.16,"2010--2017"
"GRD",59873836.1532,"2005--2011"
"GTM",2236353271.98781,"2005--2017"
"GUY",592991567.84957,"2005--2013"
"HND",1983387693.87509,"2005--2015"
"HRV",285384002.62198,"2017--2017"
"IDN",11074196670.4215,"2005--2018"
"IRL",10386538.54506,"2016--2017"
"IRN",10904851554.5478,"2005--2011"
"JAM",715806168.13863,"2005--2014"
"JOR",146751107.8113,"2005--2017"
"KAZ",31340278.32533,"2005--2018"
"KEN",706993401.9938,"2005--2017"
"KGZ",110505842.16498,"2005--2018"
"KHM",3059446679.52442,"2005--2017"
"KIR",255750,"2014--2014"
"KNA",3379829.9836,"2005--2013"
"KOR",242284004.57722,"2015--2017"
"KWT",17985611.51079,"2011--2011"
"LAO",2119835177.69759,"2005--2012"
"LBN",8342660.4733,"2005--2018"
"LCA",26507690.244,"2007--2011"
"LKA",2419977632.41274,"2005--2018"
"MAR",395742018.7013,"2005--2018"
"MDG",10867793257.1227,"2005--2018"
"MDV",10035367.5,"2005--2008"
"MEX",40090648880.1529,"2005--2018"
"MHL",582450,"2008--2014"
"MLI",1174954110.85606,"2005--2017"
"MMR",13186259964.719,"2005--2017"
"MNE",57000672.06132,"2005--2015"
"MNG",404632833.7505,"2010--2017"
"MOZ",4125948563.61233,"2005--2018"
"MUS",55323412.02,"2005--2014"
"MWI",1586916269.24634,"2006--2018"
"MYS",1081624263.95,"2005--2018"
"NER",2698114312.4084,"2005--2018"
"NIC",626407174.97081,"2005--2013"
"NOR",134529120,"2017--2017"
"NPL",28142623880.841,"2006--2018"
"NZL",2175132278.2915,"2015--2018"
"PAK",30789269240.8589,"2005--2018"
"PAN",1229272436.526,"2005--2018"
"PER",21474116750.1683,"2005--2018"
"PLW",5639745,"2012--2012"
"PNG",236687319.8,"2006--2013"
"PRY",1477943189.5266,"2005--2018"
"PSE",16435968.66064,"2005--2017"
"ROU",12497186483.0356,"2018--2018"
"RWA",13064944.8308,"2016--2016"
"SDN",1196581701.875,"2017--2018"
"SEN",890166823.86521,"2005--2015"
"SLB",83507451,"2007--2013"
"SLE",81204790.1376,"2006--2015"
"SLV",415243425.50278,"2005--2014"
"SRB",741639139.0756,"2005--2016"
"SSD",385053.9,"2016--2016"
"SVN",433129237.613,"2016--2018"
"SWE",709766478.77603,"2018--2018"
"SWZ",56206913.16086,"2015--2017"
"SYC",16484937.0002,"2005--2014"
"SYR",203701483.5522,"2005--2009"
"TGO",664643574.87856,"2005--2018"
"TJK",8173684.07627,"2017--2018"
"TLS",155261509.05,"2006--2016"
"TON",35683899,"2006--2018"
"TUN",165388887.96659,"2005--2018"
"TUR",930419558.516,"2006--2014"
"TZA",381549929.05335,"2005--2017"
"UGA",1570847351.13509,"2005--2018"
"UKR",1433059283.47056,"2005--2018"
"URY",334039451.34136,"2005--2014"
"VCT",47922681.50293,"2005--2014"
"VEN",1239734900.25369,"2005--2015"
"VNM",4638956250,"2005--2010"
"VUT",6486030,"2007--2014"
"WSM",25924461.46,"2008--2009"
"YEM",114873269.944,"2005--2010"
"ZAF",33293658.75,"2016--2016"
"ZMB",102662083.46238,"2005--2016"
NA,15327772.2954,"2005--2015"
