"iso3","emissions_total_fossil_fuels_and_cement_in_MtCO2e_2018"
"CHN",10064.69
"USA",5416.28
"IND",2654.1
"RUS",1710.69
"JPN",1161.98
"DEU",759
"IRN",720.41
"KOR",658.79
"SAU",621.3
"IDN",614.92
"CAN",568.41
"MEX",477.32
"ZAF",467.56
"BRA",457.19
"TUR",428.18
"AUS",420.22
"GBR",379.04
"POL",343.54
"ITA",338.03
"FRA",337.91
"KAZ",321.79
"THA",288.23
"TWN",274.64
"ESP",268.23
"MKD",254.53
"EGY",238.82
"UKR",225.02
"PAK",223.54
"VNM",206.66
"ARE",205.6
"IRQ",204.17
"ARG",195.53
"NLD",161.62
"DZA",155.73
"VEN",138.76
"PHL",135.07
"NGA",127.29
"CZE",105.95
"QAT",105.62
"BEL",99.67
"KWT",98.06
"COL",97.27
"UZB",91.27
"CHL",85.88
"BGD",85.69
"TKM",79.89
"ROU",74.06
"GRC",73.89
"AUT",68.87
"OMN",67.29
"MAR",66.31
"BLR",65.46
"ISR",64.26
"PER",55.53
"LBY",54.02
"PRT",50.93
"HUN",49.86
"FIN",46.99
"SRB",45.44
"BGR",44.51
"NOR",44.33
"TTO",43.48
"HKG",43.14
"ECU",41.92
"SWE",41.03
"SGP",40.86
"IRL",38.93
"CHE",36.87
"AZE",36.79
"SVK",36.03
"DNK",34.81
"NZL",34.77
"AGO",34.54
"TUN",31.58
"BHR",31.06
"PRK",30.22
"CUB",28.62
"SYR",28.28
"MNG",28.11
"MMR",26.33
"DOM",24.86
"LBN",24.23
"JOR",24.09
"LKA",23.37
"BOL",22.26
"BIH",21.67
"SDN",21.05
"EST",19.56
"LAO",19.32
"HRV",18.6
"KEN",18.49
"GTM",18.37
"GHA",18.3
"ETH",14.94
"SVN",14.43
"LTU",13.55
"TZA",12.5
"ZWE",12.26
"SEN",11.71
"PAN",10.94
"GEO",10.56
"KHM",10.4
"YEM",10.14
"KGZ",10.08
"HND",9.92
"LUX",9.58
"NPL",9.45
"AFG",9.44
"CIV",8.39
"MOZ",8.29
"JAM",8.19
"CMR",8.14
"CRI",8.06
"BRN",7.93
"PNG",7.84
"CYP",7.49
"PRY",7.43
"MKD",7.27
"LVA",7.19
"BEN",7.15
"SLV",7.13
"URY",6.94
"BWA",6.67
"UGA",5.77
"GNQ",5.69
"NIC",5.57
"ARM",5.57
"TJK",5.48
"GAB",5.36
"ZMB",5.23
"MDA",5.13
"MUS",4.86
"ALB",4.57
"LUX",4.28
"NAM",4.27
"BFA",3.9
"ISL",3.63
"MLI",3.56
"TGO",3.42
"COG",3.23
"PSE",3.21
"GIN",3.18
"HTI",3
"LSO",2.66
"MRT",2.66
"GUY",2.43
"NER",2.32
"FJI",2.13
"MAC",2.09
"COD",2.04
"MNE",2.01
"SSD",1.87
"BHS",1.81
"SUR",1.79
"MLT",1.58
"LBR",1.56
"MDV",1.52
"MWI",1.38
"BRB",1.28
"BTN",1.21
"RWA",1.12
"SLE",1.08
"TCD",1.01
"ABW",0.9
"ERI",0.74
"SOM",0.7
"SYC",0.66
"DJI",0.64
"CPV",0.63
"GMB",0.61
"BLZ",0.57
"ATG",0.57
"BDI",0.52
"TLS",0.52
"AND",0.47
"LCA",0.42
"GNB",0.34
"CAF",0.3
"GRD",0.27
"WSM",0.26
"KNA",0.24
"PLW",0.24
"TCA",0.22
"VCT",0.22
"VGB",0.22
"COM",0.22
"SLB",0.18
"DMA",0.18
"AIA",0.16
"MHL",0.15
"VUT",0.15
"LIE",0.15
"TON",0.14
"STP",0.12
"KIR",0.07
"COK",0.07
"NRU",0.05
"NIU",0.01
"SHN",0.01
"TUV",0.01
