"iso3","emissions_total_fossil_fuels_and_cement_including LUCF_in_percent_2016"
"CHN",24.3632075868768
"USA",12.2764208137407
"IND",6.8093583378369
"RUS",5.03259407414142
"IDN",4.69086978701052
"BRA",2.90286763876473
"JPN",2.65977998999955
"IRN",1.82659817870509
"DEU",1.70195025699821
"CAN",1.63995248942292
"MEX",1.44867696006384
"SAU",1.39648603556054
"KOR",1.38348039388996
"AUS",1.09241076614594
"ZAF",1.04674370720555
"ZMB",1.03958849981396
"ARG",1.01452422921581
"NGA",1.01229348808784
"GBR",0.971298358679603
"THA",0.878070215312817
"PAK",0.849512519929357
"TUR",0.833265990204942
"ITA",0.77787626710305
"VEN",0.736818003511944
"POL",0.736060393317541
"FRA",0.693634222430986
"TZA",0.672294868621974
"VNM",0.661372654986001
"EGY",0.653270434851416
"KAZ",0.608234717739695
"ESP",0.597249369920855
"UKR",0.597081012099877
"ARE",0.545521429425243
"COL",0.488237680837344
"COD",0.473169655859778
"MMR",0.461994905492337
"DZA",0.442128682616887
"BGD",0.441055401508149
"CMR",0.438530034193473
"UZB",0.409677712623301
"PRY",0.409509354802323
"IRQ",0.402817131418431
"ETH",0.397029831322299
"NLD",0.393494317081753
"AGO",0.379057633932856
"PER",0.355340225902524
"MYS",0.338904293629508
"SDN",0.319206428575036
"BOL",0.317649118730986
"PHL",0.314429275404774
"TKM",0.265521328410551
"KWT",0.23567990464213
"CZE",0.23521692063444
"BEL",0.225915151025383
"TCD",0.214593087564586
"ECU",0.207479969628249
"AFG",0.203271024103789
"QAT",0.194158657043334
"ISR",0.189570906421672
"MAR",0.185298826714346
"LBY",0.184036143057008
"GRC",0.181742267746177
"UGA",0.170609606833981
"BLR",0.169830951911956
"MOZ",0.160192466660943
"OMN",0.15989784047423
"CAF",0.159371722283673
"AZE",0.15568889494977
"AUT",0.151206367966221
"BWA",0.147292048628473
"PRT",0.146029364971135
"MNG",0.142262358726743
"ZWE",0.138853112851931
"IRL",0.138011323747039
"PRK",0.137948189564172
"KHM",0.137695652832705
"PNG",0.134370585868381
"SGP",0.133107902211043
"FIN",0.132918499662443
"NZL",0.132855365479576
"SRB",0.132287157833774
"HUN",0.12896209086945
"NPL",0.128898956686583
"MDG",0.123848222057232
"HND",0.108338257799597
"GHA",0.107412289784216
"COG",0.104739609376184
"KEN",0.100530663851724
"MLI",0.0998993220230549
"LAO",0.0994994721982312
"BHR",0.099057532918163
"CHE",0.0983209674513825
"DNK",0.0981946990856487
"SWE",0.0972897757978898
"GIN",0.0959639579576849
"SYR",0.0955009739499943
"BGR",0.0927441146314731
"GTM",0.0921548622580488
"NER",0.0898820316748404
"SOM",0.0847050286797548
"TUN",0.0829372715594816
"BFA",0.0812957828049423
"GUY",0.0787493707626441
"LKA",0.0785389234864211
"JOR",0.0751717670668532
"SEN",0.0736355019504254
"SVK",0.0705629717175696
"LBN",0.0660594000063976
"CIV",0.065596415998707
"DOM",0.0608192628284451
"BIH",0.0573468827707657
"CUB",0.0573258380431434
"PAN",0.0566944962144744
"URY",0.0559368860200716
"BEN",0.0558316623819601
"TTO",0.0545689787246222
"NOR",0.0501074964686947
"YEM",0.0496024230057595
"GNQ",0.048865857538979
"MWI",0.0446148225592746
"NIC",0.0434363178124258
"NAM",0.0429522890771129
"EST",0.042889154894246
"HRV",0.0398587141166349
"LTU",0.0372702126190921
"GEO",0.0362600656932217
"BRN",0.0353551424054629
"KGZ",0.0336715641956789
"TGO",0.0323457463554741
"SLE",0.0285997848387048
"SLV",0.0283682928348595
"TJK",0.0280315771929027
"MDA",0.0249169575048024
"MRT",0.0239909894894212
"SVN",0.023128155656907
"LBR",0.0221811429139035
"MKD",0.021865471999569
"HTI",0.0211289065327885
"LUX",0.0205606988869864
"JAM",0.0202029385174074
"ARM",0.0199083123306952
"ALB",0.0193401046848931
"CYP",0.0173829450160192
"ERI",0.0167516031873503
"BDI",0.0162886191796597
"RWA",0.0159729482653252
"SUR",0.0154468300747677
"MUS",0.01363698349925
"BLZ",0.0102277376244375
"CRI",0.00974370888912459
"BRB",0.00915445651570021
"GNB",0.00885983032898802
"BHS",0.00835475686605283
"CHL",0.00787072813073995
"LSO",0.00772341503738385
"MNE",0.00719729684682637
"ISL",0.00671326811151349
"SLB",0.00574521064088772
"GMB",0.00505073462935184
"GRD",0.00488237680837344
"DJI",0.00437730334543826
"MDV",0.00425103497970447
"MLT",0.00404058770348147
"ATG",0.00290417241187731
"SYC",0.00273581459089891
"FJI",0.00202029385174074
"CPV",0.00195715966887384
"VUT",0.00174671239265084
"LCA",0.00170462293740625
"WSM",0.00147313093356095
"COM",0.00126268365733796
"DMA",0.000799699649647374
"KNA",0.000778654922025075
"VCT",0.000694476011535878
"TON",0.00061029710104668
"STP",0.000420894552445987
"COK",0.000231492003845293
"AND",0.000210447276222993
"NRU",0.000168357820978395
"KIR",0.000168357820978395
"NIU",0.000126268365733796
"LIE",8.41789104891973e-05
"MHL",8.41789104891973e-05
"PLW",6.3134182866898e-05
"TUV",2.10447276222993e-05
"BTN",-0.00383014042725848
"LVA",-0.00490342153599574
"ROU",-0.123385238049541
"GAB",-0.178796005879055
