"name","iso3","year","proportion_cumulative_emissions_total_fossil_fuels_and_cement_in_percent_2017"
"Afghanistan","AFG",2017,0.0113317613825789
"Africa",NA,2017,2.73719917005248
"Albania","ALB",2017,0.0176022341053606
"Algeria","DZA",2017,0.260776687284824
"Americas (other)",NA,2017,6.26195948085456
"Andorra","AND",2017,0.000870809500510295
"Angola","AGO",2017,0.0395978142526124
"Anguilla","AIA",2017,0.000192990890655869
"Antarctic Fisheries",NA,2017,9.76915137744835e-06
"Antigua and Barbuda","ATG",2017,0.00138116462524241
"Argentina","ARG",2017,0.506421347470183
"Armenia","ARM",2017,0.017377106040759
"Aruba","ABW",2017,0.00471240093436498
"Asia and Pacific (other)",NA,2017,11.3034703506628
"Australia","AUS",2017,1.1021027393104
"Austria","AUT",2017,0.336691480488643
"Azerbaijan","AZE",2017,0.156914094259566
"Bahamas","BHS",2017,0.00999570322120817
"Bahrain","BHR",2017,0.0524699600718481
"Bangladesh","BGD",2017,0.0864086403644659
"Barbados","BRB",2017,0.00326975092546126
"Belarus","BLR",2017,0.257618444206282
"Belgium","BEL",2017,0.778136352719995
"Belize","BLZ",2017,0.0010894955801987
"Benin","BEN",2017,0.00627154811153409
"Bermuda","BMU",2017,0.0017233329484741
"Bhutan","BTN",2017,0.000873684800555385
"Bolivia","BOL",2017,0.0292850079631678
"Bonaire Sint Eustatius and Saba","BES",2017,0.00131959366755287
"Bosnia and Herzegovina","BIH",2017,0.0532914392557104
"Botswana","BWA",2017,0.00835124095976782
"Brazil","BRA",2017,0.90087012162873
"British Virgin Islands","VGB",2017,0.000280383430471571
"Brunei","BRN",2017,0.0213281613211164
"Bulgaria","BGR",2017,0.235092797642502
"Burkina Faso","BFA",2017,0.00318795510484224
"Burundi","BDI",2017,0.000681053092282116
"Cambodia","KHM",2017,0.00667993194188236
"Cameroon","CMR",2017,0.0123641954643578
"Canada","CAN",2017,2.02594111427891
"Cape Verde","CPV",2017,0.000734657285693319
"Cayman Islands","CYM",2017,0.000892714356824923
"Central African Republic","CAF",2017,0.000726748353714481
"Chad","TCD",2017,0.000914782616365569
"Chile","CHL",2017,0.168703945730829
"China","CHN",2017,12.705108305311
"Christmas Island","CXR",2017,8.44333797622322e-05
"Colombia","COL",2017,0.197432293116764
"Comoros","COM",2017,0.000267963642614255
"Congo","COG",2017,0.00448015486272348
"Cook Islands","COK",2017,0.000129813007612715
"Costa Rica","CRI",2017,0.014708359163638
"Cote d'Ivoire","CIV",2017,0.0192613401906413
"Croatia","HRV",2017,0.0623234757604068
"Cuba","CUB",2017,0.105189841759405
"Curacao","CUW",2017,0.0264164572838851
"Cyprus","CYP",2017,0.0171989917632324
"Czech Republic","CZE",2017,0.528272629237595
"Czechoslovakia","OWID_CZS",2017,0.713632088744598
"Democratic Republic of Congo","COD",2017,0.0118627977438971
"Denmark","DNK",2017,0.253405352808338
"Djibouti","DJI",2017,0.00121722541886744
"Dominica","DMA",2017,0.000248967097097448
"Dominican Republic","DOM",2017,0.0422943056516883
"EU-28",NA,2017,22.400224289979
"Ecuador","ECU",2017,0.0698739469590026
"Egypt","EGY",2017,0.353039294563425
"El Salvador","SLV",2017,0.0135394859274223
"Equatorial Guinea","GNQ",2017,0.00584967849994416
"Eritrea","ERI",2017,0.00103707615539946
"Estonia","EST",2017,0.0728624955333957
"Ethiopia","ETH",2017,0.0131529105873835
"Europe (other)",NA,2017,10.001000267141
"Faeroe Islands","FRO",2017,0.00181212146223703
"Falkland Islands","FLK",2017,0.00030377408807018
"Fiji","FJI",2017,0.00286690960049653
"Finland","FIN",2017,0.194606538973931
"France","FRA",2017,2.397601154808
"French Guiana","GUF",2017,0.00135605125072676
"French Polynesia","PYF",2017,0.00172560840505274
"Gabon","GAB",2017,0.015597812629433
"Gambia","GMB",2017,0.000763752709221584
"Georgia","GEO",2017,0.037652647077837
"Germany","DEU",2017,5.74930695920094
"Ghana","GHA",2017,0.0200807894671395
"Gibraltar","GIB",2017,0.000722452004246537
"Greece","GRC",2017,0.246596255948795
"Greenland","GRL",2017,0.00192011442577675
"Grenada","GRD",2017,0.000465473197461268
"Guadeloupe","GLP",2017,0.00419515272008711
"Guatemala","GTM",2017,0.0256734911282471
"Guinea","GIN",2017,0.00490525273548386
"Guinea-Bissau","GNB",2017,0.000585819356012891
"Guyana","GUY",2017,0.00569186234382528
"Haiti","HTI",2017,0.00438299221929708
"Honduras","HND",2017,0.0145769820176858
"Hong Kong","HKG",2017,0.0957794525757643
"Hungary","HUN",2017,0.309221331404382
"Iceland","ISL",2017,0.00898228650711322
"India","IND",2017,3.08256080368534
"Indonesia","IDN",2017,0.789101159401725
"Iran","IRN",2017,1.05255338298676
"Iraq","IRQ",2017,0.252912442152405
"Ireland","IRL",2017,0.134116788562886
"Israel","ISR",2017,0.1410092067842
"Italy","ITA",2017,1.50110049594156
"Jamaica","JAM",2017,0.0269417292694719
"Japan","JPN",2017,3.9552346447328
"Jordan","JOR",2017,0.0390307288796677
"Kazakhstan","KAZ",2017,0.780870428321146
"Kenya","KEN",2017,0.0260348965945973
"Kiribati","KIR",2017,0.000121498297304153
"Kuwait","KWT",2017,0.166759818204318
"Kyrgysztan",NA,2017,0
"Kyrgyzstan","KGZ",2017,0.0115368886129942
"Laos","LAO",2017,0.00229029459457831
"Latvia","LVA",2017,0.0392632830939895
"Lebanon","LBN",2017,0.0402891460680261
"Lesotho","LSO",2017,0.00358196643434472
"Liberia","LBR",2017,0.00304112473678559
"Libya","LBY",2017,0.123914476055429
"Liechtenstein","LIE",2017,0.00012700664925506
"Lithuania","LTU",2017,0.0644668248936694
"Luxembourg","LUX",2017,0.0460347393792495
"Macao","MAC",2017,0.00329776867487729
"Macedonia","MKD",2017,0.0356683150572705
"Madagascar","MDG",2017,0.0053095637372495
"Malawi","MWI",2017,0.00273300548142276
"Malaysia","MYS",2017,0.328928009756892
"Maldives","MDV",2017,0.0012592876565151
"Mali","MLI",2017,0.00210439955566862
"Malta","MLT",2017,0.0061870577882234
"Marshall Islands","MHL",2017,0.000143853242535825
"Martinique","MTQ",2017,0.00445473302811645
"Mauritania","MRT",2017,0.00404211264854845
"Mauritius","MUS",2017,0.00649675337051136
"Mexico","MEX",2017,1.20435090814518
"Micronesia (country)","FSM",2017,0.000215925555491272
"Middle East",NA,2017,3.83897475153677
"Moldova","MDA",2017,0.0111420569662863
"Mongolia","MNG",2017,0.0340796037038844
"Montenegro","MNE",2017,0.00695907670733992
"Montserrat","MSR",2017,9.77469972319583e-05
"Morocco","MAR",2017,0.100887528898981
"Mozambique","MOZ",2017,0.0103542731908631
"Myanmar","MMR",2017,0.0307386243345755
"Namibia","NAM",2017,0.00405913705551844
"Nauru","NRU",2017,0.000296995393479079
"Nepal","NPL",2017,0.00734486728021468
"Netherlands","NLD",2017,0.717885446150865
"New Caledonia","NCL",2017,0.00847537059495794
"New Zealand","NZL",2017,0.112945158200409
"Nicaragua","NIC",2017,0.0102029302529082
"Niger","NER",2017,0.00279994747902829
"Nigeria","NGA",2017,0.214108705619599
"Niue","NIU",2017,1.72404369537329e-05
"North Korea","PRK",2017,0.315256006860315
"Norway","NOR",2017,0.164115270557791
"Oman","OMN",2017,0.0680207769431556
"Pakistan","PAK",2017,0.276819908731833
"Palau","PLW",2017,0.000699081724439519
"Palestine","PSE",2017,0.00306646658379947
"Panama","PAN",2017,0.0171422986521166
"Papua New Guinea","PNG",2017,0.00967990502993793
"Paraguay","PRY",2017,0.00952857713726833
"Peru","PER",2017,0.117905491027363
"Philippines","PHL",2017,0.187892106415171
"Poland","POL",2017,1.7044223833352
"Portugal","PRT",2017,0.1572260746938
"Qatar","QAT",2017,0.119254810115963
"Reunion","REU",2017,0.00573402666087754
"Romania","ROU",2017,0.528412222886866
"Russia","RUS",2017,6.38561930352029
"Rwanda","RWA",2017,0.00159882622891625
"Saint Helena","SHN",2017,2.1984463014483e-05
"Saint Kitts and Nevis","KNA",2017,0.000359329978754388
"Saint Lucia","LCA",2017,0.000764113669106255
"Saint Pierre and Miquelon","SPM",2017,0.000228322807161628
"Saint Vincent and the Grenadines","VCT",2017,0.000395375054483571
"Samoa","WSM",2017,0.000409181865295542
"Sao Tome and Principe","STP",2017,0.000187578523816749
"Saudi Arabia","SAU",2017,0.878790521815322
"Senegal","SEN",2017,0.0129319868230355
"Serbia","SRB",2017,0.151201259867119
"Seychelles","SYC",2017,0.000943568627569198
"Sierra Leone","SLE",2017,0.00227647032615672
"Singapore","SGP",2017,0.122938677569878
"Sint Maarten (Dutch part)","SXM",2017,0.00295211054374198
"Slovakia","SVK",2017,0.173310861693593
