Id,Bank,Sector,Assessment date,Publication date,Last reported year,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions,CP alignment 2027,CP alignment 2035,CP alignment 2050,Region,CP regional alignment 2027,CP regional alignment 2035,CP regional alignment 2050,Years with targets
,Diamond Corporation,Oil & Gas,12/6/2023,2023-07,2020,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,Paris Pledges,National Pledges,No Disclosure,OECD,1.5 degrees,2 degrees,International Pledges,
,Diamond Corporation,Electric Utilities,12/6/2023,2023-07,2020,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,Paris Pledges,National Pledges,No Disclosure,OECD,1.5 degrees,2 degrees,International Pledges,
,Diamond Corporation,Airlines,12/6/2023,2023-07,2020,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,Paris Pledges,National Pledges,No Disclosure,OECD,1.5 degrees,2 degrees,International Pledges,
,Diamond Corporation,Shipping,12/6/2023,2023-07,2020,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,Paris Pledges,National Pledges,No Disclosure,OECD,1.5 degrees,2 degrees,International Pledges,
,Diamond Corporation,Auto Manufacturing,12/6/2023,2023-07,2020,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,National Pledges,National Pledges,No Disclosure,OECD,1.5 degrees,2 degrees,International Pledges,
,Diamond Corporation,Steel,12/6/2023,2023-07,2020,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,National Pledges,National Pledges,No Disclosure,OECD,2 degrees,2 degrees,International Pledges,
,Diamond Corporation,Cement,12/6/2023,2023-07,2020,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,National Pledges,National Pledges,No Disclosure,OECD,2 degrees,2 degrees,International Pledges,
,Diamond Corporation,Food,12/6/2023,2023-07,2020,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,National Pledges,National Pledges,No Disclosure,OECD,2 degrees,2 degrees,International Pledges,
,Diamond Corporation,Aluminium,12/6/2023,2023-07,2020,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,National Pledges,National Pledges,No Disclosure,OECD,2 degrees,2 degrees,International Pledges,
,Diamond Corporation,Diversified Mining,12/6/2023,2023-07,2020,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,National Pledges,National Pledges,No Disclosure,OECD,2 degrees,2 degrees,International Pledges,
,Diamond Corporation,Paper,12/6/2023,2023-07,2020,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,National Pledges,Not aligned,No Disclosure,OECD,2 degrees,2 degrees,2 degrees,
,Bastion Banks Inc.,Oil & Gas,12/6/2023,2023-07,2019,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,Not aligned,Not aligned,No Disclosure,OECD,2 degrees,2 degrees,2 degrees,
,Bastion Banks Inc.,Electric Utilities,12/6/2023,2023-07,2019,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,Not aligned,Not aligned,Not aligned,OECD,2 degrees,2 degrees,2 degrees,
,Bastion Banks Inc.,Airlines,12/6/2023,2023-07,2019,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,Not aligned,Not aligned,Not aligned,OECD,2 degrees,2 degrees,2 degrees,
,Bastion Banks Inc.,Shipping,12/6/2023,2023-07,2019,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,Assumptions,Not aligned,Not aligned,Not aligned,OECD,1.5 degrees,2 degrees,2 degrees,
